N	2gram	Kanaev_Sov	Morfolog
1	может быть	12	61
2	и пр	2	45
3	таким образом	11	26
4	могут быть	2	21
5	так как	4	20
6	мы имеем	1	19
7	не может	17	19
8	в этом	7	18
9	и в	7	17
10	и не	6	16
11	мы видим	2	15
12	с этим	2	14
13	прежде всего	5	14
14	по существу	1	13
15	видим что	1	12
16	связи с	1	12
17	а не	3	11
18	что в	2	10
19	то же	3	10
20	а затем	1	10
21	вопрос о	4	10
22	но если	1	10
23	этом случае	1	10
24	в том	4	10
25	в связи	1	10
26	все же	3	9
27	с другой	1	9
28	можно наблюдать	1	8
29	не только	4	8
30	в результате	6	8
31	мы не	9	8
32	но не	1	8
33	а в	4	8
34	как мы	2	8
35	во втором	1	7
36	один из	1	7
37	если в	1	7
38	не могут	2	7
39	не менее	2	7
40	том что	1	7
41	по отношению	1	7
42	точки зрения	12	7
43	тем не	2	7
44	или же	2	7
45	отношению к	1	7
46	о том	1	6
47	как бы	4	6
48	но это	1	6
49	это не	4	6
50	с точки	5	6
51	в нашем	2	6
52	или в	1	6
53	вовсе не	1	6
54	во всех	1	6
55	если мы	4	6
56	очень часто	1	6
57	из которых	2	5
58	в первом	3	5
59	было бы	3	5
60	ничего не	6	5
61	не будем	2	5
62	хотя и	1	5
63	ясно что	3	5
64	все эти	5	5
65	одна из	3	5
66	между собой	3	5
67	на его	2	5
68	там где	1	5
69	мы можем	6	5
70	он не	1	5
71	если же	2	5
72	в целом	4	5
73	и к	3	4
74	в некоторых	2	4
75	на этом	2	4
76	нами в	1	4
77	как и	6	4
78	самом деле	2	4
79	но все	2	4
80	ни одна	2	4
81	уже не	2	4
82	еще не	3	4
83	не является	1	4
84	говорить о	2	4
85	так же	1	4
86	сказать что	1	4
87	следующим образом	3	4
88	на котором	2	4
89	и для	1	4
90	из них	4	4
91	но в	3	4
92	к началу	1	4
93	несмотря на	1	4
94	на самом	1	4
95	эта функция	1	4
96	его в	1	4
97	что его	1	4
98	случае не	1	4
99	к этому	1	4
100	в то	1	4
101	мы уже	1	4
102	можно было	1	4
103	этот вопрос	1	4
104	оно может	1	4
105	значит что	1	4
106	независимо от	1	4
107	их по	1	4
108	раз он	1	3
109	та же	1	3
110	и при	1	3
111	что это	2	3
112	это уже	1	3
113	ни в	1	3
114	от другого	1	3
115	только в	1	3
116	из двух	3	3
117	можно назвать	2	3
118	состоит из	3	3
119	но мы	3	3
120	и что	2	3
121	и тогда	1	3
122	настоящее время	2	3
123	с его	1	3
