N	2gram	Propp_Morf	VelikijI
1	и не	16	20
2	и в	17	16
3	так как	20	9
4	то что	10	9
5	еще не	4	8
6	что они	5	7
7	а не	11	7
8	к людям	1	6
9	не есть	1	6
10	хотя и	5	5
11	того что	3	5
12	все это	2	5
13	по пути	1	5
14	как бы	6	5
15	в мире	1	5
16	но и	9	5
17	все что	1	4
18	в котором	1	4
19	в этом	18	4
20	что мы	2	4
21	потому что	7	4
22	в его	1	4
23	так и	10	4
24	это еще	2	4
25	говорить о	4	4
26	и есть	3	4
27	и все	1	4
28	что не	1	4
29	в образе	6	4
30	что все	1	4
31	как и	4	4
32	что он	5	4
33	во всех	6	3
34	что в	10	3
35	за ним	1	3
36	не нужна	1	3
37	то это	5	3
38	должно быть	1	3
39	тех которые	1	3
40	в первый	1	3
41	если не	1	3
42	хотя бы	5	3
43	в том	10	3
44	первый раз	1	3
45	тому что	5	3
46	не в	3	3
47	и что	3	3
48	что и	10	3
49	ни в	3	3
50	превращается в	2	3
51	в этих	17	3
52	в них	1	3
53	оно не	2	3
54	к чему	3	3
55	что я	1	3
56	как не	1	3
57	их в	2	3
58	в своей	1	3
59	должна быть	2	3
60	всех людей	1	3
61	с его	3	3
62	не имеет	2	3
63	но это	6	3
64	и для	4	3
65	в чем	2	3
66	все эти	5	3
67	тот же	1	3
68	но в	4	3
69	к тому	5	3
70	людей в	1	3
71	всего в	1	2
72	во всяком	2	2
73	от него	2	2
74	его и	2	2
75	что от	1	2
76	один из	7	2
77	превращаются в	1	2
78	в последнем	3	2
79	они и	5	2
80	а остальные	1	2
81	самого себя	2	2
82	которые не	1	2
83	более чем	1	2
84	чтобы овладеть	2	2
85	его не	1	2
86	не так	2	2
87	того чтобы	4	2
88	это не	6	2
89	это все	1	2
90	вместо того	1	2
91	между тем	5	2
92	не только	8	2
93	для него	2	2
94	и тогда	3	2
95	является в	2	2
96	не будет	1	2
97	ее в	3	2
98	для нас	2	2
99	и то	1	2
100	и за	2	2
101	не с	2	2
102	прежде всего	14	2
103	а есть	1	2
104	можно было	4	2
105	в форме	6	2
106	вслед за	5	2
107	и это	1	2
108	мы не	8	2
109	только в	3	2
110	а с	2	2
111	под этим	1	2
112	а в	8	2
113	это мы	2	2
114	но не	8	2
115	и никогда	1	2
116	тем что	4	2
117	могут быть	21	2
118	с тем	2	2
119	и т	62	2
120	одна из	5	2
121	его к	1	2
122	не могут	7	2
123	т д	60	2
124	том что	7	2
125	когда в	2	2
126	для их	1	2
127	но мы	3	2
128	уже не	4	2
129	я был	1	1
130	во всем	1	1
131	бы то	3	1
132	того кому	1	1
133	могли бы	2	1
134	и другие	6	1
135	а потому	2	1
136	но как	3	1
137	это одна	1	1
138	мы видим	15	1
139	что очень	1	1
140	на котором	4	1
141	результатом этого	1	1
142	мы скажем	1	1
143	если за	2	1
144	и на	1	1
145	ничем не	2	1
146	на части	1	1
147	вопрос о	10	1
148	без такого	2	1
149	на этом	4	1
150	же и	1	1
151	может быть	61	1
152	они не	3	1
153	видим что	12	1
154	после того	1	1
155	между собою	2	1
156	свое место	1	1
157	она с	1	1
158	если в	7	1
159	иногда может	3	1
160	указать на	1	1
161	того как	2	1
162	нас но	1	1
163	где есть	1	1
164	и уж	1	1
165	мы увидим	10	1
166	и вообще	1	1
167	в руки	4	1
168	и вот	1	1
169	его с	1	1
170	с любовью	1	1
171	она не	2	1
172	но она	1	1
173	которое может	2	1
174	на новый	1	1
175	он сжигает	1	1
176	в состоянии	1	1
177	красоте и	1	1
178	с этой	3	1
179	то же	10	1
180	во что	1	1
181	то ни	3	1
182	для того	3	1
183	и менее	1	1
184	не по	2	1
185	и свободе	1	1
186	что всякий	1	1
187	что это	3	1
188	это значит	1	1
189	не всегда	10	1
190	в нашу	1	1
191	в следующих	1	1
192	есть путь	1	1
193	о чем	1	1
194	с такой	1	1
195	в ее	1	1
196	не нужны	1	1
197	и тем	3	1
198	но путь	1	1
199	как это	7	1
200	составные части	10	1
201	победы над	1	1
202	этому же	1	1
203	в тот	1	1
204	есть и	4	1
205	слова не	1	1
206	в одном	2	1
207	прибавить к	1	1
208	у нас	3	1
209	на пути	4	1
210	кто же	1	1
211	в этой	3	1
212	в результате	8	1
213	говорит что	1	1
214	в виду	1	1
215	другой стороны	5	1
216	у него	2	1
217	не существует	3	1
218	так же	4	1
219	в виде	3	1
220	тогда как	2	1
221	что бы	1	1
222	но с	2	1
223	в своих	2	1
224	наука не	1	1
225	их и	1	1
226	себя за	2	1
227	формах в	2	1
228	о возможности	1	1
229	с другой	9	1
230	на которых	1	1
231	конечно в	1	1
232	в которой	3	1
233	но все	4	1
234	и с	1	1
235	наших дней	2	1
236	и говорит	1	1
237	могут и	2	1
238	в лице	1	1
239	может ли	1	1
240	видно и	1	1
241	каким образом	1	1
242	отношение к	1	1
