N	2gram	Medvedev_S	Tvorches
1	и в	3	56
2	как бы	2	41
3	в его	3	37
4	в то	1	30
5	то же	2	25
6	не только	3	24
7	же время	1	24
8	как и	1	23
9	и не	1	23
10	а в	1	23
11	и его	1	23
12	в этом	5	22
13	что в	2	21
14	в том	5	21
15	том что	2	19
16	может быть	2	19
17	у него	1	18
18	то что	2	18
19	таким образом	2	17
20	что он	1	17
21	все это	7	17
22	но и	2	16
23	никогда не	1	16
24	прежде всего	1	16
25	не может	1	16
26	в мире	1	15
27	в этой	1	15
28	это не	1	14
29	о том	1	13
30	в котором	1	12
31	в целом	1	12
32	в своей	1	11
33	все же	1	11
34	отнюдь не	1	11
35	не в	3	10
36	в конце	2	10
37	только в	2	10
38	так и	1	10
39	но не	1	10
40	как будто	2	10
41	по природе	2	9
42	один из	1	9
43	даже в	1	8
44	именно в	1	8
45	еще не	2	8
46	вовсе не	1	8
47	в этих	1	7
48	что она	1	7
49	в чем	1	7
50	и как	1	6
51	конечном счете	1	6
52	хотя бы	1	6
53	его в	1	6
54	в конечном	1	6
55	с ним	1	6
56	все эти	1	6
57	ли не	1	6
58	место в	1	6
59	более не	1	5
60	в них	1	5
61	с другой	1	5
62	по отношению	2	5
63	не было	1	5
64	а с	1	5
65	что это	1	5
66	в наше	1	5
67	между тем	1	5
68	дело не	2	5
69	наше время	1	5
70	ничего не	1	5
71	мы не	1	5
72	в виде	1	5
73	и по	1	5
74	это как	1	5
75	отношению к	2	5
76	тем что	1	4
77	что все	1	4
78	это значит	1	4
79	крайней мере	1	4
80	и мы	2	4
81	и потому	1	4
82	в каждом	1	4
83	но только	1	4
84	и есть	1	4
85	в область	1	4
86	по крайней	1	4
87	перед нами	1	4
88	это и	2	4
89	и более	1	4
90	чуть ли	1	4
91	зависит от	1	4
92	же не	1	4
93	он говорит	1	4
94	он ни	1	4
95	в частности	2	4
96	далеко не	2	4
97	и наконец	1	4
98	что на	1	4
99	по себе	1	3
100	только для	1	3
101	на все	1	3
102	во всяком	1	3
103	может служить	1	3
104	время в	1	3
105	к которому	2	3
106	я и	1	3
107	опираясь на	1	3
108	всяком случае	1	3
109	идей и	2	3
110	и что	2	3
111	даже не	1	3
112	вот в	1	3
113	в процессе	1	3
114	вряд ли	1	3
115	может не	1	3
116	ни на	1	3
117	на этот	1	3
118	в него	1	3
119	бы он	1	3
120	в области	1	3
121	и только	3	3
122	не мешает	1	2
123	в результате	2	2
124	в данном	1	2
125	представляется нам	1	2
126	только как	2	2
127	из себя	1	2
128	а между	1	2
129	жизни он	1	2
130	на ней	1	2
131	настоящее время	1	2
132	с одной	1	2
133	связи с	1	2
134	тому что	1	2
135	но ведь	3	2
136	в связи	1	2
137	между собой	1	2
138	но как	1	2
139	можно принять	1	2
140	не дает	1	2
141	было бы	2	2
142	в силу	1	2
143	против этого	1	2
144	и должно	1	2
145	в сущности	1	2
146	мы понимаем	1	2
147	столь же	1	2
148	и будет	1	2
149	по самому	1	2
150	наконец в	1	2
151	но сам	1	2
152	влияет на	1	2
153	и стиля	1	2
154	не из	1	2
155	этой области	1	2
156	в таких	1	2
157	образом в	1	2
158	темы и	1	2
159	не от	1	2
160	или даже	2	2
161	ведь это	2	2
162	же это	1	2
163	но она	1	2
164	только то	1	2
165	со своими	1	2
166	и о	1	2
167	их на	1	2
168	эти два	1	2
169	конце концов	2	2
170	себя по	1	1
171	его построения	1	1
172	а вот	1	1
173	или нет	1	1
174	и самые	1	1
175	происходящее в	1	1
176	именно и	1	1
177	происходит не	1	1
178	от общих	1	1
179	собой не	1	1
180	он по	1	1
181	как только	2	1
182	у которых	1	1
183	факта что	1	1
184	одной стороны	1	1
185	с помощью	1	1
186	связь между	1	1
187	в смысле	2	1
188	о литературе	3	1
189	дает нам	1	1
190	строить догадки	1	1
191	хотелось бы	1	1
192	метод в	4	1
193	входящие в	1	1
194	как же	3	1
195	необходимости их	1	1
196	протестовал против	1	1
197	между ними	1	1
198	раньше всего	1	1
199	полагает что	1	1
200	остается в	1	1
201	свои права	1	1
202	внешними причинами	1	1
203	характера это	1	1
204	литературы и	2	1
205	а тем	1	1
206	это вовсе	1	1
207	главным образом	2	1
208	наукой в	1	1
209	литературы как	1	1
210	никак не	1	1
211	том и	1	1
212	психологии и	1	1
213	его собственная	1	1
214	из тех	1	1
215	литературе о	1	1
216	в любой	1	1
217	еще и	1	1
218	и должны	1	1
219	когда мы	1	1
220	более чем	3	1
221	том как	1	1
222	героя который	1	1
223	развития и	1	1
224	что творчество	1	1
225	вступает в	1	1
226	не без	1	1
227	литературы на	1	1
228	на первый	1	1
229	в настоящее	1	1
230	что автор	1	1
231	они не	1	1
232	на тех	1	1
233	не способен	1	1
234	писателя не	1	1
235	для нас	3	1
236	без этого	1	1
237	в серьезных	1	1
238	этом не	1	1
239	объекта и	1	1
240	мы переходим	1	1
241	далеко еще	1	1
242	это происходит	1	1
243	тем более	2	1
244	не отдельные	1	1
245	наука о	1	1
246	она должна	1	1
247	мы должны	1	1
248	опорой для	1	1
249	стало быть	1	1
250	же самое	1	1
251	им не	2	1
252	него и	1	1
253	право на	1	1
254	для этого	1	1
