N	3gram	Vinokur_Ku	DiskursI
1	в том что	23	28
2	в отличие от	3	26
3	по отношению к	8	17
4	с одной стороны	2	14
5	не может быть	5	12
6	в данном случае	1	12
7	по природе своей	1	10
8	то же время	4	10
9	той или иной	1	10
10	о том что	6	9
11	в то же	4	8
12	состоит в том	4	8
13	в этом отношении	8	8
14	как и в	1	7
15	и все же	1	7
16	тогда как в	1	7
17	в конечном счете	2	6
18	так и в	2	6
19	в соответствии с	5	6
20	к тому же	1	6
21	по крайней мере	11	6
22	с точки зрения	16	6
23	можно сказать и	1	5
24	с другой стороны	12	5
25	в первую очередь	3	5
26	в свою очередь	4	5
27	и может быть	1	5
28	что же касается	4	5
29	дело в том	1	5
30	не только в	4	5
31	на мой взгляд	2	5
32	тем не менее	9	4
33	можно сказать что	2	4
34	в силу своей	1	4
35	не в том	5	4
36	одного и того	2	4
37	а с другой	3	4
38	и того же	2	4
39	не более чем	1	4
40	в наше время	3	4
41	в свое время	4	4
42	в этом случае	4	4
43	тот или иной	1	4
44	в сочетании с	1	3
45	говоря уже о	1	3
46	при этом в	1	3
47	более или менее	3	3
48	и то же	1	3
49	того или иного	5	3
50	в том случае	3	3
51	по аналогии с	1	3
52	можно говорить о	2	3
53	далеко еще не	1	3
54	но не менее	1	3
55	не говоря уже	2	3
56	и в частности	1	3
57	одно и то	1	3
58	том что в	1	3
59	во всяком случае	8	3
60	также и в	1	3
61	мере в какой	6	2
62	бы то ни	1	2
63	все то что	1	2
64	в той мере	6	2
65	в большинстве случаев	2	2
66	на том что	1	2
67	в научной литературе	1	2
68	если бы я	1	2
69	сами по себе	2	2
70	далеко не всегда	1	2
71	речь идет о	3	2
72	большей или меньшей	2	2
73	и в то	1	2
74	для своего времени	1	2
75	что в них	2	2
76	по себе не	1	2
77	а в том	2	2
78	той мере в	6	2
79	то ни было	1	2
80	в целом и	2	2
81	к которому он	1	2
82	лицом к лицу	1	2
83	и в том	2	2
84	в том и	3	2
85	из той же	1	2
86	дело не с	1	2
87	в том чтобы	9	2
88	в этом своем	1	2
89	и в особенности	1	2
90	так и не	1	2
91	только то что	1	2
92	по большей части	2	2
93	только в том	5	2
94	и той же	1	2
95	это еще не	1	2
96	как мы видели	1	2
97	одной и той	1	2
98	в одно и	1	2
99	и то что	1	2
100	тем или иным	1	2
101	тех случаях когда	2	2
102	тем что он	1	2
103	том случае если	3	2
104	в тех случаях	2	2
105	все же остается	1	2
106	едва ли не	1	2
107	то что они	1	2
108	и не только	1	2
109	а также и	1	2
110	обратить внимание на	2	2
111	прежде всего в	1	2
112	всяком случае ясно	1	1
113	лишь в том	2	1
114	целом и в	1	1
115	уст в уста	1	1
116	и характерное для	1	1
117	к мысли что	1	1
118	обстоит дело в	1	1
119	но так ли	1	1
120	что же это	1	1
121	и тем самым	1	1
122	в литературе и	1	1
123	о том как	3	1
124	в применении к	1	1
125	отнюдь не является	1	1
126	для данного речевого	1	1
127	а на деле	1	1
128	в этом смысле	8	1
129	по сравнению с	1	1
130	и в другом	2	1
131	то или иное	2	1
132	оно не проявляется	1	1
133	крайней мере в	1	1
134	том что на	1	1
135	выходит за рамки	2	1
136	и приводит к	1	1
137	хотя бы и	4	1
138	дело не в	3	1
139	в самом деле	14	1
140	но оно не	1	1
141	для того чтобы	21	1
142	когда указывает на	1	1
143	таким же образом	1	1
144	друг от друга	1	1
145	свидетельствует о том	1	1
146	не столько к	1	1
147	в строгом смысле	1	1
148	но и вся	1	1
149	во втором случае	1	1
150	так или иначе	3	1
151	сам по себе	1	1
152	в любой из	1	1
153	при всем желании	1	1
154	до сих пор	5	1
155	в иных случаях	3	1
156	иметь в виду	1	1
157	дает себя знать	1	1
158	но прежде всего	1	1
159	легко заметить что	1	1
160	между тем как	1	1
161	но для этого	1	1
162	в одном ряду	1	1
163	тем чем он	1	1
164	по себе они	1	1
165	состояло в том	1	1
166	тех или иных	1	1
167	примером может служить	2	1
168	в том или	1	1
169	сошлюсь хотя бы	2	1
170	но также и	2	1
171	не в качестве	1	1
172	первую очередь с	1	1
173	есть не что	1	1
174	это всего лишь	2	1
175	в данном отношении	4	1
176	как раз и	1	1
177	в связи с	4	1
178	на этот раз	1	1
179	и там где	2	1
180	при этом на	1	1
181	но все же	3	1
182	несмотря на все	1	1
183	не случайно и	1	1
184	этого термина они	1	1
185	все дело в	1	1
186	на этом пути	1	1
187	том и в	1	1
188	одном и том	1	1
189	не должно быть	1	1
190	следует думать что	1	1
191	в прозе и	1	1
192	но это не	1	1
193	в этом последнем	1	1
194	и формируется в	1	1
195	прежде всего на	1	1
196	случае перед нами	1	1
197	с совершенно иными	1	1
198	может и не	1	1
199	или меньшей степени	2	1
200	в этих случаях	1	1
201	внимание на то	2	1
202	можно утверждать что	1	1
203	а не с	1	1
204	и потому что	4	1
205	становится в позу	1	1
206	вместе с тем	3	1
207	и том же	1	1
208	не следует думать	1	1
209	следует обратить внимание	1	1
210	но и здесь	1	1
211	на то что	3	1
212	мере того как	3	1
213	не только от	1	1
214	заключается в том	2	1
215	позицию по отношению	1	1
216	это своего рода	1	1
217	которое было ему	1	1
218	в это время	1	1
219	лежит в основании	1	1
220	том или ином	1	1
221	базируется не на	1	1
222	по мере того	3	1
223	в себе и	1	1
224	что с ними	1	1
225	в результате этого	1	1
226	бытовом речевом общении	1	1
227	тем более что	1	1
228	о чем свидетельствует	1	1
229	в большей или	2	1
230	в тех или	1	1
231	хотя и не	1	1
232	что к этому	1	1
233	хотя бы на	2	1
234	в противном случае	2	1
235	на самом деле	3	1
236	именно так и	1	1
237	не что иное	2	1
238	именно в той	1	1
239	и должны быть	1	1
240	том что и	1	1
241	мы не знаем	1	1
242	можно было бы	11	1
243	целое в свою	1	1
244	только потому что	11	1
245	не только потому	3	1
246	во всех этих	1	1
247	именно в том	2	1
248	вопросом о том	1	1
249	в качестве нового	1	1
250	том что он	4	1
251	не могут быть	1	1
252	можно говорить и	1	1
253	та или иная	1	1
254	что иное как	2	1
255	до наших дней	1	1
256	сюда же относятся	1	1
257	в предисловии к	1	1
258	из уст в	1	1
259	как наука о	1	1
260	брать на себя	1	1
261	говорить и о	2	1
262	в словаре английского	1	1
263	после того как	2	1
264	том что не	1	1
265	языка это лишь	1	1
266	в другом случае	1	1
