N	4gram	Berdyaev_M	VLabPisa
1	и не может быть	1	2
2	никогда не может быть	2	1
3	в своем творчестве он	1	1
4	в том смысле что	1	1
5	толстой и достоевский в	1	1
6	л толстой и достоевский	2	1
7	и есть то что	1	1
8	в том случае если	1	1
9	может быть и речи	1	1
10	и по отношению к	1	1
11	не может быть принята	2	1
12	не может быть никакого	1	1
13	одну и ту же	1	1
14	по отношению к этим	1	1
15	не может быть и	1	1
16	так же как и	1	1
17	в то время как	2	1
18	быть и речи о	1	1
19	это и есть то	1	1
20	и вместе с тем	4	1
21	до сих пор не	1	1
