N	2gram	Tiupa_Hudo	Problemy
1	и в	23	106
2	и не	16	90
3	как бы	11	70
4	может быть	19	66
5	в его	11	56
6	в этом	12	52
7	в нем	6	51
8	не может	9	49
9	как и	3	44
10	что он	5	44
11	у достоевского	1	43
12	точки зрения	11	40
13	но и	14	40
14	для него	5	39
15	и его	12	39
16	а не	13	38
17	о себе	2	37
18	то же	12	36
19	не только	20	36
20	в пределах	3	35
21	то что	5	33
22	но в	10	33
23	прежде всего	5	32
24	он не	4	29
25	в то	8	29
26	все это	2	29
27	в одном	3	27
28	не в	9	27
29	к другому	2	27
30	же время	7	26
31	в самом	7	25
32	к нему	3	25
33	с точки	3	25
34	в сущности	1	25
35	себе самому	1	25
36	с самим	2	24
37	не как	2	24
38	вовсе не	2	24
39	героя и	5	24
40	самом деле	2	24
41	рядом с	1	23
42	и на	3	23
43	слова и	2	23
44	по себе	2	22
45	в каждом	1	22
46	таким образом	3	22
47	как мы	1	21
48	все же	1	20
49	никогда не	2	20
50	только в	7	20
51	потому что	3	20
52	что в	7	19
53	достоевского в	1	19
54	с его	6	19
55	отношению к	10	19
56	слова в	3	19
57	уже не	6	18
58	по отношению	10	18
59	в себе	13	18
60	еще не	4	18
61	но не	13	18
62	все эти	2	18
63	и к	3	17
64	себе самом	1	17
65	самим собою	2	17
66	с ним	2	17
67	а в	13	17
68	в том	20	17
69	это не	4	17
70	так и	12	17
71	так же	2	16
72	если бы	3	16
73	в своей	7	16
74	этом смысле	3	16
75	в другом	4	16
76	о мире	1	15
77	у него	2	15
78	до конца	1	15
79	и для	3	15
80	и сам	3	14
81	на чужое	1	14
82	в своем	4	14
83	как раз	3	14
84	в конце	1	14
85	а как	1	14
86	в отношении	4	14
87	себя самого	1	14
88	так как	1	14
89	я не	2	14
90	он и	2	14
91	лишь в	7	14
92	с другими	5	13
93	его в	4	13
94	в мире	24	13
95	и это	2	13
96	героя в	1	13
97	в романе	3	13
98	себя и	3	13
99	перед нами	1	13
100	в целом	3	13
101	при этом	19	12
102	даже в	3	12
103	отношении к	3	12
104	и как	4	12
105	и даже	1	12
106	чужому слову	1	12
107	и слово	1	12
108	к тому	4	12
109	в котором	1	12
110	к чужому	2	12
111	что и	2	12
112	не знает	4	12
113	себе и	1	12
114	так что	1	12
115	и что	4	12
116	за пределы	2	12
117	было бы	1	12
118	между тем	4	12
119	одного сознания	3	12
120	как в	2	12
121	том что	9	12
122	слово в	1	12
123	в одной	1	12
124	тем что	1	11
125	их в	3	11
126	входит в	4	11
127	с другой	9	11
128	должно быть	1	11
129	бы в	1	11
130	в форме	4	11
131	не могут	1	11
132	бы и	1	11
133	сливается с	1	11
134	этого слова	2	11
135	сознания и	1	11
136	как будто	1	11
137	более того	1	11
138	авторского слова	1	10
139	в произведении	3	10
140	что не	1	10
141	с чужим	1	10
142	в него	1	10
143	для себя	4	10
144	с собою	1	10
145	в слове	4	10
146	приводит к	6	10
147	той же	1	10
148	в самой	2	10
149	к одному	1	10
150	далеко не	4	10
151	отношение к	7	10
152	в той	3	9
153	другой стороны	6	9
154	в них	2	9
155	ивана карамазова	1	9
156	хотя и	4	9
157	но он	3	9
158	точек зрения	1	9
159	могут быть	5	9
160	ни в	5	9
161	в единстве	1	9
162	самим собой	5	9
163	да и	1	9
164	романе достоевского	1	9
165	или в	2	9
166	раз и	1	9
167	и потому	2	9
168	же и	1	8
169	в результате	1	8
170	о том	2	8
171	из них	1	8
172	к герою	2	8
173	несмотря на	2	8
174	ни было	2	8
175	но как	2	8
176	одним из	2	8
177	здесь не	2	8
178	и от	1	8
179	что это	1	8
180	не на	5	8
181	с ними	2	8
182	наконец в	1	8
183	из его	1	8
184	самого автора	1	8
185	в произведениях	1	8
186	как к	5	8
187	того что	5	8
188	это и	2	8
189	с их	2	8
190	и о	4	8
191	от него	1	7
192	тем как	1	7
193	в виду	5	7
194	на свой	1	7
195	на мир	2	7
196	в жизни	3	7
197	к самому	1	7
198	отличается от	2	7
199	и со	1	7
200	в себя	4	7
201	из своего	1	7
202	только на	1	7
203	сказать что	4	7
204	ее как	1	7
205	что все	1	7
206	что она	2	7
207	от себя	3	7
208	что они	1	7
209	не было	1	7
210	лишь на	1	7
211	между ними	5	7
212	в этих	4	7
213	во всех	3	7
214	то ни	2	7
215	кажется что	1	7
216	друг другу	1	7
217	и др	2	7
218	с которым	1	7
219	и ее	3	7
220	бы то	2	7
221	например в	4	7
222	не входит	2	7
223	автора и	3	7
224	тот же	1	7
225	но на	2	7
226	в их	5	7
227	сама по	2	7
228	мира и	2	7
229	к своему	2	7
230	и другого	1	7
231	сознаний в	1	6
232	в своих	1	6
233	и внутренне	1	6
234	не менее	5	6
235	на фоне	1	6
236	с этим	1	6
237	превращается в	2	6
238	этого мира	1	6
239	одна из	2	6
240	героя не	1	6
241	на почве	4	6
242	в художественном	5	6
243	на этом	2	6
244	внутренней речи	14	6
245	а с	2	6
246	человека как	1	6
247	в этой	2	6
248	я в	13	6
249	себя в	8	6
250	герой из	1	6
251	и здесь	1	6
252	за ним	1	6
253	в другой	1	6
254	от автора	1	6
255	отношения к	4	6
256	ни был	2	6
257	зависимости от	1	6
258	в основе	7	6
259	другого в	3	6
260	в отличие	7	6
261	друг друга	1	6
262	на вопрос	1	6
263	и пр	1	6
264	но с	1	6
265	стремится к	1	6
266	что ж	1	6
267	на его	1	6
268	на них	1	6
269	слова как	5	6
270	отличие от	7	6
271	художественного мира	2	6
272	идет о	2	6
273	жизни и	1	6
274	на то	1	6
275	для этого	1	6
276	но для	1	6
277	те же	1	5
278	именно в	2	5
279	по своим	1	5
280	сам и	1	5
281	в глаза	2	5
282	к которому	4	5
283	в зависимости	1	5
284	того же	3	5
285	него не	1	5
286	крайней мере	1	5
287	тому же	1	5
288	я и	7	5
289	зрения и	1	5
290	в чем	2	5
291	в такой	1	5
292	той или	5	5
293	в уста	1	5
294	ту сторону	1	5
295	однако в	4	5
296	его как	1	5
297	что может	2	5
298	автора как	2	5
299	один из	2	5
300	то есть	26	5
301	была бы	3	5
302	художественного творчества	6	5
303	подобно тому	3	5
304	со всеми	1	5
305	все то	1	5
306	здесь мы	1	5
307	героев и	1	5
308	вместе с	1	5
309	по крайней	1	5
310	но у	1	5
311	чужое сознание	1	5
312	в мир	1	5
313	том же	1	5
314	в ее	6	5
315	и то	4	5
316	они не	1	5
317	не во	1	5
318	того и	1	5
319	по ту	1	5
320	ведь это	1	5
321	для других	1	5
322	по своему	3	5
323	в авторском	1	5
324	он это	1	5
325	он ни	1	5
326	быть и	2	5
327	человека с	3	5
328	с человеком	2	5
329	или иной	9	5
330	тому что	2	5
331	тому как	3	5
332	мира в	2	5
333	все что	1	4
334	оно стремится	1	4
335	художественном мире	1	4
336	с этой	3	4
337	без исключения	4	4
338	героя о	1	4
339	типа и	1	4
340	более или	6	4
341	в первом	1	4
342	как другого	1	4
343	в одно	2	4
344	при всей	2	4
345	для автора	3	4
346	европейского романа	1	4
347	автора в	1	4
348	к третьему	1	4
349	его за	1	4
350	или менее	6	4
351	входят в	1	4
352	во всей	3	4
353	для понимания	2	4
354	на котором	2	4
355	они могут	1	4
356	я как	2	4
357	тем не	3	4
358	которого он	2	4
359	что такое	2	4
360	личности в	4	4
361	не была	1	4
362	связи с	3	4
363	в которой	3	4
364	то в	2	4
365	не есть	1	4
366	в сторону	2	4
367	стиля в	1	4
368	оно не	2	4
369	именно потому	1	4
370	в рассказе	3	4
371	речи и	4	4
372	одно и	3	4
373	но только	2	4
374	ни были	1	4
375	обращен к	1	4
376	в точке	3	4
377	с ее	6	4
378	образом и	2	4
379	он уже	1	4
380	своего собственного	1	4
381	теперь в	1	4
382	из которых	2	4
383	речи как	1	4
384	если не	1	4
385	и действительно	1	4
386	бы не	2	4
387	вследствие этого	2	4
388	нет в	1	4
389	же я	1	4
390	реплики и	1	4
391	то и	1	4
392	совпадает с	2	4
393	о своем	1	4
394	времени и	2	4
395	каждый из	1	4
396	над собой	1	4
397	к миру	1	4
398	мире в	1	4
399	он должен	3	4
400	тоже не	1	4
401	в формах	2	4
402	в литературе	2	4
403	все и	1	4
404	ли я	1	4
405	такое слово	1	4
406	и без	1	4
407	слова не	2	4
408	это было	1	4
409	ибо и	1	4
410	в каждой	1	4
411	об этом	2	4
412	бы ни	1	4
413	собственный голос	1	4
414	героя к	1	4
415	также и	1	4
416	другим и	2	4
417	стороны и	1	4
418	герой не	3	4
419	в чужом	1	4
420	и прежде	3	4
421	себе еще	1	4
422	с которыми	1	3
423	с героем	1	3
424	порядка в	4	3
425	говорить о	4	3
426	может служить	2	3
427	о чем	3	3
428	какой бы	1	3
429	говорит о	1	3
430	а затем	2	3
431	и само	1	3
432	чтобы в	1	3
433	героя как	2	3
434	жизнь в	1	3
435	есть в	3	3
436	приходит в	1	3
437	они ни	1	3
438	можно сказать	6	3
439	существенный момент	1	3
440	в данном	4	3
441	жизни а	2	3
442	между двумя	2	3
443	в различных	1	3
444	является как	1	3
445	настоящее время	1	3
446	передо мной	2	3
447	одной из	2	3
448	как я	1	3
449	все без	1	3
450	что говорит	1	3
451	что даже	1	3
452	в структуре	3	3
453	всего в	1	3
454	только не	1	3
455	мы видим	1	3
456	по преимуществу	3	3
457	как такового	1	3
458	сознание в	1	3
459	чем у	1	3
460	внешнего мира	3	3
461	к чему	1	3
462	что его	1	3
463	его мысли	1	3
464	в таком	3	3
465	не бывает	1	3
466	человек в	1	3
467	между собой	2	3
468	и мир	1	3
469	могли бы	1	3
470	внутренний голос	2	3
471	не дает	1	3
472	ту же	1	3
473	как человек	1	3
