N	4gram	Tiupa_Narr	Myshleni
1	в то время как	1	20
2	одного и того же	2	17
3	состоит в том что	5	17
4	с этой точки зрения	1	16
5	один и тот же	1	12
6	одно и то же	2	12
7	в том числе и	1	10
8	с одной стороны и	1	10
9	одним и тем же	1	6
10	точно так же как	1	6
11	в той мере в	1	5
12	ответ на этот вопрос	1	5
13	той мере в какой	1	4
14	что с точки зрения	1	4
15	смысле можно сказать что	2	4
16	и то же слово	1	4
17	в той же мере	1	3
18	и в известном смысле	1	3
19	в свою очередь не	1	3
20	в связи с этим	1	3
21	но для того чтобы	1	3
22	в том виде в	1	3
23	дело в том что	2	3
24	том виде в каком	1	3
25	внимание на то что	2	3
26	к тому или иному	1	3
27	известном смысле можно сказать	2	3
28	в известном смысле можно	2	3
29	бы то ни было	1	3
30	одна и та же	1	3
31	сомневаться в том что	1	2
32	в то же время	7	2
33	же как и в	1	2
34	в той или иной	1	2
35	с точки зрения развития	1	2
36	к тому что он	2	2
37	в том случае если	1	2
38	и не может быть	2	2
39	не говорит нам о	1	2
40	мы имеем дело с	4	2
41	единство слова и мысли	1	1
42	тем самым как бы	1	1
43	с той или иной	2	1
44	том смысле как мы	1	1
45	не подлежит сомнению и	1	1
46	можно сказать что он	1	1
47	как раз в том	2	1
48	состоит как раз в	1	1
49	тем не менее едва	1	1
50	у него еще нет	1	1
51	и в самом деле	1	1
52	вступает в противоречие с	1	1
53	со своей точки зрения	1	1
54	ничего не говорит нам	1	1
55	нас нет никаких оснований	1	1
56	что с ним происходит	1	1
57	раз в том что	2	1
58	не менее едва ли	1	1
59	зависит не только от	1	1
60	у нас нет никаких	1	1
61	является в данном случае	1	1
62	в связи с этой	1	1
63	так и со стороны	1	1
64	прежде всего тем что	1	1
65	в том смысле как	1	1
66	и в то же	2	1
67	о наличии у него	1	1
68	он не может быть	1	1
69	но на этот раз	1	1
70	ни в чем не	1	1
71	по отношению к себе	1	1
72	не обращая внимания на	1	1
73	по отношению к ним	1	1
74	представляет собой один из	1	1
75	точно так же в	1	1
76	в этом и состоит	3	1
77	которая состоит в том	1	1
78	в этом отношении только	1	1
79	по мере того как	1	1
80	и в конечном счете	1	1
81	как и всякий другой	1	1
82	не сами по себе	1	1
83	в том что на	1	1
84	но то же самое	1	1
85	в качестве одного из	1	1
86	то же самое происходит	1	1
87	для того чтобы возник	1	1
88	в том что одно	2	1
89	как в случае с	1	1
90	и не могли бы	1	1
