N	4gram	Bakhtin_Fr	Dialekti
1	не что иное как	1	18
2	в то же время	14	14
3	одно и то же	1	12
4	есть не что иное	1	11
5	одна и та же	1	8
6	и в то же	3	6
7	ни в коем случае	1	6
8	одной и той же	1	5
9	не имеет никакого отношения	1	4
10	в связи с этим	3	4
11	с одной стороны и	1	4
12	на самом же деле	4	3
13	мы можем сказать что	1	3
14	но в то же	6	3
15	и это нисколько не	1	2
16	мы уже знаем что	1	2
17	убежден в том что	1	2
18	дело в том что	4	2
19	ни в чем не	1	2
20	то же время и	1	2
21	так же как и	2	2
22	но если мы будем	1	1
23	как мы уже сказали	3	1
24	бы в лучшем случае	1	1
25	и имеется в виду	1	1
26	а с другой стороны	1	1
27	в том что в	1	1
28	с другой стороны в	1	1
29	сосредоточиться на этом моменте	1	1
30	не может быть ни	1	1
31	можно сказать что в	1	1
32	нечего и говорить о	1	1
33	а потому что они	1	1
34	же как и в	1	1
35	до сих пор не	1	1
36	так что не остается	1	1
37	о том как он	1	1
38	в нем есть и	1	1
39	вы не знаете что	1	1
40	что это и есть	1	1
41	что в основе их	1	1
42	трудно провести между ними	1	1
43	и не может быть	1	1
44	с другой стороны эта	1	1
45	и в частности к	1	1
46	но мы уже знаем	1	1
47	можно прямо сказать что	1	1
48	выдвигает на первый план	1	1
49	и с точки зрения	2	1
50	но дело в том	1	1
51	только для того чтобы	2	1
52	говорить о том что	1	1
