N	2gram	Voloshinov	VerxiiNi
1	и в	32	26
2	таким образом	29	22
3	с тем	1	18
4	в этом	27	15
5	вместе с	2	15
6	точки зрения	48	13
7	как бы	31	12
8	в том	13	11
9	не только	18	10
10	и с	4	10
11	может быть	50	10
12	из этих	3	10
13	что в	5	9
14	так как	5	9
15	связи с	22	9
16	но и	17	9
17	в области	3	9
18	в общем	1	8
19	и не	42	8
20	как на	2	8
21	главным образом	2	8
22	с другой	6	8
23	но не	2	8
24	с одной	2	7
25	но все	4	7
26	том что	12	7
27	потому что	2	7
28	одной стороны	2	7
29	а с	1	7
30	то что	12	7
31	но в	13	7
32	из них	3	7
33	к нему	5	7
34	так и	21	6
35	в конце	5	6
36	несмотря на	1	6
37	все это	4	6
38	что и	5	6
39	в отношении	7	6
40	все эти	8	6
41	все же	13	6
42	к тому	8	6
43	о том	4	6
44	во всяком	8	6
45	и потому	7	6
46	всяком случае	4	6
47	мы должны	4	6
48	и т.д	6	6
49	с точки	31	6
50	в себе	5	6
51	того же	11	6
52	и к	3	5
53	до сих	10	5
54	том числе	3	5
55	в его	10	5
56	к жизни	2	5
57	тому же	2	5
58	более или	3	5
59	не имеет	6	5
60	с другом	2	5
61	или менее	3	5
62	сих пор	10	5
63	по крайней	1	5
64	того чтобы	9	5
65	для того	8	5
66	так же	10	5
67	лишь в	17	5
68	отношение к	1	5
69	одной из	5	5
70	образом в	1	5
71	в силу	1	5
72	друг с	2	5
73	а не	15	5
74	и для	15	5
75	крайней мере	1	5
76	никогда не	7	5
77	в самом	14	4
78	что оно	3	4
79	то есть	2	4
80	и по	1	4
81	то же	19	4
82	из которых	2	4
83	только в	14	4
84	в этих	2	4
85	с другими	6	4
86	целый ряд	3	4
87	учение о	3	4
88	что он	5	4
89	в смысле	11	4
90	в котором	6	4
91	и тогда	2	4
92	он не	5	4
93	и что	2	4
94	далеко не	5	4
95	а в	5	4
96	в этой	3	4
97	числе и	3	4
98	и от	6	4
99	не может	40	4
100	что все	3	4
101	на этот	3	4
102	в виде	1	4
103	в то	7	4
104	и только	2	4
105	в нем	17	4
106	во время	2	4
107	уже с	2	3
108	и другие	2	3
109	с этой	2	3
110	и при	3	3
111	при этом	13	3
112	для него	18	3
113	из всех	1	3
114	что это	3	3
115	тем не	3	3
116	и если	2	3
117	в качестве	4	3
118	в результате	9	3
119	связывается с	1	3
120	то с	1	3
121	так или	2	3
122	и даже	4	3
123	если бы	12	3
124	в которой	4	3
125	или иначе	3	3
126	с ней	1	3
127	на нее	2	3
128	с самого	9	3
129	в таком	8	3
130	случае не	1	3
131	в связи	12	3
132	ясно что	6	3
133	и как	8	3
134	как о	2	3
135	же как	2	3
136	но по	2	3
137	не менее	5	3
138	в других	1	3
139	и нет	1	3
140	что эти	1	3
141	можно сказать	4	3
142	друг за	1	3
143	хотя бы	8	3
144	в значительной	3	3
145	так что	2	3
146	у них	2	3
147	когда он	1	3
148	в одном	2	3
149	и те	7	3
150	всегда и	3	3
151	в рамках	1	3
152	к ним	1	3
153	культуры и	2	3
154	отношению к	9	3
155	в своем	3	3
156	уже не	2	3
157	подойти к	3	3
158	к этому	10	3
159	конце концов	3	3
160	своей индивидуальности	2	3
161	того что	5	3
162	никто из	2	2
163	бы то	11	2
164	связан с	1	2
165	влечет за	1	2
166	для всех	2	2
167	и здесь	9	2
168	и на	8	2
169	связанных с	1	2
170	благодаря этому	2	2
171	только что	2	2
172	к одной	2	2
173	уже в	3	2
174	тогда когда	2	2
175	не с	2	2
176	ни было	15	2
177	этом отношении	4	2
178	только не	1	2
179	что большинство	2	2
180	те же	5	2
181	не как	5	2
182	самой этой	1	2
183	прежде всего	19	2
184	требует от	1	2
185	одно из	1	2
186	как от	3	2
187	его от	1	2
188	этими двумя	2	2
189	в русском	1	2
190	не могут	4	2
191	когда же	1	2
192	различия между	1	2
193	со всеми	1	2
194	связь с	4	2
195	из него	4	2
196	не было	6	2
197	психической жизни	4	2
198	к его	4	2
199	этой точки	1	2
200	не в	13	2
201	в виду	2	2
202	в россии	1	2
203	одним из	4	2
204	мысль о	1	2
205	с целью	2	2
206	по существу	1	2
207	именно в	6	2
208	и действительно	4	2
209	он один	1	2
210	в процессе	31	2
211	очень много	1	2
212	между этими	2	2
213	можно назвать	2	2
214	с одним	1	2
215	к которым	3	2
216	для каждого	3	2
217	но когда	1	2
218	нужно чтобы	1	2
219	при таком	1	2
220	никем не	1	2
221	приводит к	3	2
222	на все	2	2
223	только для	1	2
224	было конечно	1	2
225	отличается от	1	2
226	должно было	2	2
227	говорили о	2	2
228	о котором	1	2
229	сравнению с	1	2
230	и материальной	1	2
231	связанный с	1	2
232	ничего общего	5	2
233	так например	2	2
234	особенно в	1	2
235	связано с	3	2
236	еще не	7	2
237	во всех	13	2
238	и мир	2	2
239	ли они	1	2
240	перестает быть	2	2
241	мы можем	6	2
242	уже давно	1	2
243	что мы	1	2
244	совершенно иной	1	2
245	ли это	1	2
246	если не	1	2
247	так называемой	3	2
248	но при	3	2
249	еще только	2	2
250	его не	2	2
251	по сравнению	1	2
252	то ни	12	2
253	между тем	8	2
254	в свою	6	2
255	быть и	9	2
256	сознании и	1	2
257	связана с	4	2
258	бы например	1	2
259	не могло	3	2
260	ни один	1	2
261	нет для	1	2
262	всех других	3	2
263	и является	4	2
264	на пути	1	2
265	так чтобы	1	2
266	восточные славяне	1	2
267	и это	6	2
268	в начале	7	2
269	превращается в	2	2
270	конечно не	9	2
271	по своей	1	2
272	же время	7	2
273	самого начала	9	2
274	или иное	1	2
275	еще на	1	2
276	же самое	9	2
277	тех пор	2	2
278	общего с	3	2
