N	2gram	Losev_Vesc	Myshleni
1	в том	15	195
2	в этом	17	167
3	то что	47	166
4	и в	44	162
5	том что	13	161
6	таким образом	16	147
7	точки зрения	10	143
8	что в	11	119
9	мышления и	1	117
10	не только	48	116
11	того что	16	109
12	так же	4	100
13	и речи	1	96
14	потому что	25	95
15	того чтобы	4	91
16	может быть	37	89
17	с точки	6	89
18	что он	7	86
19	не может	44	81
20	как и	15	79
21	для того	3	78
22	так как	17	78
23	и не	57	78
24	только в	23	75
25	в целом	3	74
26	как мы	6	72
27	но и	19	70
28	заключается в	3	67
29	в его	5	67
30	сказать что	21	65
31	как бы	19	64
32	вместе с	4	62
33	и что	22	60
34	было бы	24	60
35	в качестве	4	60
36	то же	12	58
37	в основе	4	58
38	в отношении	7	55
39	могли бы	1	54
40	между собой	2	53
41	в силу	4	53
42	что мы	17	53
43	в самом	13	52
44	по сравнению	8	51
45	в сущности	7	51
46	мы должны	5	50
47	к тому	3	49
48	что они	12	48
49	тем что	7	48
50	мы можем	4	48
51	понятий и	2	47
52	тогда когда	5	47
53	на основе	1	47
54	мы не	8	47
55	сравнению с	7	46
56	если бы	8	46
57	но не	9	45
58	с другой	8	45
59	с тем	8	43
60	же как	3	43
61	тем самым	2	43
62	тому что	2	42
63	как это	4	42
64	не является	3	41
65	о том	11	40
66	по своей	3	40
67	одной стороны	3	40
68	никогда не	5	39
69	с одной	3	39
70	так и	4	39
71	мы видели	3	38
72	и к	1	37
73	вопрос о	6	37
74	если мы	12	37
75	мы видим	5	37
76	не в	14	37
77	в этой	4	37
78	с самого	1	36
79	в своем	9	36
80	все эти	5	36
81	как в	3	36
82	а не	34	36
83	и его	4	36
84	того же	5	35
85	с другом	2	35
86	можно было	6	35
87	в себе	23	35
88	в которой	5	35
89	друг с	2	35
90	он не	4	35
91	для себя	6	35
92	связи с	1	34
93	и как	12	34
94	приводит к	2	34
95	прежде всего	17	33
96	при этом	1	33
97	по себе	22	33
98	именно в	2	32
99	и на	2	32
100	той же	2	32
101	что оно	10	32
102	нас к	1	32
103	же самое	1	32
104	что и	11	32
105	и тем	7	32
106	но в	8	32
107	слова и	7	32
108	все же	18	31
109	из того	3	31
110	и то	14	31
111	мысли и	5	30
112	на то	9	30
113	этом отношении	2	30
114	этого слова	1	29
115	могут быть	1	29
116	от того	7	29
117	с этим	4	28
118	что с	1	28
119	самом деле	7	28
120	переход от	2	28
121	только что	2	27
122	с этой	6	27
123	в результате	9	27
124	другой стороны	3	27
125	этом случае	1	27
126	в то	11	27
127	и с	11	27
128	в своей	6	27
129	связь между	1	27
130	что все	2	27
131	перед нами	3	27
132	в их	4	26
133	понятия в	1	26
134	в собственном	3	26
135	собственном смысле	4	26
136	что это	18	26
137	для него	8	26
138	в частности	3	26
139	в чем	10	25
140	что она	23	25
141	еще не	12	25
142	уже в	2	25
143	все это	7	25
144	можно сказать	8	25
145	только не	5	25
146	мы уже	3	25
147	это не	9	25
148	в смысле	22	24
149	мы знаем	1	24
150	тот же	4	24
151	понятия и	1	24
152	зависимости от	1	24
153	в сфере	6	24
154	на этот	1	24
155	в какой	1	24
156	так что	9	24
157	что эта	2	24
158	в нем	6	24
159	в слове	2	24
160	оба эти	3	24
161	этот вопрос	6	23
162	бы в	9	23
163	ни в	11	23
164	как он	2	23
165	слова в	2	23
166	во всяком	4	22
167	не могут	1	22
168	то время	4	22
169	смысле этого	1	22
170	и мышления	1	22
171	в зависимости	1	22
172	между ними	6	21
