N	4gram	Bakhtin_Fr	Hudozhes
1	в то же время	5	7
2	мы имеем в виду	1	3
3	в том числе и	7	2
4	в том что он	1	2
5	в той или иной	5	2
6	и в то же	2	2
7	бы карнавал переживаемый в	1	1
8	мы встречаемся с ним	1	1
9	контакт между всеми людьми	1	1
10	той или иной форме	4	1
11	фамильярный контакт между всеми	1	1
12	подчеркнуть при этом что	1	1
13	в одиночку с острым	1	1
14	переживаемый в одиночку с	1	1
15	но в то же	2	1
16	карнавал переживаемый в одиночку	1	1
17	вольный фамильярный контакт между	1	1
18	как бы карнавал переживаемый	1	1
