N	2gram	Vygotskiy_	Tragedij
1	и в	33	18
2	в этом	43	9
3	не только	28	8
4	и на	11	7
5	и не	18	7
6	может быть	15	7
7	и с	7	7
8	как бы	11	7
9	он сам	2	7
10	что он	40	6
11	у него	8	6
12	но в	9	6
13	и его	6	6
14	это не	8	5
15	несмотря на	3	5
16	что это	1	5
17	так и	8	5
18	к жизни	7	5
19	все же	5	5
20	то же	12	5
21	как и	13	5
22	не может	31	5
23	в то	5	5
24	что в	33	4
25	в себе	4	4
26	и даже	3	4
27	все это	2	4
28	прежде всего	5	4
29	и все	2	4
30	я не	6	4
31	об этом	1	4
32	еще не	11	4
33	но и	14	4
34	том что	41	4
35	и что	18	4
36	так же	22	4
37	то что	48	4
38	в этой	8	4
39	что я	4	4
40	в нем	10	4
41	но это	4	4
42	в целом	8	4
43	своего рода	1	3
44	и он	3	3
45	что с	7	3
46	один из	4	3
47	должно быть	10	3
48	в основном	2	3
49	уже в	4	3
50	в его	15	3
51	для него	9	3
52	в своем	11	3
53	с ним	6	3
54	о чем	3	3
55	и сам	1	3
56	что за	1	3
57	в конце	3	3
58	и как	7	3
59	как в	7	3
60	никто не	2	3
61	при этом	9	3
62	как это	11	3
63	тем самым	13	3
64	с ее	1	3
65	мог бы	1	3
66	как будто	2	3
67	отнюдь не	2	3
68	все эти	9	3
69	к нему	4	3
70	в самом	10	2
71	не так	1	2
72	и то	9	2
73	ребенка и	11	2
74	раз он	3	2
75	и здесь	2	2
76	данном случае	3	2
77	и за	1	2
78	в том	44	2
79	он и	1	2
80	с тем	9	2
81	в ее	1	2
82	по мнению	2	2
83	говорит о	4	2
84	ее за	1	2
85	что и	11	2
86	ни в	1	2
87	но при	2	2
88	чем он	5	2
89	что все	9	2
90	не могут	7	2
91	в виде	3	2
92	его в	6	2
93	как же	2	2
94	не в	10	2
95	в первом	4	2
96	но все	2	2
97	но эта	1	2
98	из самых	1	2
99	еще в	3	2
100	между этими	3	2
101	этими двумя	3	2
102	как говорит	2	2
103	вопрос о	15	2
104	имеет в	1	2
105	знает что	5	2
106	и это	3	2
107	под влиянием	4	2
108	к тому	14	2
109	о том	13	2
110	перед нами	1	2
111	с первого	2	2
112	не имеет	7	2
113	что эти	4	2
114	на всем	5	2
115	в данном	4	2
116	только к	4	2
117	что этот	1	2
118	отличие от	3	2
119	раз и	3	2
120	он был	1	2
121	то и	2	2
122	ребенка в	11	2
123	потому что	40	2
124	и дети	1	2
125	не играют	1	2
126	так что	8	2
127	он не	13	2
128	по поводу	3	2
129	в частности	9	2
130	но они	2	2
131	в одном	3	2
132	говорит что	7	2
133	по сей	1	2
134	в глаза	1	2
135	в отличие	3	2
136	его за	1	2
137	отношение к	12	2
138	собой но	2	2
139	в ходе	17	2
140	до конца	3	2
141	столь же	5	2
142	что она	3	2
143	который в	2	2
144	что говорит	1	2
145	с его	3	2
146	а как	1	2
147	не мог	1	2
148	тем что	12	2
149	и ее	2	2
150	никогда не	10	2
151	в известной	3	2
152	ничего не	6	2
153	друг друга	1	2
154	в той	8	1
155	психологического исследования	1	1
156	ситуации и	1	1
157	во всем	2	1
158	и которое	3	1
159	он очень	1	1
160	им как	1	1
161	то в	7	1
162	от нее	1	1
163	с помощью	32	1
164	от него	3	1
165	важнее для	1	1
166	второй ответ	1	1
167	этом случае	5	1
168	утверждать что	1	1
169	могут быть	7	1
170	только не	7	1
171	решение в	1	1
172	взгляд на	3	1
173	мы видим	6	1
174	в центре	2	1
175	в настоящем	1	1
176	что оно	9	1
177	что ему	2	1
178	для ребенка	6	1
179	мы встречаем	2	1
180	таким образом	30	1
181	опирается на	4	1
182	по всем	1	1
183	является ее	1	1
184	что идет	2	1
185	что наконец	1	1
186	после того	2	1
187	только что	6	1
188	на вопрос	7	1
189	первом же	1	1
190	известно что	2	1
191	и эту	1	1
192	того как	6	1
193	к этой	3	1
194	если он	4	1
195	почти не	1	1
196	которой не	1	1
197	с одной	10	1
198	впадает в	1	1
199	я знаю	1	1
200	что даже	1	1
201	должна быть	7	1
202	но еще	1	1
203	что уже	3	1
204	с этой	8	1
205	и при	4	1
206	дело с	2	1
207	в применении	1	1
208	синтеза и	1	1
209	к числу	1	1
210	это часто	1	1
211	что эта	7	1
212	эта новая	1	1
213	естественно что	4	1
214	неизмеримо более	5	1
215	на деле	1	1
216	его ума	1	1
217	что при	4	1
218	с этими	1	1
219	того что	34	1
220	сам по	1	1
221	тем не	1	1
222	думается нам	1	1
223	не как	3	1
224	для нас	1	1
225	где он	1	1
226	и всегда	1	1
227	не способен	3	1
228	время о	1	1
229	на одной	1	1
230	как он	7	1
231	чем для	1	1
232	в результате	9	1
233	говорил что	1	1
234	в виду	4	1
235	иными словами	1	1
236	смысле этого	2	1
237	прошел по	1	1
238	только в	21	1
239	не столько	3	1
240	по себе	8	1
241	эта речь	1	1
242	в самой	1	1
243	видит в	1	1
244	этом варианте	1	1
245	вопрос об	4	1
246	а на	1	1
247	говорит он	3	1
248	и притом	2	1
249	не было	1	1
250	так выразиться	1	1
251	ко всем	1	1
252	в духе	1	1
253	но он	8	1
254	здесь мы	1	1
255	значение только	1	1
256	относится то	1	1
257	до этого	1	1
258	ли мы	2	1
259	этого не	1	1
260	и отношения	3	1
261	скрытом виде	2	1
262	заключается в	15	1
263	на нее	2	1
264	одним из	4	1
265	мысль о	1	1
266	же по	3	1
267	мы начинаем	1	1
268	она даже	1	1
269	можно так	1	1
270	что не	2	1
271	как его	2	1
272	конфликт между	1	1
273	развития в	14	1
274	напомним что	1	1
275	никакого значения	1	1
276	не есть	4	1
277	именно в	8	1
278	тому типу	1	1
279	всем протяжении	5	1
280	за самим	1	1
281	ведет к	2	1
282	если за	1	1
283	более высокие	1	1
284	представление о	2	1
285	обоих случаях	2	1
286	при которой	2	1
287	указывает на	3	1
288	развитии этих	1	1
289	вообще не	5	1
290	этом прямо	1	1
291	тому что	14	1
292	очевидно нет	1	1
293	в связи	6	1
294	является по	2	1
295	с ними	4	1
296	показал что	6	1
297	приходит в	2	1
298	виде в	1	1
299	есть в	2	1
300	сливается с	1	1
301	в своей	5	1
302	рядом с	1	1
303	содержатся в	1	1
304	слов как	2	1
305	вместе с	9	1
306	и вместе	1	1
307	на этом	8	1
308	при таком	1	1
309	не менее	4	1
310	это происходит	2	1
311	так сказать	1	1
312	на все	7	1
313	бы не	1	1
314	в такой	5	1
315	связаны между	3	1
316	между собой	17	1
317	роли в	2	1
318	именно эта	1	1
319	если можно	1	1
320	в двух	1	1
321	сравнению с	9	1
322	по самой	4	1
323	это было	1	1
324	но уже	2	1
325	играть в	1	1
326	в чем	10	1
327	сознательно и	3	1
328	в момент	4	1
329	но мы	7	1
330	а он	1	1
331	виде что	1	1
332	тогда как	3	1
333	первостепенное значение	1	1
334	гораздо больше	1	1
335	начнем с	1	1
336	бы в	6	1
337	эти же	3	1
338	в них	3	1
339	нашему мнению	1	1
340	во всех	3	1
341	который он	1	1
342	к одному	4	1
343	во всяком	4	1
344	и потому	3	1
345	это и	3	1
346	и психологической	1	1
347	попал в	1	1
348	тем чем	2	1
349	к речи	1	1
350	совершенно не	5	1
351	но как	6	1
352	более чем	1	1
353	не является	7	1
354	это как	1	1
355	в котором	2	1
356	ему в	2	1
357	с самого	8	1
358	не могли	1	1
359	совершенно в	3	1
360	и новые	1	1
