N	4gram	Potebnia_M	Problema
1	не что иное как	1	14
2	в то время как	3	12
3	или по крайней мере	2	11
4	есть не что иное	1	11
5	дело в том что	1	10
6	не говоря уже о	1	7
7	заключается в том что	1	6
8	и в этом случае	1	6
9	бы то ни было	1	6
10	в том смысле что	2	5
11	тем не менее в	1	5
12	одним и тем же	4	4
13	одно и то же	7	4
14	самое нужно сказать и	1	3
15	то же самое нужно	2	3
16	же самое нужно сказать	1	3
17	одного и того же	2	3
18	как мы видели выше	1	3
19	только о том что	1	3
20	если бы не было	1	3
21	когда мы говорим что	1	3
22	с одной стороны и	1	3
23	не сам по себе	1	3
24	в том что он	2	3
25	нужно сказать и о	1	3
26	но тем не менее	4	2
27	значение сама по себе	1	2
28	как мы уже сказали	1	2
29	в том что и	1	2
30	все более и более	1	2
31	не имеющий ничего общего	1	2
32	одной и той же	4	2
33	один и тот же	2	2
34	а может быть и	1	2
35	а вместе с тем	1	2
36	только в том случае	1	2
37	и то и другое	1	2
38	себе отчет в том	1	2
39	имеющий ничего общего с	1	2
40	сам по себе а	1	2
41	и о том что	1	2
42	как бы она ни	1	2
43	только в том что	3	2
44	не только в том	1	2
45	бы она ни была	1	2
46	отчет в том что	1	2
47	прибавим к этому что	1	1
48	указанные до сих пор	1	1
49	то есть то что	1	1
50	только тогда когда это	1	1
51	сам по себе или	1	1
52	друг к другу и	1	1
53	и т д можно	1	1
54	и в таком случае	1	1
55	не только не есть	1	1
56	в том смысле как	1	1
57	то по крайней мере	1	1
58	и сам по себе	1	1
59	между тем и другим	2	1
60	уже одно то что	1	1
61	в то же время	8	1
62	заключается не только в	1	1
63	может быть не только	1	1
64	сам по себе еще	1	1
65	по себе а как	1	1
66	тем не менее этот	1	1
67	само по себе может	1	1
68	и в самом деле	1	1
69	и в других случаях	1	1
70	по самой своей природе	1	1
71	или что то же	1	1
72	как и в других	1	1
73	то время как в	1	1
74	сводится к тому что	1	1
75	не в переносном а	1	1
76	и тем же словом	2	1
77	вопрос о том что	1	1
78	в переносном а в	1	1
79	здесь только в том	1	1
80	только в очень редких	1	1
81	здесь не только в	1	1
82	не было бы никакого	1	1
83	что это и не	1	1
84	дело вовсе не в	1	1
85	достаточно для того чтобы	1	1
86	в том случае когда	1	1
87	состоит в том что	1	1
88	в том в чем	1	1
89	в силу того что	2	1
90	в очень редких случаях	1	1
91	в том случае если	1	1
92	имеет значение сама по	1	1
93	хотя бы оно и	1	1
94	значение не сам по	1	1
95	по себе еще не	1	1
96	на то что в	1	1
97	и не может быть	1	1
98	имеет ближайшее отношение к	1	1
99	вовсе не то что	1	1
100	тем не менее они	1	1
101	есть то что мы	1	1
102	будет сказать несколько слов	1	1
103	тем не менее совершенно	1	1
104	потому что оно есть	1	1
105	и во многих других	1	1
106	вместе с тем и	3	1
107	и сама по себе	1	1
108	прежде чем говорить о	1	1
109	то и другое имеет	1	1
110	искусство имеет своим предметом	1	1
111	имеет значение не сам	1	1
112	в том что этот	1	1
113	именно потому что он	1	1
114	только в таком случае	1	1
115	в том что его	1	1
116	только по тому как	1	1
117	указывает нам на то	1	1
118	то тем самым мы	1	1
119	здесь как и в	1	1
