N	2gram	Tiupa_Teor	VerxiiNi
1	и в	24	26
2	таким образом	3	22
3	с тем	1	18
4	в этом	12	15
5	вместе с	2	15
6	точки зрения	11	13
7	как бы	8	12
8	в том	20	11
9	не только	24	10
10	может быть	22	10
11	из этих	3	10
12	что в	10	9
13	так как	1	9
14	связи с	3	9
15	но и	14	9
16	в области	7	9
17	и не	17	8
18	с другой	9	8
19	но не	13	8
20	с одной	3	7
21	том что	11	7
22	потому что	3	7
23	одной стороны	3	7
24	а с	3	7
25	то что	6	7
26	но в	12	7
27	из них	1	7
28	к нему	2	7
29	так и	14	6
30	в конце	2	6
31	несмотря на	2	6
32	все это	2	6
33	что и	2	6
34	в отношении	4	6
35	все эти	3	6
36	все же	1	6
37	к тому	4	6
38	о том	2	6
39	и потому	3	6
40	и т.д	4	6
41	с точки	3	6
42	в себе	14	6
43	того же	4	6
44	и к	3	5
45	том числе	3	5
46	в его	12	5
47	к жизни	2	5
48	тому же	1	5
49	более или	6	5
50	в мире	26	5
51	не имеет	1	5
52	или менее	6	5
53	по крайней	1	5
54	того чтобы	5	5
55	для того	5	5
56	так же	2	5
57	лишь в	10	5
58	отношение к	7	5
59	одной из	2	5
60	в силу	4	5
61	а не	14	5
62	и для	3	5
63	крайней мере	1	5
64	никогда не	4	5
65	в самом	7	4
66	то есть	22	4
67	и по	3	4
68	то же	12	4
69	из которых	2	4
70	только в	9	4
71	в этих	4	4
72	должен был	1	4
73	с другими	6	4
74	целый ряд	1	4
75	что он	4	4
76	в котором	1	4
77	он не	5	4
78	и что	4	4
79	далеко не	4	4
80	а в	15	4
81	в этой	3	4
82	числе и	2	4
83	и от	1	4
84	не может	8	4
85	что все	1	4
86	в то	9	4
87	и только	1	4
88	в нем	7	4
89	и другие	2	3
90	с этой	3	3
91	при этом	20	3
92	для него	5	3
93	что это	1	3
94	тем не	3	3
95	в качестве	33	3
96	в результате	1	3
97	то с	1	3
98	духовной культуры	2	3
99	так или	5	3
100	и даже	2	3
101	если бы	3	3
102	в которой	3	3
103	или иначе	6	3
104	с ней	1	3
105	на нее	1	3
106	в таком	3	3
107	случае не	2	3
108	в связи	3	3
109	и как	3	3
110	же как	1	3
111	но по	1	3
112	если в	2	3
113	не менее	6	3
114	из которого	3	3
115	путь к	1	3
116	можно сказать	5	3
117	но с	1	3
118	каждая из	2	3
119	в значительной	2	3
120	представляет собой	13	3
121	так что	1	3
122	а после	1	3
123	так называемые	1	3
124	точно так	1	3
125	в одном	3	3
126	и те	1	3
127	не вполне	2	3
128	в рамках	13	3
129	к ним	1	3
130	и о	5	3
131	культуры и	1	3
132	отношению к	10	3
133	в своем	7	3
134	уже не	6	3
135	своей индивидуальности	1	3
136	того что	5	3
137	бы то	2	2
138	все что	1	2
139	для всех	2	2
140	один из	2	2
141	и здесь	2	2
142	и на	2	2
143	свидетельствует о	1	2
144	мы имеем	7	2
145	не с	3	2
146	ни было	2	2
147	только не	3	2
148	те же	1	2
149	не как	1	2
150	прежде всего	3	2
151	из своих	1	2
152	требует от	1	2
153	одно из	1	2
154	в русском	1	2
155	не могут	2	2
156	когда же	1	2
157	со всеми	1	2
158	в них	2	2
159	не было	1	2
160	к его	3	2
161	этой точки	2	2
162	не в	9	2
