N	2gram	Voloshinov	VrazhdaK
1	не только	18	9
2	в этом	27	8
3	лишнего человека	2	8
4	и в	32	8
5	и что	2	8
6	достоевский в	1	8
7	что в	5	7
8	и все	8	7
9	но и	17	7
10	то что	12	7
11	о нем	1	6
12	как и	19	6
13	и даже	4	6
14	и с	4	6
15	в романе	2	6
16	все же	13	6
17	в котором	6	6
18	в начале	7	6
19	– это	11	6
20	в нем	17	6
21	но в	13	6
22	то же	19	5
23	у него	2	5
24	в россии	1	5
25	и не	42	5
26	между тем	8	5
27	не было	6	5
28	же время	7	5
29	в то	7	5
30	это не	5	4
31	при этом	13	4
32	несмотря на	1	4
33	с ним	1	4
34	все это	4	4
35	в виду	2	4
36	в своих	2	4
37	что он	5	4
38	уже в	3	4
39	о том	4	4
40	в дневнике	1	4
41	может быть	50	4
42	в ней	5	4
43	целый ряд	3	4
44	в истории	5	4
45	как бы	31	4
46	так же	10	4
47	русской литературе	1	3
48	в его	10	3
49	в том	13	3
50	его в	7	3
51	связи с	22	3
52	но он	1	3
53	в связи	12	3
54	и как	8	3
55	далеко не	5	3
56	тем что	3	3
57	речь идет	1	3
58	в чем	2	3
59	в русской	3	3
60	человека в	3	3
61	он был	2	3
62	чтобы он	1	3
63	том что	12	3
64	в этот	1	3
65	он не	5	3
66	в конце	5	3
67	что есть	1	3
68	одним из	4	3
69	в своем	3	3
70	на то	4	3
71	с его	6	3
72	и его	33	3
73	к этому	10	3
74	по нашему	1	3
75	и во	2	3
76	в той	6	2
77	таким образом	29	2
78	и то	4	2
79	ответ на	3	2
80	и он	4	2
81	от сознания	1	2
82	после этого	1	2
83	его с	1	2
84	мы знаем	7	2
85	с точки	31	2
86	для него	18	2
87	его и	3	2
88	этот момент	2	2
89	о чем	1	2
90	как раз	5	2
91	нашего времени	1	2
92	о которой	1	2
93	же не	2	2
94	сознания своей	1	2
95	как же	5	2
96	же в	1	2
97	отношения к	2	2
98	его на	1	2
99	их в	1	2
100	же как	2	2
101	в своей	5	2
102	рядом с	7	2
103	вместе с	2	2
104	что ж	1	2
105	в это	1	2
106	в известном	1	2
107	не менее	5	2
108	и это	6	2
109	на первый	2	2
110	еще не	7	2
111	но как	3	2
112	а с	1	2
113	в свою	6	2
114	на основе	4	2
115	и т.п	17	2
116	в этой	3	2
117	в нашей	1	2
118	при помощи	1	2
119	а в	5	2
120	к ним	1	2
121	отношение к	1	2
122	уже не	2	2
123	из них	3	2
124	в себе	5	2
125	что я	1	2
126	лишних людей	1	2
127	не может	40	2
128	место в	5	2
129	столь же	2	2
130	точки зрения	48	2
131	тем более	3	2
132	одна из	6	2
133	об этой	1	2
134	он сам	1	2
135	в эти	2	2
136	отнюдь не	14	2
137	но это	1	2
138	во время	2	2
139	в него	1	2
140	и ее	4	2
141	пришел к	1	2
142	никогда не	7	2
143	появились в	1	1
144	в особенности	1	1
145	доступ в	1	1
146	все в	2	1
147	никто из	2	1
148	в самом	14	1
149	с большими	1	1
150	то в	3	1
151	как к	2	1
152	связан с	1	1
153	именно к	1	1
154	можно проследить	1	1
155	так и	21	1
156	что они	1	1
157	в литературе	2	1
158	для всех	2	1
159	до сих	10	1
160	в душе	3	1
161	короче говоря	1	1
162	можно говорить	1	1
163	и этот	2	1
164	важно как	2	1
165	– так	1	1
166	этого в	1	1
167	из которых	2	1
168	приближается к	1	1
169	по всем	2	1
170	для русской	1	1
171	они не	2	1
172	основу и	1	1
173	только что	2	1
174	этот процесс	4	1
175	также что	1	1
176	это будет	2	1
