N	3gram	Ircho_Kome	VrazhdaK
1	и все же	2	5
2	то же время	11	4
3	в то же	11	4
4	в связи с	3	3
5	в том что	15	2
6	в этот момент	1	2
7	не может быть	1	2
8	он не только	1	2
9	как раз в	1	2
10	с точки зрения	6	2
11	и о том	1	2
12	все же в	1	1
13	не было бы	1	1
14	но при этом	1	1
15	но в этот	1	1
16	в котором он	1	1
17	в ответ на	4	1
18	ироническое отношение к	3	1
19	в свою очередь	10	1
20	у целого ряда	1	1
21	лет тому назад	5	1
22	на первое место	1	1
23	в то время	3	1
24	в конце концов	3	1
25	с просьбой о	1	1
26	речь идет о	3	1
27	в это же	1	1
28	равно как и	3	1
29	молодой человек в	1	1
30	ли не самым	2	1
31	о том как	5	1
32	в той же	1	1
33	точно так же	1	1
34	так же как	1	1
35	это же время	1	1
36	и во многом	1	1
37	а тем более	1	1
38	на то что	1	1
39	прямое выражение в	1	1
40	и в то	2	1
41	в соответствии с	1	1
42	к себе на	1	1
43	по крайней мере	1	1
44	не забудем что	1	1
45	и никогда не	1	1
46	он и не	2	1
47	о том что	7	1
48	его в том	1	1
49	до сих пор	12	1
50	в высшей степени	2	1
51	что как раз	1	1
52	но в этом	1	1
53	не хочет быть	2	1
54	но об этом	1	1
55	его отношение к	1	1
56	есть все основания	1	1
57	в это время	1	1
58	на этот раз	2	1
59	в том же	2	1
60	в каком направлении	1	1
61	во всяком случае	3	1
62	тем не менее	3	1
63	к вопросу о	1	1
64	и в самом	7	1
65	в свою пользу	1	1
66	все что ни	1	1
67	как бы в	1	1
68	едва ли не	4	1
69	на первый план	1	1
70	с другой стороны	2	1
71	в другой раз	3	1
72	не с точки	1	1
73	а с точки	1	1
74	у него в	1	1
75	не последнее место	1	1
76	в третий раз	1	1
77	в момент его	1	1
78	что у него	1	1
79	тем более что	1	1
80	независимо от того	1	1
81	в его поведении	1	1
82	из ненависти к	1	1
83	тем что он	1	1
84	в этом отношении	2	1
85	и не может	1	1
86	и в этом	1	1
87	х годов в	1	1
