N	2gram	Bakhtin_sl	Problemy
1	и в	69	106
2	и не	32	90
3	как бы	16	70
4	может быть	40	66
5	в его	19	56
6	в этом	21	52
7	в нем	44	51
8	чужое слово	11	49
9	не может	27	49
10	как и	8	44
11	что он	2	44
12	точки зрения	24	40
13	но и	37	40
14	для него	8	39
15	и его	45	39
16	а не	29	38
17	о себе	2	37
18	то же	17	36
19	не только	37	36
20	в пределах	27	35
21	то что	2	33
22	но в	13	33
23	прежде всего	14	32
24	он не	5	29
25	в то	17	29
26	чужого слова	42	29
27	все это	14	29
28	и все	9	28
29	в одном	4	27
30	не в	14	27
31	к другому	1	27
32	к себе	1	26
33	же время	15	26
34	в самом	6	25
35	и с	10	25
36	к нему	7	25
37	с точки	11	25
38	в сущности	18	25
39	и т	56	25
40	себе самому	1	25
41	не как	4	24
42	вовсе не	16	24
43	героя и	5	24
44	рядом с	7	23
45	и на	17	23
46	слова и	21	23
47	по себе	4	22
48	в каждом	5	22
49	таким образом	16	22
50	там где	10	21
51	как мы	15	21
52	все же	10	20
53	никогда не	9	20
54	только в	9	20
55	потому что	2	20
56	что в	3	19
57	с его	8	19
58	отношению к	2	19
59	слова в	19	19
60	уже не	5	18
61	по отношению	2	18
62	т п	49	18
63	в себе	3	18
64	еще не	9	18
65	о нем	6	18
66	на самом	2	18
67	но не	7	18
68	все эти	15	18
69	слово о	1	18
70	и к	9	17
71	с ним	12	17
72	а в	10	17
73	в том	7	17
74	это не	8	17
75	так и	22	17
76	так же	2	16
77	если бы	1	16
78	в своей	8	16
79	в другом	4	16
80	о мире	1	15
81	у него	5	15
82	до конца	25	15
83	и для	7	15
84	чужим словом	20	15
85	и наконец	9	15
86	и сам	4	14
87	на чужое	1	14
88	в своем	9	14
89	как раз	3	14
90	в конце	1	14
91	а как	3	14
92	по замыслу	2	14
93	в отношении	9	14
94	слово героя	2	14
95	себя самого	1	14
96	так как	7	14
97	он и	1	14
98	с другим	1	14
99	лишь в	6	14
100	но все	2	13
101	на него	1	13
102	точка зрения	10	13
103	с другими	8	13
104	его в	7	13
105	большинстве случаев	11	13
106	в мире	1	13
107	и это	1	13
108	достоевского и	1	13
109	героя в	2	13
110	в романе	64	13
111	себя и	2	13
112	перед нами	7	13
113	в романах	3	13
114	в большинстве	16	13
115	в целом	3	13
116	при этом	12	12
117	даже в	4	12
118	отношении к	9	12
119	и как	3	12
120	и даже	11	12
121	чужому слову	6	12
122	и слово	4	12
123	к тому	3	12
124	во всяком	9	12
125	в котором	2	12
126	авторское слово	6	12
127	к чужому	9	12
128	что и	2	12
129	не знает	3	12
130	так сказать	11	12
131	так что	2	12
132	и что	2	12
133	за пределы	6	12
134	было бы	3	12
135	между тем	5	12
136	как в	18	12
137	том что	6	12
138	но это	3	12
139	ничего не	5	12
140	слово в	18	12
141	в одной	2	12
142	в плане	11	12
143	пределах одного	8	11
144	тем что	1	11
145	входит в	8	11
146	с другой	8	11
147	он сам	1	11
148	должно быть	3	11
149	это слово	1	11
150	слово и	5	11
151	м б	1	11
152	бы в	1	11
153	мы уже	4	11
154	в форме	3	11
155	не могут	7	11
156	дело идет	2	11
157	бы и	6	11
158	сливается с	6	11
159	самого героя	1	11
160	этого слова	2	11
161	своему предмету	6	11
