N	4gram	Bakhtin_Pr	OGranits
1	не чем иным как	1	2
2	не что иное как	1	2
3	одно и то же	1	2
4	есть не что иное	1	2
5	с точки зрения своего	2	1
6	состоит в том что	1	1
7	выходит за пределы настоящей	1	1
8	но тем не менее	1	1
9	но далеко не всегда	1	1
10	мы не касаемся здесь	1	1
11	в то же время	8	1
12	и не может быть	5	1
13	во всей своей полноте	1	1
14	но это конечно не	1	1
15	но в то же	3	1
16	ничего общего не имеет	1	1
17	нет и не может	3	1
18	в собственном смысле слова	1	1
19	него не может быть	1	1
20	один и тот же	1	1
21	собственном смысле слова и	1	1
