N	3gram	Tiupa_Teor	OGranits
1	с точки зрения	3	5
2	не может быть	5	4
3	одно и то	2	3
4	по отношению к	10	3
5	в том что	10	2
6	не что иное	1	2
7	того или иного	6	2
8	в зависимости от	1	2
9	в данном случае	5	2
10	и то же	2	2
11	есть не что	1	2
12	материала в искусстве	1	2
13	в самом деле	2	2
14	что иное как	1	2
15	с одной стороны	3	2
16	с другой стороны	6	2
17	в особенности в	1	1
18	так же точно	1	1
19	и как бы	1	1
20	все то что	1	1
21	включает в себя	2	1
22	иметь в виду	1	1
23	всей своей полноте	1	1
24	но в то	2	1
25	которого только и	1	1
26	человека и его	1	1
27	ни одно слово	1	1
28	подобно тому как	3	1
29	в конечном счете	6	1
30	по себе а	1	1
31	если говорить о	1	1
32	так же как	1	1
33	тех или иных	3	1
34	для того чтобы	5	1
35	но в действительности	1	1
36	том что в	1	1
37	может быть это	1	1
38	можно говорить о	1	1
39	во всей своей	1	1
40	и т.д как	1	1
41	не только на	1	1
42	что в основе	2	1
43	то или иное	1	1
44	в отличие от	7	1
45	этой точки зрения	2	1
46	эстетического объекта и	1	1
47	ту или иную	2	1
48	можно лишь путем	1	1
49	следует иметь в	1	1
50	в хх веке	1	1
51	как и в	2	1
52	в связи с	3	1
53	то же самое	1	1
54	не входит в	1	1
55	организации художественного произведения	2	1
56	к тому что	2	1
57	с ними и	2	1
58	та или иная	1	1
59	тем не менее	3	1
60	только то что	1	1
61	отношений между людьми	1	1
62	его можно лишь	1	1
63	в одном случае	1	1
64	в организации художественного	1	1
65	точки зрения и	1	1
66	то же время	8	1
67	собственно говоря и	1	1
68	более или менее	6	1
69	в то же	8	1
70	в виду что	1	1
71	с этой точки	2	1
72	состоит в том	6	1
73	в его эстетической	1	1
74	может быть и	2	1
