N	3gram	Nazirov_Tv	Myshleni
1	в том что	8	133
2	заключается в том	1	51
3	по отношению к	3	42
4	так же как	1	39
5	с одной стороны	1	39
6	с самого начала	3	36
7	то же самое	1	31
8	можно было бы	1	28
9	вместе с тем	1	26
10	с другой стороны	2	26
11	о том что	6	25
12	не может быть	2	23
13	к тому что	1	22
14	можно сказать что	2	21
15	в самом деле	2	19
16	в отличие от	2	18
17	во всяком случае	2	18
18	до сих пор	1	17
19	и того же	1	17
20	в связи с	2	17
21	одного и того	1	17
22	же как и	1	17
23	в данном случае	2	15
24	в известном смысле	2	15
25	на всем протяжении	1	14
26	на этот вопрос	2	14
27	в первую очередь	1	14
28	мы уже говорили	2	14
29	в свою очередь	2	14
30	это значит что	1	13
31	точно так же	3	13
32	а с другой	1	13
33	в другом месте	1	13
34	то и другое	1	13
35	тем не менее	2	12
36	том что в	3	11
37	те и другие	1	11
38	том числе и	1	10
39	то что в	1	10
40	в том числе	1	10
41	друг на друга	1	10
42	в целом и	1	9
43	мы видим в	1	9
44	как и в	2	9
45	в конечном счете	4	9
46	на самом деле	2	9
47	именно в этом	1	9
48	более и более	1	8
49	по самой своей	1	8
50	той или иной	1	8
51	не могут быть	2	8
52	что он не	1	8
53	в том же	3	8
54	в этой области	1	8
55	все более и	1	8
56	о том как	1	7
57	в этот период	1	6
58	имеет в виду	1	6
59	ничего общего с	1	6
60	заключает в себе	1	6
61	привело нас к	1	6
62	именно потому что	1	6
63	только то что	1	6
64	и не может	2	6
65	процесса в целом	1	6
66	не что иное	1	6
67	что иное как	1	6
68	и как бы	1	5
69	как частный случай	1	5
70	мы никогда не	1	5
71	с первого взгляда	1	5
72	и что в	1	5
73	ту же самую	1	5
74	сами по себе	2	5
75	в конце концов	1	5
76	в этом пункте	1	5
77	не может не	1	5
78	и в этом	1	5
79	мы знаем что	1	5
80	и ту же	1	5
81	в то же	19	5
82	ответ на этот	1	5
83	только потому что	1	5
84	не только в	2	5
85	едва ли не	2	5
86	по нашему мнению	9	5
87	влечет за собой	2	4
88	так и в	2	4
89	одну и ту	1	4
90	к вопросу о	1	4
91	таким образом и	1	4
92	не то что	1	4
93	представляет собой не	1	4
94	он приходит к	2	4
95	в предисловии к	1	4
96	же самое время	1	3
97	в применении к	1	3
98	и по способу	1	3
99	то ни было	1	3
100	и в другом	1	3
101	мы говорим о	1	3
102	хотя бы и	1	3
103	но при этом	1	3
104	та же самая	2	3
105	мы узнаем что	2	3
106	к тому же	1	3
107	они представляют собой	1	3
108	имеет место в	1	3
109	или во всяком	1	3
110	говорили что в	1	3
111	то же время	18	3
112	в целом ряде	1	3
113	одна и та	1	3
114	дело в том	4	3
115	того или иного	1	3
116	мы имеем в	1	3
117	к которым приводит	1	3
118	является одним из	3	3
119	уже говорили что	1	3
120	но тем самым	1	3
121	является как бы	1	3
122	являются как бы	1	3
123	поэтому мы должны	1	3
124	то к чему	1	3
125	так например в	1	3
126	в известной мере	2	3
127	и потому что	1	3
128	в один ряд	1	3
129	в соответствии с	7	3
130	по мере своего	1	3
131	что как бы	1	3
132	бы то ни	1	3
133	значит что он	1	3
134	в основе этой	1	3
135	что они имеют	1	3
136	а вместе с	1	3
137	в которой он	1	3
138	и в самом	1	3
139	в настоящее время	1	3
140	тем что они	1	3
141	я не могу	1	3
142	и та же	2	3
143	имеем в виду	1	3
144	нет и не	1	3
145	решающую роль в	1	2
146	мысли и не	1	2
147	в частности в	1	2
148	как это имеет	1	2
149	сказывается в том	1	2
150	самом же деле	1	2
151	на самом же	1	2
152	в этой связи	2	2
153	в одном из	2	2
154	за то что	1	2
155	не только для	1	2
156	не в его	1	2
157	в чем же	1	2
158	не мог не	1	2
159	может быть в	1	2
160	но все это	1	2
161	все же не	1	2
162	как и на	1	2
163	это сказывается в	1	2
164	в полном согласии	1	2
165	не только потому	1	2
166	и все же	3	2
167	при этом она	1	2
168	по сути дела	5	2
169	что может быть	1	2
170	и приводит к	1	2
171	на протяжении всего	2	2
172	и отношений между	1	2
173	можно так выразиться	1	2
174	мере своего развития	1	2
175	в самом конце	1	2
176	это имеет место	1	2
177	он еще не	2	2
178	один ряд с	1	2
179	что оно не	1	2
180	он не может	1	2
181	что у него	2	2
182	означает в то	1	2
183	и через него	1	2
184	если можно так	1	2
185	по мере приближения	1	2
186	при этом он	2	2
187	по себе не	1	2
188	в своей книге	1	2
189	полном согласии с	1	2
190	с той же	1	2
191	решения этой задачи	1	2
192	в действительной жизни	1	2
193	ту или иную	1	2
194	что все это	3	2
195	и в их	1	2
196	что дает нам	1	2
197	могут быть названы	1	2
198	не столько на	1	2
199	в глаза и	1	1
200	а в плане	1	1
201	что в каждом	1	1
202	одно из главных	1	1
203	мы не находим	1	1
204	по себе а	1	1
205	а тем самым	1	1
206	и если не	1	1
207	ничего не говорит	1	1
208	в котором оно	1	1
209	в прямом смысле	1	1
210	как и его	1	1
211	дело не в	1	1
212	и те и	1	1
213	и не имеют	1	1
214	перед нами раскрывается	1	1
215	у него в	1	1
216	но на этот	1	1
217	так как никто	1	1
218	бы говорить о	1	1
219	не может жить	1	1
220	а если мы	1	1
221	особое внимание на	1	1
222	чего он не	1	1
223	отнюдь не означает	1	1
224	не сводится к	1	1
225	прочим в том	1	1
226	а во второй	1	1
227	том что этот	1	1
228	мы все время	1	1
229	в чем не	1	1
230	тем самым как	1	1
231	и превращается в	1	1
232	не сами по	1	1
233	приводит нас в	1	1
234	означало бы что	1	1
235	на него в	1	1
236	это означало бы	1	1
237	и на другой	1	1
238	имел в виду	1	1
239	принцип удовольствия управляющий	1	1
240	на наших глазах	1	1
241	достоевский рассказывает о	1	1
242	приводит его к	1	1
243	пришел к выводу	1	1
244	чуть ли не	1	1
245	только в двух	1	1
246	психологии и в	1	1
247	прежде всего на	1	1
248	принципиально отличную от	1	1
249	о котором говорил	1	1
250	по крайней мере	4	1
251	том или другом	1	1
252	это не означает	2	1
253	связи могут быть	1	1
254	со всеми его	1	1
255	переход от одной	1	1
256	все та же	1	1
257	как и сам	1	1
258	не менее чем	1	1
259	и в процессе	1	1
260	как один из	1	1
261	только в качестве	1	1
262	в основе всех	1	1
263	потому что не	1	1
264	да и в	1	1
265	для себя из	1	1
266	заметим кстати что	1	1
267	в одной из	4	1
268	идея может быть	1	1
269	это еще не	1	1
270	чем у нас	1	1
271	нам представляется что	1	1
272	здесь нет нужды	1	1
273	выводом из этой	1	1
274	и это не	1	1
275	во времени по	1	1
276	том же заколдованном	1	1
277	с самим собой	1	1
278	потому и является	1	1
279	он говорит об	1	1
280	всех и всяческих	1	1
281	в котором все	1	1
282	наряду с ними	1	1
283	в первый раз	1	1
284	как частного случая	1	1
285	через него с	1	1
286	мышления как говорит	1	1
287	все это в	1	1
288	самым как бы	1	1
289	к человеку как	2	1
290	ни в чем	1	1
291	который в своей	1	1
292	как нечто внешнее	1	1
293	и т д	10	1
294	прямо и недвусмысленно	1	1
295	потому что я	1	1
296	при этом с	1	1
297	не может служить	1	1
298	в дальнейшем мы	1	1
299	анекдот в котором	1	1
300	бы он ни	1	1
301	в противоречии с	1	1
302	и наконец в	1	1
303	новую принципиально отличную	1	1
304	во главе с	2	1
305	в ту же	1	1
306	что в одном	1	1
307	это все та	1	1
308	целый ряд других	1	1
309	и даже как	1	1
310	но не существует	1	1
311	в случае с	1	1
312	не значит что	2	1
313	на эту форму	1	1
314	что он был	1	1
315	и вследствие этого	1	1
316	важную роль в	1	1
317	бы что он	1	1
318	является общим законом	1	1
319	как только его	1	1
320	это само собой	1	1
321	конечном счете и	1	1
322	человека и его	2	1
323	как и всякая	1	1
324	и в то	3	1
325	все же и	1	1
326	следует рассматривать в	1	1
327	уже по самому	1	1
328	и в других	1	1
329	этой проблемы в	1	1
330	смысла но если	1	1
331	это не значит	2	1
332	в силах вывести	1	1
333	которые сами по	1	1
334	друга в то	1	1
335	лишь в диалоге	1	1
336	не в силах	1	1
337	таким образом чтобы	1	1
338	в себя как	1	1
339	исследования на которых	1	1
340	в этом плане	1	1
341	собой не что	1	1
342	никогда не должны	1	1
343	и в том	1	1
344	он не боится	1	1
345	самом конце развития	1	1
346	равно как и	1	1
347	и должно быть	1	1
348	в свою противоположность	2	1
349	и вот в	1	1
350	он пришел к	1	1
351	в поле зрения	1	1
352	то что может	1	1
353	традиционное представление о	1	1
354	с большим трудом	1	1
355	ведет к тому	1	1
356	которые играют в	1	1
357	но и потому	1	1
358	не видим его	1	1
359	говорить о том	1	1
360	никогда не является	1	1
361	он обнаруживает в	1	1
362	хотя и не	1	1
363	в его понимании	1	1
364	а как бы	1	1
365	к анализу самого	1	1
366	же заколдованном кругу	1	1
367	мы находим у	1	1
368	в отрыве от	1	1
369	но отнюдь не	1	1
370	связана с ней	1	1
371	человеком которого я	1	1
372	он принадлежит к	1	1
373	чего я не	1	1
374	нее никогда не	1	1
375	его содержания как	1	1
376	глубокие изменения в	1	1
377	но только не	1	1
378	и в истории	1	1
379	как это случилось	1	1
380	сплошь и рядом	1	1
381	сразу во всей	1	1
382	это и есть	1	1
383	между прочим в	1	1
384	что он как	1	1
385	язык в школе	1	1
386	во всей ее	1	1
