N	4gram	Losev_Dial	Russkaja
1	в то же время	7	10
2	и вместе с тем	1	2
3	и в другом случае	1	2
4	в том и в	1	2
5	и в том и	1	2
6	том и в другом	1	2
7	он на самом деле	1	1
8	ни того ни другого	1	1
9	мы уже знаем что	2	1
10	можно сказать только то	1	1
11	и то и другое	3	1
12	на самом деле ничего	1	1
13	дело в том что	1	1
14	может привести только к	1	1
15	но мы уже знаем	1	1
16	можно было бы показать	1	1
17	и с точки зрения	1	1
18	друг с другом в	1	1
19	что и то и	1	1
20	а в том что	1	1
21	но в то же	1	1
22	сказать только то что	1	1
23	именно с точки зрения	1	1
24	говорить о том что	1	1
25	по существу ничем не	1	1
26	это и есть самое	1	1
27	может и должно быть	1	1
28	несмотря на то что	2	1
29	что это как не	1	1
30	до сих пор мы	1	1
31	нечего и говорить что	1	1
32	точно так же как	1	1
