N	2gram	Losev_Vesc	slovoVRo
1	и в	44	92
2	и т	37	82
3	то есть	2	64
4	может быть	37	59
5	и его	4	59
6	в нем	6	59
7	и не	57	51
8	не только	48	44
9	не может	44	41
10	но и	19	39
11	в этом	17	36
12	а не	34	34
13	во всех	5	32
14	точки зрения	10	30
15	так и	4	30
16	могут быть	1	29
17	в пределах	1	29
18	в его	5	27
19	слова в	2	26
20	языка в	1	25
21	все это	7	25
22	как бы	19	24
23	слова и	7	24
24	слово в	2	24
25	то же	12	23
26	и на	2	22
27	в сущности	7	21
28	как в	3	21
29	не в	14	21
30	вовсе не	11	21
31	в то	11	20
32	прежде всего	17	19
33	как мы	6	19
34	с ним	8	18
35	как и	15	18
36	язык и	1	18
37	же время	4	18
38	себя в	11	18
39	или иной	1	18
40	таким образом	16	17
41	оно не	6	17
42	и даже	12	17
43	все же	18	17
44	языковое сознание	1	17
45	в основе	4	17
46	в истории	3	17
47	все эти	5	17
48	при этом	1	16
49	в них	1	16
50	отличие от	1	16
51	но в	8	16
52	в той	6	15
53	и с	11	15
54	с точки	6	15
55	со своим	8	15
56	той или	3	15
57	только в	23	14
58	в отличие	1	14
59	в особенности	3	13
60	отношении к	4	13
61	в слове	2	13
62	это не	9	13
63	с другой	8	13
64	с его	2	13
65	точка зрения	5	13
66	и следовательно	20	13
67	и для	13	13
68	и к	1	12
69	в отношении	7	12
70	еще не	12	12
71	во всяком	4	12
72	никогда не	5	12
73	и потому	8	12
74	или в	3	12
75	а в	6	12
76	отношение к	4	12
77	и наконец	1	12
78	один из	5	11
79	в этих	1	11
80	с ними	4	11
81	языкового сознания	1	11
82	для него	8	11
83	с одной	3	11
84	языка как	2	11
85	в плане	1	11
86	одной стороны	3	11
87	зрения на	1	10
88	в языке	1	10
89	и их	11	10
90	и все	6	10
91	уже не	15	10
92	лишь в	1	10
93	т д	36	10
94	в своем	9	10
95	может не	4	10
96	в том	15	10
97	с другими	8	10
98	она не	9	10
99	в себе	23	10
100	далеко не	2	10
101	в него	1	10
102	всех этих	1	10
103	в основном	1	9
104	поэтому и	2	9
105	более или	4	9
106	в своей	6	9
107	конечно не	2	9
108	сказать что	21	9
109	на почве	6	9
110	этом случае	1	9
111	так как	17	9
112	его в	8	9
113	одна из	6	9
114	в их	4	9
115	в смысле	22	9
116	или менее	4	9
117	он не	4	9
118	быть и	5	9
119	одним из	1	9
120	и от	4	9
121	но не	9	9
122	с ее	10	9
123	к нему	3	9
124	в самом	13	8
125	для нас	2	8
126	не на	2	8
127	не могут	1	8
128	может стать	1	8
129	зависимости от	1	8
130	в поэтическом	1	8
131	все время	1	8
132	с этим	4	8
133	словом в	1	8
134	в зависимости	1	8
135	человека в	1	8
136	всяком случае	2	8
137	человека и	3	8
138	и часто	1	8
139	они могут	1	8
