N	3gram	Tiupa_Anal	Poddanst
1	то же время	7	7
2	в то же	7	7
3	в том что	12	4
4	не только в	5	4
5	в сравнении с	2	3
6	с точки зрения	2	3
7	с одной стороны	3	3
8	в полной мере	3	2
9	а ц и	2	2
10	но и в	2	2
11	заключается в том	1	2
12	именно потому что	1	1
13	с тем же	1	1
14	можно судить по	1	1
15	л и з	2	1
16	а в качестве	1	1
17	о с с	1	1
18	и тем самым	2	1
19	и к а	2	1
20	в применении к	1	1
21	само по себе	1	1
22	не может быть	2	1
23	в этом мире	1	1
24	в большинстве случаев	1	1
25	как одна из	1	1
26	на наш взгляд	5	1
27	этот спор не	1	1
28	в отличие от	5	1
29	в отдельности и	1	1
30	в этом смысле	1	1
31	и то что	2	1
32	что в этом	1	1
33	есть как бы	1	1
34	в русской культуре	1	1
35	хотя бы и	1	1
36	между тем в	2	1
37	же время в	2	1
38	во всяком случае	6	1
39	для того чтобы	1	1
40	ни к чему	1	1
41	с другой стороны	7	1
42	в известном смысле	2	1
43	к а л	1	1
44	не в том	1	1
45	но в отличие	1	1
46	тем более что	1	1
47	не только как	1	1
48	до тех пор	1	1
49	р и т	1	1
50	и теперь в	1	1
51	тот или иной	3	1
52	начала и конца	1	1
53	а л и	2	1
