N	3gram	Tiupa_Narr	SlovoVZh
1	по отношению к	5	11
2	не может быть	6	7
3	можно сказать что	5	5
4	в том что	11	4
5	дело в том	2	4
6	как если бы	2	4
7	то ни было	1	3
8	до сих пор	3	3
9	этой точки зрения	1	3
10	бы то ни	1	3
11	тем не менее	6	3
12	и не может	3	3
13	может быть и	1	3
14	на самом деле	1	2
15	одной стороны и	1	2
16	то же самое	3	2
17	с этой стороны	1	2
18	одно и то	2	2
19	в данном случае	12	2
20	в зависимости от	3	2
21	с одной стороны	5	2
22	с другой стороны	1	2
23	до известной степени	1	2
24	и то же	2	2
25	с точки зрения	2	2
26	сам по себе	1	1
27	и с героем	1	1
28	сами по себе	2	1
29	в нашем случае	1	1
30	есть выражение и	1	1
31	самом деле в	1	1
32	о чем говорят	1	1
33	о том что	3	1
34	они захватывают и	1	1
35	в противном случае	1	1
36	в самом деле	3	1
37	один и тот	1	1
38	но то же	1	1
39	случае мы имеем	1	1
40	читателя и того	1	1
41	в свою очередь	2	1
42	и тот же	1	1
43	взаимодействия трех говорящего	1	1
44	того о ком	1	1
45	в виду и	1	1
46	что не только	1	1
47	и та же	1	1
48	как и в	1	1
49	какой бы то	1	1
50	продукт социального взаимодействия	1	1
51	за ее пределы	1	1
52	во всяком случае	2	1
53	таким образом для	1	1
54	между тем это	1	1
55	имеем дело с	4	1
56	и того о	1	1
57	в этом направлении	1	1
58	только то что	1	1
59	и тем же	1	1
60	подобно тому как	4	1
61	но в своем	1	1
62	как это делает	1	1
63	ком или о	1	1
64	в конечном счете	4	1
65	или о чем	1	1
66	же как и	1	1
67	одна и та	1	1
68	то что я	1	1
69	то что мы	1	1
70	форме так и	1	1
71	она в самом	1	1
72	по аналогии с	1	1
73	не сливаются в	1	1
74	точки зрения как	1	1
75	в основе своей	1	1
76	принимают участие в	1	1
77	социального взаимодействия трех	1	1
78	можно было бы	1	1
79	в этом отношении	5	1
80	и точек зрения	1	1
81	так же как	1	1
82	к нему в	1	1
83	то же время	7	1
84	далеко не всегда	1	1
85	трех говорящего автора	1	1
86	и продукт социального	1	1
87	он думает и	1	1
88	более или менее	2	1
89	но и в	4	1
90	в то же	7	1
91	в чем не	1	1
92	отношению к ним	1	1
93	в значительной степени	1	1
94	то время как	1	1
95	это прежде всего	1	1
96	позицию по отношению	1	1
97	слово есть выражение	1	1
98	выражение и продукт	1	1
99	отношения между людьми	1	1
100	мы имеем дело	4	1
101	на второй план	1	1
102	по крайней мере	1	1
103	ни в чем	1	1
104	в частности в	2	1
105	в то время	1	1
106	сохраняет при этом	1	1
107	в этом смысле	1	1
108	в русской литературе	1	1
109	или хотя бы	1	1
110	прежде всего тем	1	1
111	бы не было	1	1
112	чем говорят героя	1	1
113	но все же	1	1
114	и потому не	1	1
115	как в жизни	1	1
116	и здесь мы	1	1
117	одним и тем	1	1
118	если бы не	1	1
119	всей жизни в	1	1
120	о ком или	1	1
121	к тому же	8	1
122	может быть только	1	1
