N	2gram	Vinokur_St	PoTuStor
1	может быть	16	17
2	и в	61	16
3	и пр	4	12
4	таким образом	16	9
5	в этом	37	9
6	прежде всего	11	9
7	мы можем	1	9
8	и проч	1	9
9	и только	3	9
10	совершенно не	7	8
11	точки зрения	16	8
12	и с	6	8
13	не может	10	8
14	и его	11	8
15	не только	36	7
16	сказать что	9	7
17	с его	3	7
18	и к	5	6
19	при этом	4	6
20	для него	10	6
21	самом деле	14	6
22	и это	4	6
23	конечно не	2	6
24	с точки	10	6
25	что такое	2	5
26	ни в	5	5
27	все эти	7	5
28	в чем	4	5
29	еще не	4	5
30	как бы	8	5
31	отношение к	3	5
32	нуждается в	2	5
33	а потому	2	4
34	все что	1	4
35	и на	7	4
36	так как	7	4
37	все это	13	4
38	в его	19	4
39	так и	15	4
40	на самом	8	4
41	его в	4	4
42	и даже	8	4
43	и все	3	4
44	с ними	1	4
45	только в	11	4
46	и не	23	4
47	можно сказать	2	4
48	с самого	4	4
49	но и	28	4
50	хотя бы	8	4
51	и их	3	4
52	самого начала	3	4
53	в этой	13	4
54	как мы	1	4
55	в нем	9	4
56	в один	1	4
57	но в	16	4
58	и вот	1	3
59	если б	5	3
60	до сих	13	3
61	на язык	1	3
62	в том	56	3
63	те же	1	3
64	с их	2	3
65	между ними	1	3
66	их в	2	3
67	отношения к	2	3
68	этом смысле	2	3
69	и как	2	3
70	что в	41	3
71	том что	49	3
72	вместе с	5	3
73	на этом	1	3
74	в этих	5	3
75	сравнению с	1	3
76	во всех	8	3
77	но оно	1	3
78	во всяком	8	3
79	и потому	3	3
80	в основе	4	3
81	и притом	1	3
82	тех же	1	3
83	по сравнению	1	3
84	по крайней	2	3
85	и теперь	2	3
86	как это	6	3
87	только на	1	3
88	в одном	7	3
89	даже не	5	3
90	чем не	2	3
91	а в	18	3
92	то что	27	3
93	никаких оснований	2	3
94	на две	1	3
95	и др	1	3
96	могут быть	5	3
97	и есть	1	3
98	сих пор	12	3
99	в общем	2	3
100	жизни и	6	3
101	в области	16	3
102	всяком случае	8	3
103	во время	5	3
104	крайней мере	2	3
105	едва ли	1	3
106	в самом	14	2
107	в свое	3	2
108	что оно	4	2
109	и этот	1	2
110	это делает	1	2
111	на протяжении	1	2
112	они не	2	2
113	почти не	1	2
114	мы не	3	2
115	с этой	5	2
116	по всему	1	2
117	протяжении всей	1	2
118	ни было	1	2
119	что это	5	2
120	нашего времени	1	2
121	ее в	2	2
122	и говорить	1	2
123	для нас	7	2
124	и этим	1	2
125	но как	1	2
126	что и	8	2
127	у него	3	2
128	не на	3	2
129	не могут	2	2
130	со всеми	2	2
131	в них	2	2
132	а на	4	2
133	из сказанного	1	2
134	и других	1	2
135	не знает	2	2
136	всех его	1	2
137	что не	3	2
138	и действительно	1	2
139	вообще не	5	2
140	можно назвать	3	2
141	но ведь	8	2
142	как и	11	2
143	что он	23	2
144	есть в	2	2
145	же как	5	2
146	только то	1	2
147	в своей	12	2
148	и так	3	2
149	в одно	1	2
150	связанные с	3	2
151	меньше всего	3	2
152	по своему	2	2
153	себя и	1	2
154	с историей	2	2
155	только и	1	2
156	не менее	8	2
157	на границе	1	2
158	в каком	4	2
159	и таким	1	2
160	и вообще	5	2
161	на них	2	2
162	с этим	6	2
163	к этому	4	2
164	оно не	3	2
165	не существует	4	2
166	между собой	1	2
167	что мы	5	2
168	связанных с	1	2
169	из этих	7	2
170	ту же	1	2
171	на основе	1	2
172	совсем не	3	2
173	на два	1	2
174	а может	1	2
175	он не	11	2
176	кажется что	5	2
177	в развитии	2	2
178	в частности	6	2
179	не будет	1	2
180	нечего и	1	2
181	и лишь	2	2
182	не существовало	1	2
183	но зато	1	2
184	и вся	2	2
185	говорить о	3	2
186	в науке	1	2
187	за пределы	2	2
188	в начале	5	2
189	в пределах	1	2
190	как не	1	2
191	так же	7	2
192	было бы	21	2
193	таким путем	2	2
194	к ним	1	2
195	нет и	1	2
196	цензура но	1	2
197	и о	4	2
198	если мы	1	2
199	с нею	3	2
200	что на	3	2
201	о том	30	2
202	в голову	2	2
203	во всей	1	2
204	и исключительно	1	2
205	всю жизнь	1	2
206	один из	1	2
207	и по	6	2
208	нет никаких	2	2
209	но это	9	2
210	и для	4	2
211	для этого	2	2
212	того же	4	2
213	то же	7	2
214	никогда не	7	2
215	быть даже	1	1
216	для самого	1	1
217	которому в	1	1
218	о смерти	1	1
219	что было	3	1
220	к сожалению	4	1
221	еще так	1	1
222	бы то	2	1
223	они являются	1	1
224	об их	1	1
225	несколько слов	1	1
226	по мнению	4	1
227	на почве	2	1
228	что они	9	1
229	одних и	1	1
230	целом это	1	1
231	все попытки	1	1
