N	3gram	Tiupa_Anal	PoTuStor
1	с точки зрения	2	6
2	на самом деле	1	4
3	по ту сторону	1	4
4	до сих пор	1	3
5	не может быть	2	3
6	в большинстве случаев	1	3
7	по крайней мере	5	3
8	может быть это	1	3
9	в этом смысле	1	3
10	во всяком случае	6	3
11	можно сказать что	2	3
12	в конечном счете	5	2
13	а потому и	1	2
14	и может быть	1	2
15	о том что	7	2
16	не могут быть	1	2
17	в самом деле	1	2
18	не нуждается в	1	2
19	со всех сторон	1	1
20	одних и тех	2	1
21	так и в	1	1
22	в том что	12	1
23	моменты своей жизни	1	1
24	не имеет места	1	1
25	не что иное	1	1
26	что иное как	1	1
27	дело в том	3	1
28	мы узнаем о	1	1
29	эстетический все это	1	1
30	той или иной	6	1
31	прежде всего к	1	1
32	я и мир	1	1
33	подобно тому как	3	1
34	том что мы	1	1
35	в применении к	1	1
36	можно было бы	1	1
37	очень близко к	1	1
38	и прежде всего	2	1
39	в данном случае	11	1
40	и в итоге	1	1
41	обратим внимание на	1	1
42	что в них	1	1
43	я и его	1	1
44	герой нашего времени	2	1
45	в себя и	1	1
46	и теперь в	1	1
47	ничего не говорит	1	1
48	не говорит и	1	1
49	чем иным как	1	1
50	же как и	1	1
51	всяком случае не	1	1
52	его мысли и	1	1
53	и того же	4	1
54	в свое время	4	1
55	его за пределы	1	1
56	и к ним	1	1
57	для того чтобы	1	1
58	из этих трех	1	1
59	всех без исключения	3	1
60	а с другой	1	1
61	с одной стороны	3	1
62	в этом отношении	3	1
63	и тех же	2	1
64	в них и	1	1
65	имеем дело с	1	1
66	если бы он	1	1
67	одного и того	4	1
68	в связи с	1	1
69	уже не может	1	1
