N	2gram	Losev_Prob	Myshleni
1	в том	35	195
2	в этом	25	167
3	то что	42	166
4	и в	62	162
5	том что	25	161
6	таким образом	13	147
7	точки зрения	14	143
8	что в	11	119
9	не только	33	116
10	того что	10	109
11	в процессе	2	101
12	так же	11	100
13	речи и	1	99
14	и речи	1	96
15	потому что	40	95
16	научных понятий	1	93
17	того чтобы	4	91
18	может быть	39	89
19	с точки	9	89
20	что он	16	86
21	не может	14	81
22	как и	15	79
23	для того	5	78
24	так как	14	78
25	и не	56	78
26	только в	33	75
27	в целом	9	74
28	как мы	12	72
29	речи в	2	70
30	но и	20	70
31	заключается в	8	67
32	в его	10	67
33	сказать что	24	65
34	мы могли	4	65
35	как бы	11	64
36	вместе с	3	62
37	и что	9	60
38	было бы	14	60
39	в качестве	10	60
40	то же	23	58
41	в основе	3	58
42	в отношении	4	55
43	могли бы	6	54
44	между собой	3	53
45	что мы	12	53
46	в самом	4	52
47	по сравнению	3	51
48	мы должны	13	50
49	научные понятия	2	50
50	к тому	4	49
51	что они	8	48
52	тем что	8	48
53	мы можем	11	48
54	тогда когда	1	47
55	на основе	1	47
56	мы не	15	47
57	сравнению с	3	46
58	если бы	9	46
59	но не	6	45
60	с другой	14	45
61	с тем	9	43
62	понятий в	2	43
63	же как	5	43
64	тем самым	9	43
65	тому что	5	42
66	как это	4	42
67	не является	19	41
68	о том	14	40
69	по своей	1	40
70	одной стороны	2	40
71	никогда не	7	39
72	с одной	3	39
73	так и	16	39
74	мы видели	2	38
75	в области	2	38
76	и к	9	37
77	вопрос о	2	37
78	если мы	24	37
79	мы видим	1	37
80	не в	21	37
81	в этой	10	37
82	в своем	7	36
83	все эти	14	36
84	как в	10	36
85	а не	28	36
86	и его	12	36
87	того же	2	35
88	можно было	7	35
89	в себе	23	35
90	в которой	3	35
91	он не	10	35
92	для себя	6	35
93	связи с	10	34
94	и как	4	34
95	прежде всего	13	33
96	при этом	9	33
97	по себе	36	33
98	именно в	4	32
99	и на	4	32
100	той же	2	32
101	что оно	4	32
102	нас к	2	32
103	по своему	6	32
104	же самое	20	32
105	что и	11	32
106	и тем	16	32
107	но в	17	32
108	слова и	3	32
109	развития в	1	31
110	все же	10	31
111	из того	3	31
112	и то	17	31
113	мысли и	1	30
114	на то	6	30
115	этого слова	5	29
116	и развития	1	29
117	как известно	1	29
118	могут быть	2	29
119	от того	2	29
120	с этим	5	28
121	что с	1	28
122	самом деле	6	28
123	только что	4	27
124	с этой	3	27
125	в результате	8	27
126	другой стороны	11	27
127	этом случае	8	27
128	в то	18	27
129	и с	11	27
130	в своей	8	27
