N	2gram	Medvedev_B	Istorich
1	и в	1	181
2	не только	1	114
3	что в	1	90
4	таким образом	1	72
5	и не	2	67
6	все же	1	65
7	еще не	1	63
8	с другой	1	52
9	а не	1	48
10	другой стороны	1	46
11	и на	1	38
12	так и	1	37
13	об этом	1	33
14	прежде всего	1	31
15	в ней	2	26
16	вопрос о	1	25
17	было бы	1	24
18	все это	2	23
19	не все	1	18
20	в данном	1	18
21	не вполне	1	16
22	в пределах	1	15
23	в своей	1	15
24	как будто	1	15
25	можно было	2	14
26	и ее	1	14
27	одной из	1	14
28	у нас	3	14
29	должна быть	1	14
30	в книге	1	13
31	его не	1	13
32	кроме того	1	12
33	к ней	1	12
34	стоит на	1	11
35	на которой	1	11
36	и более	1	11
37	далеко не	1	11
38	не было	1	10
39	также не	1	9
40	же не	1	9
41	во всяком	1	8
42	также что	1	8
43	и потому	1	8
44	будто бы	1	7
45	на самом	1	7
46	в области	1	7
47	не то	2	7
48	совершенно не	1	7
49	всяком случае	1	7
50	и о	1	7
51	между ними	1	6
52	что все	1	6
53	видеть в	2	6
54	никак не	1	5
55	следовало бы	1	4
56	материала по	1	4
57	и во	1	4
58	отнюдь не	1	4
59	тем более	1	4
60	по отдельным	1	4
61	со всем	1	3
62	о них	1	3
63	можно в	1	3
64	остановиться на	1	3
65	и нет	1	3
66	больше чем	2	3
67	нет но	1	3
68	имеющихся в	1	3
69	всего в	1	3
70	меньшей мере	1	3
71	в эпоху	1	3
72	заставляет думать	1	2
73	только одной	1	2
74	не следует	1	2
75	говорить о	1	2
76	не о	1	2
77	изучение и	1	2
78	а о	1	2
79	в композиции	1	2
80	нельзя не	1	2
81	из своей	1	2
82	из ее	1	1
83	свое название	1	1
84	по этим	1	1
85	работа по	1	1
86	было и	1	1
87	имеющихся у	1	1
88	точке зрения	1	1
89	в значительной	1	1
90	этой книги	1	1
91	некоторого единства	1	1
92	он заслуживает	1	1
93	так по	1	1
94	бы только	1	1
95	это повторяется	1	1
96	необходимо отметить	1	1
97	до конца	1	1
98	как часть	1	1
99	некоторые параллели	1	1
100	своей книге	1	1
101	более что	1	1
102	он свою	1	1
103	художественного произведения	1	1
104	ее задач	2	1
105	его функцией	1	1
106	но автор	1	1
107	на формальной	1	1
108	об исторических	1	1
109	чем на	1	1
110	для которой	1	1
111	значительной степени	1	1
112	по мотивам	1	1
113	достаточно точно	1	1
114	иначе не	1	1
115	если таким	1	1
116	короче говоря	1	1
117	неудивительно что	1	1
