N	3gram	Bakhtin_sl	Mirosoze
1	не может быть	11	28
2	в том что	4	9
3	а не в	1	9
4	для того чтобы	1	7
5	и в этом	2	6
6	и в нем	1	6
7	о том что	2	6
8	есть не только	1	5
9	до сих пор	4	5
10	в отношении к	9	5
11	человеке и его	3	5
12	но и в	2	5
13	но в нем	1	5
14	мы увидим что	1	5
15	он весь в	1	5
16	прежде всего в	1	5
17	может быть и	2	5
18	что он не	1	4
19	по отношению к	2	4
20	его отношение к	1	4
21	на то что	1	4
22	в то время	2	4
23	можно было бы	2	4
24	то время как	2	4
25	у него нет	2	4
26	он никогда не	2	3
27	для этого необходимо	1	3
28	она не может	1	3
29	как бы не	1	3
30	том что он	1	3
31	не может не	5	3
32	к тому что	2	3
33	а не только	1	3
34	но это не	1	3
35	и потому не	1	3
36	был прежде всего	1	3
37	и не было	1	3
38	и той же	1	3
39	одной и той	1	3
40	и ничего не	1	3
41	в значительной степени	6	3
42	не до конца	1	3
43	в нем самом	1	3
44	выходит за пределы	3	3
45	во всяком случае	7	3
46	на протяжении всего	1	3
47	также и в	1	3
48	как и в	2	3
49	ивана карамазова и	1	2
50	у него есть	1	2
51	бы и не	1	2
52	это не значит	2	2
53	не только в	3	2
54	а не к	1	2
55	есть в отношении	1	2
56	в его романах	2	2
57	хотя бы и	5	2
58	лежит в основе	1	2
59	себя в своем	1	2
60	начале xx века	1	2
61	все более и	1	2
62	именно потому что	1	2
63	между тем как	1	2
64	в чем не	1	2
65	том что в	1	2
66	в нем не	1	2
67	и у него	1	2
68	в своей книге	1	2
69	в романах достоевского	1	2
70	и не может	2	2
71	никогда не бывает	1	2
72	и во всяком	1	2
73	и те же	1	2
74	он не только	1	2
75	более и более	1	2
76	и в смысле	1	2
77	в начале xx	1	2
78	не могут быть	3	2
79	оно не может	3	2
80	никогда не может	2	2
81	в этом отношении	2	2
82	уже не только	2	2
83	человек и его	12	2
84	ни в чем	1	2
85	к нему не	1	1
86	быть до конца	2	1
87	все время находится	1	1
88	и никогда и	1	1
89	у ивана карамазова	1	1
90	для нас в	2	1
91	у него до	1	1
92	и т п	49	1
93	во всех его	8	1
94	менее всего может	1	1
95	одни и те	1	1
96	что они не	1	1
97	но оно не	3	1
98	до xx века	1	1
99	проникает в нее	1	1
100	их они были	1	1
101	с собой других	1	1
102	друг с другом	2	1
103	возможно лишь при	1	1
104	а также в	1	1
105	а между тем	2	1
106	как в самом	1	1
107	и в новых	1	1
108	а не извне	1	1
109	и там в	1	1
110	речь идет о	1	1
111	в зависимости от	4	1
112	сам же он	1	1
113	между этими двумя	1	1
114	человеку как к	1	1
115	все же и	1	1
116	в отличие от	12	1
117	значит конечно что	2	1
118	но и более	2	1
119	не только о	2	1
120	он в свою	2	1
121	том что оно	1	1
122	с другой стороны	5	1
123	точном смысле слова	1	1
124	и в том	2	1
125	не видят и	1	1
126	могли бы быть	1	1
127	нельзя себе представить	1	1
128	в стороне от	1	1
129	возможно только для	1	1
130	исключительный интерес к	1	1
131	прежде всего как	1	1
132	сих пор не	2	1
133	потому не может	1	1
134	лишь тогда когда	2	1
135	в которой все	1	1
136	и могут быть	1	1
137	той или иной	13	1
138	прежде всего он	1	1
139	с точки зрения	11	1
140	он в той	1	1
141	в чем же	1	1
142	а не как	2	1
143	с одним из	1	1
144	мира может быть	1	1
145	выходят за пределы	1	1
146	видят и не	1	1
147	со всеми его	1	1
148	ни в какой	1	1
149	имеем в виду	1	1
150	а иногда и	1	1
151	не есть еще	1	1
152	и не в	1	1
153	же о чем	1	1
154	а следовательно и	2	1
155	не значит конечно	2	1
156	время находится в	1	1
157	хотя и в	1	1
158	нужно сказать что	1	1
159	определяющее значение в	1	1
160	в то же	15	1
161	во всех своих	1	1
162	с ним мы	1	1
163	человека в этом	1	1
164	в них не	1	1
165	границ и форм	1	1
166	то же время	15	1
167	может быть его	1	1
168	у нее нет	1	1
169	выйти за пределы	1	1
170	также в значительной	1	1
171	и к нему	2	1
172	в мировой литературе	2	1
173	оно входит в	2	1
174	мы имеем в	1	1
175	во всех этих	2	1
176	всего может быть	1	1
177	себя в этом	1	1
178	разных точек зрения	1	1
179	требует не только	1	1
180	и в той	1	1
181	точки зрения так	1	1
182	который не был	1	1
183	своих и чужих	1	1
184	не меньше чем	2	1
185	а вовсе не	4	1
186	себя в них	3	1
187	и сам он	1	1
188	в котором в	1	1
189	романа он не	1	1
190	в нем и	1	1
191	с одной стороны	7	1
192	то есть к	1	1
193	до конца и	3	1
194	сама по себе	2	1
195	и в плане	2	1
196	это было бы	1	1
