N	2gram	Tiupa_Disk	Tvorches
1	у достоевского	1	91
2	и в	27	56
3	как бы	9	41
4	в его	9	37
5	в то	8	30
6	достоевского в	1	27
7	то же	12	25
8	в году	3	24
9	не только	36	24
10	же время	9	24
11	но в	15	24
12	как и	27	23
13	то есть	29	23
14	и не	25	23
15	а в	5	23
16	и его	4	23
17	в этом	29	22
18	что в	8	21
19	в том	29	21
20	он не	4	19
21	том что	27	19
22	может быть	29	19
23	потому что	7	19
24	то что	10	18
25	таким образом	4	17
26	и на	8	17
27	что он	6	17
28	все это	2	17
29	при этом	22	16
30	но и	22	16
31	никогда не	3	16
32	как в	16	16
33	в творчестве	4	16
34	прежде всего	17	16
35	не может	17	16
36	и с	2	15
37	xix века	1	15
38	в мире	9	15
39	но это	3	15
40	в этой	5	15
41	с его	9	15
42	и даже	4	14
43	это не	5	14
44	там же	3	13
45	о том	12	13
46	времени в	3	13
47	а не	35	13
48	в котором	7	12
49	же с	1	12
50	тем самым	6	12
51	в целом	5	12
52	в своей	10	11
53	все же	8	11
54	отнюдь не	11	11
55	для него	9	11
56	в самом	4	10
57	представление о	1	10
58	он сам	2	10
59	в русской	4	10
60	не в	8	10
61	в конце	1	10
62	только в	9	10
63	когда он	3	10
64	в основном	1	10
65	уже в	2	10
66	так и	14	10
67	но не	17	10
68	как будто	3	10
69	в своих	6	9
70	наряду с	1	9
71	по природе	6	9
72	по мнению	1	9
73	и от	2	9
74	один из	3	9
75	жизни в	4	9
76	в свою	3	9
77	человека в	6	9
78	в нем	16	9
79	даже в	1	8
80	именно в	5	8
81	в соответствии	4	8
82	не менее	6	8
83	к этому	4	8
84	хотя и	3	8
85	одним из	2	8
86	это уже	1	8
87	вместе с	3	8
88	тогда как	28	8
89	соответствии с	5	8
90	одной из	4	8
91	еще не	20	8
92	в себе	22	8
93	романе достоевского	1	8
94	в их	5	8
95	на его	4	8
96	об этом	3	8
97	вовсе не	1	8
98	по сути	6	8
99	русской литературе	2	7
100	в этих	4	7
101	и сам	2	7
102	например в	4	7
103	уже не	7	7
104	в записках	2	7
105	что она	1	7
106	и он	2	7
107	в которой	2	7
108	в чем	2	7
109	в рассказе	6	7
110	не случайно	2	7
111	своего рода	15	7
112	человеческой личности	1	7
113	самом деле	2	7
114	сути дела	3	7
115	читателя в	1	7
116	в момент	2	6
117	в принципе	4	6
118	не столько	3	6
119	и как	9	6
120	конечном счете	2	6
121	хотя бы	3	6
122	одна из	1	6
123	его в	1	6
124	в конечном	2	6
125	так что	1	6
126	и ее	5	6
127	а потому	1	6
128	героя в	6	6
129	если бы	1	6
130	и все	5	6
131	приводит к	4	6
132	в книге	2	6
133	в повести	1	6
134	все эти	2	6
135	ли не	3	6
136	место в	2	6
137	более не	1	5
138	и другие	1	5
139	мысли и	2	5
140	что человек	1	5
141	у пушкина	1	5
142	в них	6	5
143	что этот	1	5
144	с другой	14	5
145	приходит к	1	5
146	по отношению	13	5
147	отметить что	1	5
148	как правило	5	5
149	в своем	11	5
150	в одной	4	5
151	из них	6	5
152	что они	1	5
153	на него	2	5
154	в ее	4	5
155	что и	5	5
156	не было	9	5
157	что не	4	5
158	в таком	1	5
159	я не	1	5
160	и это	3	5
161	а с	8	5
162	героя и	2	5
163	что это	1	5
164	в наше	4	5
165	между тем	5	5
166	дело не	3	5
167	наше время	4	5
168	однако это	3	5
169	на деле	1	5
170	романа и	2	5
171	с этим	3	5
172	самим собой	1	5
173	в россии	1	5
174	не имеют	2	5
175	в современном	3	5
176	в истории	5	5
177	начиная с	1	5
178	до конца	2	5
179	в образе	1	5
180	том же	1	5
181	но если	1	5
182	ничего не	1	5
183	мы не	2	5
184	в литературе	2	5
185	как у	1	5
186	бы не	1	5
187	в виде	1	5
188	но с	1	5
189	литературной традиции	3	5
190	и по	2	5
191	но его	1	5
192	и других	1	5
193	это как	1	5
194	отношению к	13	5
195	в известной	1	5
196	с этой	2	4
197	в финале	1	4
198	говорит о	1	4
199	на земле	1	4
200	тем что	4	4
201	роль в	10	4
202	так в	1	4
203	повести и	1	4
204	восходит к	4	4
205	но эти	1	4
206	представляет собой	24	4
207	по самой	1	4
208	только на	2	4
209	говорить о	3	4
210	превращается в	1	4
211	не вполне	1	4
212	самого начала	2	4
213	точки зрения	6	4
214	это прежде	3	4
215	крайней мере	3	4
216	к нему	1	4
217	и мы	1	4
218	по преимуществу	2	4
219	в дневнике	1	4
220	и потому	3	4
221	с точки	3	4
222	добра и	1	4
223	однако этот	1	4
224	стремится к	3	4
225	великий писатель	1	4
226	первая часть	1	4
227	не знает	4	4
228	что его	1	4
229	времени как	1	4
230	же как	1	4
231	так сказать	3	4
232	сих пор	1	4
233	в такой	1	4
234	не был	1	4
235	в каждом	2	4
236	тут же	3	4
237	личности и	1	4
238	не мог	1	4
239	как это	2	4
240	главного героя	1	4
241	но только	1	4
242	как известно	1	4
243	но без	1	4
244	себя в	8	4
245	однако в	3	4
246	могут быть	5	4
247	о его	1	4
248	и есть	2	4
249	ведет к	6	4
250	до сих	1	4
251	этой книги	1	4
252	в область	1	4
253	утверждает что	1	4
254	с ними	1	4
255	и одновременно	3	4
256	в в	1	4
257	в которых	5	4
258	по крайней	3	4
259	перед нами	4	4
260	это и	2	4
261	его и	1	4
262	в основе	11	4
263	и более	1	4
264	времени и	5	4
265	при помощи	1	4
266	в творческой	1	4
267	в отличие	13	4
268	той же	2	4
269	того что	4	4
270	зависит от	2	4
271	xix веке	1	4
272	отказаться от	1	4
273	дело в	3	4
274	было в	4	4
275	о жизни	1	4
276	к жизни	1	4
277	особенно в	1	4
278	личности в	3	4
279	с самого	2	4
280	он говорит	1	4
281	он ни	2	4
282	отличие от	13	4
283	в частности	18	4
284	еще в	6	4
285	далеко не	10	4
286	в xix	1	4
287	х годов	2	4
288	из жизни	3	4
289	действительной жизни	1	4
290	такой же	1	4
291	и наконец	2	4
292	что на	3	4
293	и к	4	3
294	главе с	1	3
295	и мотивы	1	3
296	в виду	2	3
297	другой стороны	5	3
298	во главе	1	3
299	по себе	3	3
300	в первом	4	3
301	мысль о	3	3
302	в жизни	2	3
303	к самому	1	3
304	отличается от	3	3
305	так например	2	3
306	к тому	6	3
307	на все	1	3
308	во всяком	3	3
309	можно сказать	7	3
310	в этот	1	3
311	может служить	2	3
312	как она	1	3
313	в одном	5	3
314	перед ним	2	3
315	с другим	1	3
316	и еще	1	3
317	сказать что	4	3
318	русской литературы	1	3
319	человеческих отношений	1	3
320	едва ли	2	3
321	не то	2	3
322	то в	1	3
323	на протяжении	2	3
324	к человеку	1	3
325	собой в	1	3
326	к себе	2	3
327	несмотря на	1	3
328	к которому	2	3
329	ранних стадиях	1	3
330	иными словами	1	3
331	тому же	5	3
332	и приводит	1	3
333	на себя	2	3
334	я и	3	3
335	себя как	1	3
336	не есть	3	3
337	из главных	1	3
338	герой в	1	3
339	в себя	7	3
340	со всеми	1	3
341	и мир	1	3
342	человек как	1	3
343	опираясь на	1	3
344	на этом	3	3
345	в философии	1	3
346	всяком случае	2	3
347	прошлого и	1	3
348	и тем	2	3
349	но зато	2	3
350	должны быть	3	3
351	и что	2	3
352	для человека	1	3
353	как уже	5	3
354	даже не	1	3
355	году в	1	3
