N	2gram	Vygotskiy_	EvropaiC
1	таким образом	35	34
2	в том	50	31
3	и в	55	24
4	том что	46	20
5	все эти	5	19
6	то что	69	18
7	не может	15	18
8	может быть	34	17
9	до сих	9	15
10	все же	11	15
11	сих пор	9	15
12	точки зрения	15	14
13	в этом	30	13
14	все это	8	13
15	самом деле	17	12
16	с этим	4	12
17	между тем	4	12
18	в своем	12	12
19	по отношению	3	11
20	но и	16	11
21	отношению к	2	11
22	все что	1	10
23	мы знаем	4	10
24	не только	24	10
25	так и	6	10
26	как и	9	10
27	во всех	6	10
28	как бы	33	10
29	что в	43	9
30	при этом	11	9
31	в результате	6	9
32	не в	12	9
33	и все	15	9
34	и не	19	9
35	с другом	6	9
36	потому что	48	9
37	и что	45	9
38	на то	27	9
39	друг с	6	9
40	того же	5	9
41	в самом	18	8
42	с точки	5	8
43	чем у	3	8
44	более или	1	8
45	ясно что	10	8
46	или менее	1	8
47	к тому	12	8
48	мы говорили	4	8
49	для того	45	8
50	если бы	21	8
51	того чтобы	43	8
52	а между	1	8
53	так же	19	8
54	знаем что	5	8
55	идет речь	3	8
56	из этих	4	8
57	так как	20	7
58	что при	5	7
59	того что	12	7
60	что и	11	7
61	на самом	9	7
62	что он	30	7
63	не менее	1	7
64	о которых	3	7
65	о котором	9	7
66	из этого	7	7
67	о том	24	7
68	вместе с	16	7
69	по своей	1	7
70	в этой	15	7
71	в сознании	2	7
72	в силу	3	7
73	по существу	4	7
74	для этого	12	7
75	мы можем	8	6
76	и на	12	6
77	несмотря на	5	6
78	с ним	4	6
79	при чем	1	6
80	что с	8	6
81	только в	12	6
82	тому же	4	6
83	от друга	2	6
84	отличается от	4	6
85	друг от	2	6
86	говорили выше	2	6
87	еще не	6	6
88	все они	2	6
89	и если	13	6
90	должна быть	2	6
91	так что	8	6
92	и при	3	6
93	что касается	4	6
94	как на	15	6
95	в каждый	1	6
96	с другой	12	6
97	в то	6	6
98	у них	1	6
99	и для	13	6
100	и к	5	5
101	как к	1	5
102	а потому	1	5
103	ничем не	1	5
104	между собою	1	5
105	должно быть	6	5
106	тех кто	1	5
107	в состоянии	3	5
108	в его	8	5
109	из всех	1	5
110	что это	15	5
111	пор не	1	5
112	другой стороны	8	5
113	у него	9	5
114	его в	2	5
115	в которой	4	5
116	но все	5	5
117	и с	3	5
118	именно в	9	5
119	и без	1	5
120	основано на	2	5
121	по своему	1	5
122	на все	2	5
123	по сравнению	4	5
124	сравнению с	4	5
125	быть и	2	5
126	не будет	3	5
127	и их	3	5
128	оказывается что	2	5
129	далеко не	4	5
130	в себе	13	5
131	и от	2	5
132	что все	12	5
133	столь же	3	5
134	как будто	7	5
135	к этому	5	5
136	в целом	7	5
137	из них	7	5
138	но в	7	5
139	иначе говоря	1	4
140	не так	4	4
141	каждый данный	1	4
142	и то	12	4
143	социальной жизни	1	4
144	ее и	1	4
145	та же	6	4
146	этой области	1	4
147	в психологии	3	4
148	которых мы	5	4
149	из того	4	4
150	своем развитии	1	4
151	этом случае	2	4
152	хотя и	1	4
153	мало того	1	4
154	совершенно не	11	4
155	из которых	5	4
156	чем больше	3	4
157	это есть	3	4
158	в их	3	4
159	в виде	3	4
160	связи с	2	4
161	что его	2	4
162	одним из	1	4
163	в конце	10	4
164	в таком	4	4
165	с тем	10	4
166	состоит из	1	4
167	не есть	4	4
168	не могут	4	4
169	между собой	2	4
170	выше мы	1	4
171	и у	1	4
172	что та	1	4
173	и сейчас	5	4
174	том случае	1	4
175	а с	7	4
176	что мы	12	4
177	данный момент	1	4
178	мы уже	7	4
179	в течение	2	4
180	ни один	2	4
181	хотя бы	5	4
182	то ни	1	4
183	в такой	1	4
184	мы должны	10	4
185	что эта	8	4
186	факт что	8	4
187	целый ряд	5	4
188	тот факт	6	4
189	признать что	4	4
190	и т.д	1	4
191	прямой линии	1	4
192	отношение к	1	4
193	что для	6	4
194	что как	1	4
195	том же	1	4
196	и проч	2	4
197	в области	2	4
198	он не	10	4
199	конце концов	6	4
200	если мы	24	4
