N	2gram	Potebnia_M	StatiiOP
1	и в	48	103
2	в том	47	89
3	том что	28	77
4	в этом	19	76
5	что в	30	74
6	не только	32	60
7	и т	12	51
8	о том	7	47
9	но и	30	46
10	то что	37	44
11	что он	8	42
12	в его	6	42
13	и не	28	41
14	может быть	46	38
15	было бы	16	32
16	т д	5	32
17	в этой	3	31
18	вовсе не	13	31
19	тем что	13	29
20	все это	4	29
21	таким образом	24	28
22	а в	14	27
23	а не	22	27
24	но в	8	26
25	что это	6	25
26	так и	17	25
27	этом отношении	2	24
28	и его	4	24
29	все же	3	23
30	точки зрения	4	23
31	не в	24	23
32	так что	14	23
33	потому что	82	23
34	для того	8	22
35	в которой	9	22
36	как в	17	22
37	того что	24	22
38	прежде всего	6	22
39	у нас	2	22
40	в области	3	22
41	того чтобы	5	21
42	до сих	4	20
43	это не	2	20
44	в своей	2	19
45	г в	1	19
46	сих пор	4	19
47	т п	7	19
48	в то	16	19
49	только в	29	19
50	в котором	7	18
51	с другой	8	18
52	он не	4	18
53	об этом	4	18
54	не может	18	18
55	в самом	11	17
56	как на	6	17
57	между прочим	5	17
58	самом деле	5	17
59	как бы	10	17
60	в данном	3	17
61	в этих	2	16
62	с этим	12	16
63	сказать что	8	16
64	можно было	1	16
65	если бы	20	16
66	в ней	11	16
67	другой стороны	4	15
68	с тем	9	15
69	как и	22	15
70	по поводу	8	15
71	из этих	10	15
72	у него	3	15
73	я не	1	15
74	и на	5	15
75	например в	9	15
76	для него	14	15
77	то же	35	14
78	но все	2	14
79	так например	3	14
80	к тому	9	14
81	я думаю	2	14
82	с точки	3	14
83	между тем	19	14
84	и что	13	14
85	была бы	5	14
86	в течение	2	14
87	в той	2	13
88	именно в	5	13
89	во всяком	4	13
90	в своем	6	13
91	из них	11	13
92	а с	4	13
93	в нем	16	13
94	в языке	19	13
95	вместе с	22	13
96	со стороны	4	13
97	всяком случае	3	13
98	но это	9	13
99	дело в	1	13
100	что касается	1	13
101	жизни и	3	13
102	тому что	6	13
103	в своих	2	12
104	не менее	9	12
105	хотя бы	3	12
106	что у	4	12
107	в первой	1	12
108	ни в	2	12
109	как например	2	12
110	так как	20	12
111	что они	2	12
112	в них	9	11
113	должна была	1	11
114	никогда не	2	11
115	не было	12	11
116	ясно что	1	11
117	и с	4	11
118	и по	5	11
119	своего рода	1	11
120	из его	1	11
121	того как	10	11
122	вопрос о	2	11
123	все эти	1	11
