N	2gram	Potebnia_M	Stilisti
1	и в	58	42
2	как бы	12	30
3	не только	32	28
4	прежде всего	8	22
5	хотя бы	4	18
6	то же	13	16
7	но и	26	16
8	и не	34	14
9	может быть	47	13
10	не может	30	13
11	как и	16	12
12	что мы	11	11
13	мы уже	1	11
14	точки зрения	8	11
15	в этом	18	10
16	в себе	22	10
17	и как	11	10
18	мы должны	4	10
19	как мы	3	10
20	мы не	17	9
21	при этом	17	9
22	все же	11	9
23	язык и	6	9
24	эти слова	1	9
25	то что	24	9
26	для того	8	9
27	в то	6	9
28	таким образом	21	8
29	так как	29	8
30	с тем	9	8
31	и это	3	8
32	слово как	2	8
33	в ней	9	8
34	тем самым	6	8
35	что же	3	8
36	с его	3	8
37	ничего не	2	8
38	и на	8	7
39	так и	17	7
40	слов и	5	7
41	мы можем	10	7
42	только в	36	7
43	в которой	5	7
44	зависимости от	1	7
45	и его	7	7
46	потому что	89	7
47	того чтобы	4	7
48	и тем	5	7
49	же время	4	7
50	было бы	21	7
51	и той	4	7
52	той же	3	7
53	и от	5	7
54	в зависимости	1	7
55	а не	38	7
56	никогда не	7	7
57	во всех	12	6
58	в его	7	6
59	не в	23	6
60	говорящего и	2	6
61	в нем	26	6
62	в процессе	1	6
63	и так	1	6
64	на его	1	6
65	бы в	6	6
66	в свою	8	6
67	речи и	11	6
68	если б	7	6
69	одно и	1	6
70	или как	2	6
71	когда мы	4	6
72	в этой	3	6
73	слова в	7	6
74	мы будем	3	6
75	язык в	8	6
76	в области	1	6
77	в той	1	5
78	в самом	5	5
79	что язык	18	5
80	связанных с	1	5
81	то есть	69	5
82	уже в	5	5
83	и их	6	5
84	с точки	4	5
85	те же	4	5
86	чичикова и	4	5
87	самом деле	2	5
88	но все	4	5
89	и с	3	5
90	но в	12	5
91	тому что	4	5
92	вместе с	12	5
93	своей жизни	1	5
94	того или	1	5
95	мы увидим	3	5
96	и следовательно	4	5
97	слова и	7	5
98	как это	1	5
99	а в	11	5
100	в нашем	2	5
101	в сознании	8	5
102	и то	4	5
103	независимо от	15	5
104	мы видели	5	5
105	одной и	4	4
106	были бы	4	4
107	мы видим	5	4
108	один из	2	4
109	того времени	2	4
110	что это	5	4
111	на него	6	4
112	что такое	3	4
113	все это	3	4
114	в одном	13	4
115	влияние на	4	4
116	его в	3	4
117	природы или	1	4
118	слова как	1	4
119	если бы	23	4
120	и все	6	4
121	с самого	5	4
122	во внутренней	3	4
123	в слове	21	4
124	так сказать	5	4
125	у нас	3	4
126	в словах	6	4
127	да и	1	4
128	как только	1	4
129	уже не	4	4
130	к тому	5	4
131	о том	6	4
132	связаны с	1	4
133	и без	4	4
134	вопроса о	2	4
135	человека не	2	4
136	самого начала	5	4
137	в каждом	6	4
138	можно сказать	1	4
139	если мы	5	4
140	языка и	20	4
141	было в	1	4
142	не существует	2	4
143	и слушающего	1	4
144	его внутренней	1	4
145	заключает в	6	4
146	не что	2	4
147	можно было	1	4
148	свою очередь	8	4
149	в обществе	3	4
150	на это	2	4
151	так же	7	4
152	лишь в	2	4
153	в целом	3	4
154	себя в	1	4
155	мы называем	4	4
156	тем же	4	4
157	речь и	2	4
158	не знаем	2	4
159	что именно	2	4
160	которой мы	3	4
161	того что	15	4
162	не к	1	4
163	представить себе	3	3
164	не так	6	3
165	ответ на	2	3
166	видели что	2	3
167	что оно	5	3
168	и здесь	1	3
169	та же	1	3
170	что у	2	3
171	зрения на	1	3
172	приближается к	2	3
173	что эти	1	3
174	совершенно не	1	3
175	что слова	1	3
176	если он	1	3
177	для нас	29	3
178	которое может	2	3
179	в том	38	3
180	отношения к	2	3
181	несмотря на	5	3
182	для него	13	3
183	не имеем	3	3
184	хотя и	6	3
185	в разных	2	3
186	ни на	1	3
187	внутренней и	1	3
188	в ее	2	3
189	и внешней	1	3
190	мы в	2	3
191	этих слов	1	3
192	то мы	4	3
193	мы легко	2	3
194	на самом	2	3
195	и уже	6	3
196	что и	16	3
197	в виду	2	3
198	быть может	6	3
199	между ними	2	3
200	но что	2	3
201	и развития	2	3
202	связи с	6	3
203	и даже	4	3
204	слова но	4	3
205	содержание и	1	3
206	допустим что	2	3
207	но для	1	3
208	словом и	2	3
209	может стать	3	3
210	вряд ли	2	3
211	все эти	3	3
212	как в	18	3
213	человеческой речи	6	3
214	должно было	1	3
215	уважение к	2	3
216	том что	21	3
217	бы мы	1	3
218	вследствие этого	1	3
219	роль в	1	3
220	об этом	1	3
221	перед нами	1	3
222	еще не	9	3
223	до того	2	3
224	но при	3	3
225	его и	1	3
226	то он	2	3
227	нуждается в	2	3
228	мертвых душ	5	3
229	а к	1	3
230	в котором	5	3
231	в устах	1	3
232	что всякое	1	3
233	если не	5	3
234	как предмет	3	3
235	и поэтому	2	3
236	между тем	7	3
237	явления природы	1	3
238	во второй	1	3
239	только на	4	3
240	не с	2	3
241	в тех	1	3
242	связь между	2	3
243	в начале	2	3
244	и слово	2	3
245	конечно не	1	3
246	от того	9	3
247	их в	2	3
248	мы ни	1	3
249	язык не	5	3
250	заметить что	7	3
251	не будет	2	3
252	сказать что	5	3
253	главным образом	4	3
254	может показаться	1	3
255	в голову	1	3
256	жизни и	3	3
257	этого слова	5	3
258	круг предметов	1	3
259	не мог	3	3
260	и для	8	3
261	это не	10	3
262	из них	2	3
