N	4gram	Bakhtin_Pr	RusskieA
1	в том что это	1	3
2	так же как и	3	3
3	подобно тому как в	2	3
4	но тем не менее	1	2
5	во всяком случае не	1	2
6	может быть только человек	1	2
7	в целом ряде других	2	1
8	природных и общественных явлений	1	1
9	друг к другу и	1	1
10	но все же не	1	1
11	не в духе а	1	1
12	ни с одним из	1	1
13	не умирают и не	1	1
14	в отличие от других	1	1
15	не потому что они	1	1
16	может быть понято как	1	1
17	не все в этой	1	1
18	в то время как	2	1
19	одного и того же	1	1
20	в том чтобы путем	1	1
21	можно сказать что в	1	1
22	в одном из своих	1	1
23	не имеет ничего общего	1	1
24	в том что на	1	1
25	в своей книге о	1	1
26	дело в том что	1	1
27	имеет ничего общего с	1	1
28	в духе а в	1	1
