N	4gram	Propp_Isto	DiskursI
1	в то же время	1	8
2	состоит в том что	1	7
3	с одной стороны и	1	5
4	в том числе и	2	3
5	одно и то же	2	3
6	между жизнью и смертью	1	2
7	в тех случаях когда	1	2
8	его в соответствии с	1	1
9	не что иное как	1	1
10	сам по себе не	1	1
11	целое в свою очередь	1	1
12	одни и те же	1	1
13	только после того как	1	1
14	между человеком и богом	1	1
15	иметь в виду что	1	1
16	с другой стороны в	1	1
17	внимание на то что	1	1
18	в таких произведениях как	1	1
19	что он не может	1	1
20	тем не менее в	1	1
21	только в том что	1	1
22	по мере того как	3	1
23	но в таком случае	1	1
24	свидетельствует о том что	1	1
25	дошли до нас в	1	1
26	здесь как и в	2	1
27	о том что было	1	1
28	есть не что иное	1	1
