N	3gram	Bakhtin_fo	DiskursI
1	в том что	4	28
2	в отличие от	3	26
3	по отношению к	3	17
4	с одной стороны	3	14
5	не может быть	4	12
6	в данном случае	2	12
7	по природе своей	2	10
8	то же время	13	10
9	той или иной	3	10
10	о том что	2	9
11	в то же	10	8
12	в этом отношении	5	8
13	как и в	3	7
14	и все же	1	7
15	так и в	1	6
16	в соответствии с	2	6
17	к тому же	2	6
18	с точки зрения	9	6
19	одной стороны и	2	5
20	и как бы	2	5
21	то же самое	1	5
22	с другой стороны	1	5
23	в значительной степени	1	5
24	в свою очередь	1	5
25	по своей природе	1	5
26	и может быть	1	5
27	дело в том	2	5
28	не только в	6	5
29	не было в	1	4
30	до известной степени	1	4
31	можно сказать что	1	4
32	существенную роль в	3	4
33	в частности в	1	4
34	одного и того	6	4
35	и прежде всего	4	4
36	и того же	6	4
37	в этом случае	1	4
38	тот или иной	1	4
39	свой жизненный путь	1	3
40	в том числе	7	3
41	и то же	4	3
42	по аналогии с	1	3
43	том числе и	4	3
44	то есть в	2	3
45	и в частности	2	3
46	одно и то	4	3
47	в себе не	1	3
48	том что в	1	3
49	во всяком случае	1	3
50	также и в	3	3
51	все то что	2	2
52	точка зрения на	1	2
53	в большинстве случаев	2	2
54	на том что	1	2
55	сами по себе	2	2
56	одних и тех	2	2
57	но в данном	1	2
58	весьма существенную роль	1	2
59	в этом мире	7	2
60	и в то	7	2
61	значении этого слова	1	2
62	в новое время	1	2
63	никогда не было	1	2
64	и в том	1	2
65	в одном из	1	2
66	но в качестве	1	2
67	но и в	5	2
68	ни в мире	1	2
69	и в особенности	5	2
70	здесь как и	1	2
71	в античной трагедии	1	2
72	времени и пространства	4	2
73	только в том	1	2
74	и тех же	2	2
75	каждый из них	1	2
76	под углом зрения	2	2
77	включает в себя	1	2
78	как мы видели	1	2
79	в одно и	3	2
80	но отнюдь не	1	2
81	с самого начала	3	2
82	тех случаях когда	1	2
83	так и на	1	2
84	из того же	1	2
85	в тех случаях	1	2
86	к себе самому	7	2
87	то есть к	1	2
88	и не только	2	2
89	а также и	3	2
90	прежде всего в	3	2
91	не совпадающем с	1	1
92	уст в уста	1	1
93	в той или	2	1
94	но все эти	2	1
95	как и во	1	1
96	и оболочка внешнее	1	1
97	тем более не	1	1
98	для своей реализации	1	1
99	а как раз	1	1
100	человека с самим	1	1
101	зоне контакта с	1	1
102	в себе в	1	1
103	до нас в	3	1
104	в истории этого	1	1
105	отнюдь не совпадающем	1	1
106	героев не только	1	1
107	в литературе и	1	1
108	и вернуться к	1	1
109	о том как	2	1
110	между вещами и	3	1
111	жанров в частности	1	1
112	и т.д эта	1	1
113	в чем не	3	1
114	жизненный путь в	1	1
115	совокупность требований предъявляемых	1	1
116	нем разделились ядро	1	1
