1	тем не менее	12	23
2	и т д	1	20
3	в том что	133	17
4	то же самое	31	17
5	той или иной	8	16
6	содержит в себе	7	13
7	в данном случае	15	12
8	сама по себе	9	11
9	с другой стороны	26	11
10	сам по себе	8	10
11	же самое время	3	10
12	в то же	5	10
13	по крайней мере	1	9
14	с точки зрения	89	9
15	в связи с	17	9
16	в этом случае	27	8
17	ни в каком	2	8
18	и то что	15	8
19	во всяком случае	18	8
20	о том что	25	8
21	это значит что	13	8
22	сами по себе	5	8
23	самом же деле	2	7
24	в той или	2	7
25	тех или иных	3	7
26	но даже и	1	7
27	на самом же	2	7
28	в то время	22	6
29	и вовсе не	1	6
30	и в этом	5	6
31	есть не что	4	6
32	мы должны сказать	4	6
33	что иное как	6	6
34	можно было бы	28	6
35	не что иное	6	6
36	те или иные	1	6
37	или по крайней	1	6
38	по своему содержанию	1	6
39	той или другой	1	6
40	то время как	20	6
41	потому что он	14	6
42	того или иного	3	5
43	на самом деле	9	5
44	как раз и	3	5
45	с той или	1	5
46	не только не	21	5
47	должны сказать что	3	5
48	в каком случае	1	5
49	само по себе	9	5
50	и то же	12	5
51	заключается в том	51	5
52	когда мы говорим	5	5
53	бы то ни	3	5
54	точно так же	13	5
55	в этом смысле	18	5
56	не может быть	23	5
57	может быть даже	1	4
58	не есть просто	1	4
59	до сих пор	17	4
60	том смысле что	5	4
61	там и здесь	2	4
62	и тем более	4	4
63	и в частности	6	4
64	тот или иной	2	4
65	в настоящее время	3	4
66	имеем в виду	3	4
67	для того чтобы	78	4
68	же как и	17	4
69	о том как	7	4
70	то ни было	3	4
71	дело не в	1	4
72	в конце концов	5	4
73	если мы возьмем	1	4
74	в том смысле	6	4
75	том виде как	4	4
76	одно и то	12	4
77	дело в том	3	4
78	та или иная	3	4
79	только то что	6	4
80	в том виде	7	4
81	в одном случае	2	4
82	в первую очередь	14	3
83	никак не может	3	3
84	те или другие	1	3
85	или иной мере	2	3
86	здесь не в	1	3
87	то что у	2	3
88	дело здесь не	1	3
89	по определенному закону	1	3
90	и только в	3	3
91	том или другом	1	3
92	том или ином	1	3
93	есть прежде всего	5	3
94	несет на себе	1	3
