N	4gram	Trubetskoy	Freidism
1	в то же время	2	6
2	один и тот же	1	3
3	но в то же	1	3
4	мы должны прежде всего	1	2
5	бы то ни было	2	2
6	этим дело не исчерпывается	1	1
7	имеющие ничего общего с	1	1
8	но тем не менее	1	1
9	с того момента когда	1	1
10	но этим дело не	1	1
11	или по крайней мере	1	1
12	мы имеем в виду	1	1
13	во всяком случае в	1	1
14	не имеющие ничего общего	1	1
15	что мы знаем о	1	1
16	до сих пор не	1	1
17	в общем можно сказать	1	1
18	и в то же	1	1
19	общем можно сказать что	1	1
20	во всяком случае не	3	1
21	в самом деле если	1	1
