N	3gram	Tiupa_Hudo	EvropaiC
1	в том что	8	16
2	по отношению к	10	11
3	с точки зрения	3	8
4	более или менее	6	8
5	для того чтобы	5	7
6	а и в	1	7
7	друг от друга	1	6
8	в самом деле	2	5
9	так или иначе	4	5
10	к тому же	1	5
11	не может быть	4	4
12	о том что	1	4
13	тем не менее	3	4
14	с другой стороны	6	4
15	в том случае	1	4
16	начало и конец	2	4
17	в этом случае	1	4
18	том случае если	1	4
19	может быть и	2	4
20	заключается в том	1	3
21	не в состоянии	1	3
22	в настоящее время	1	3
23	одного и того	3	3
24	так же как	1	3
25	то ни было	2	3
26	и того же	3	3
27	в связи с	3	3
28	бы то ни	2	3
29	в том и	2	2
30	в свою очередь	2	2
31	при этом что	1	2
32	заключает в себе	1	2
33	как и в	1	2
34	в то время	1	2
35	в то же	7	2
36	именно потому что	1	2
37	а с другой	2	2
38	том что он	2	2
39	только то что	1	2
40	с одной стороны	3	2
41	то же время	7	2
42	и в том	1	2
43	что несмотря на	1	2
44	и в жизни	1	1
45	все то что	1	1
46	то есть в	1	1
47	та или иная	1	1
48	на задний план	1	1
49	в противоречие с	1	1
50	по крайней мере	1	1
51	в данный момент	2	1
52	есть как бы	1	1
53	этой точки зрения	2	1
54	то что входит	1	1
55	том или ином	1	1
56	в себе и	1	1
57	с этой точки	2	1
58	во всей своей	1	1
59	точно так же	1	1
60	к одному из	1	1
61	в том числе	3	1
62	художественное произведение и	1	1
63	при этом не	1	1
64	но на деле	1	1
65	состоит в том	5	1
66	между людьми поэтому	1	1
67	в себе никаких	1	1
68	в его сознании	1	1
69	и другими людьми	1	1
70	иметь в виду	1	1
71	одно и то	3	1
72	в лучшем случае	1	1
73	в зависимости от	1	1
74	том числе и	2	1
75	в том или	1	1
76	а в том	1	1
77	и то же	3	1
78	исходит из того	1	1
79	на наших глазах	2	1
80	на первый взгляд	1	1
81	при этом у	1	1
82	то же самое	1	1
83	к тому что	2	1
84	не принадлежат к	1	1
85	из того что	1	1
86	что входит в	1	1
87	приводит к тому	2	1
88	таким образом и	1	1
89	является одним из	1	1
90	со своей стороны	1	1
91	тот или иной	3	1
92	окружающей его природы	1	1
93	в чистом виде	1	1
94	это было бы	1	1
