N	2gram	Bakhtin_Fr	Morfolog
1	может быть	11	61
2	и пр	5	45
3	таким образом	5	26
4	могут быть	4	21
5	так как	11	20
6	мы имеем	1	19
7	не может	9	19
8	в этом	22	18
9	в этих	6	17
10	и в	105	17
11	и не	34	16
12	мы видим	2	15
13	перед нами	1	14
14	с этим	1	14
15	прежде всего	26	14
16	по существу	2	13
17	видим что	1	12
18	связи с	5	12
19	и др	32	12
20	а не	1	11
21	что в	4	10
22	то же	6	10
23	а затем	4	10
24	не всегда	1	10
25	этом случае	1	10
26	в том	17	10
27	так и	16	10
28	что и	2	10
29	в связи	2	10
30	то что	7	10
31	все же	10	9
32	с другой	3	9
33	но и	20	9
34	можно наблюдать	1	8
35	не только	24	8
36	в результате	1	8
37	имеем в	2	8
38	иногда в	1	8
39	мы не	1	8
40	в качестве	1	8
41	но не	7	8
42	в тех	5	8
43	а в	4	8
44	как мы	12	8
45	один из	5	7
46	и здесь	4	7
47	не могут	4	7
48	не менее	2	7
49	том что	9	7
50	потому что	6	7
51	по отношению	2	7
52	наряду с	2	7
53	точки зрения	10	7
54	как это	1	7
55	и этим	2	7
56	отношению к	2	7
57	и другие	10	6
58	подобно тому	2	6
59	о том	5	6
60	как бы	33	6
61	но это	5	6
62	это не	4	6
63	с точки	6	6
64	в образе	1	6
65	в нашем	3	6
66	или в	2	6
67	и как	2	6
68	вовсе не	25	6
69	во всех	13	6
70	также и	3	6
71	в форме	6	6
72	во время	14	6
73	они и	1	5
74	этот момент	3	5
75	из которых	2	5
76	другой стороны	1	5
77	по их	1	5
78	этот элемент	1	5
79	что он	5	5
80	как в	6	5
81	со стороны	1	5
82	видно что	1	5
83	хотя бы	2	5
84	было бы	4	5
85	к тому	3	5
86	ничего не	3	5
87	что они	2	5
88	не будем	1	5
89	хотя и	4	5
90	учение о	2	5
91	ясно что	1	5
92	все эти	15	5
93	одна из	5	5
94	на его	4	5
95	об этом	2	5
96	в других	3	5
97	там где	3	5
98	мы можем	2	5
99	тому как	2	5
100	между тем	5	5
101	он не	3	5
102	далеко не	6	5
103	особую форму	1	5
104	главным образом	6	5
105	в целом	3	5
106	и ее	1	5
107	раньше чем	1	5
108	и к	7	4
109	в некоторых	2	4
110	есть и	2	4
111	на этом	2	4
112	как и	15	4
113	самом деле	3	4
114	но все	5	4
115	тем что	5	4
116	никто не	1	4
117	уже не	3	4
118	еще не	8	4
119	не является	4	4
120	тех же	3	4
121	входит в	4	4
122	того чтобы	3	4
123	быть названо	1	4
124	говорить о	1	4
125	так же	2	4
126	сказать что	12	4
127	на него	2	4
128	на котором	3	4
129	и для	3	4
130	из них	7	4
131	но в	16	4
132	несмотря на	5	4
133	на самом	6	4
134	не хватает	1	4
135	его в	7	4
136	с теми	1	4
137	случае не	1	4
138	к этому	2	4
139	в то	5	4
140	мы уже	18	4
141	можно было	4	4
142	этот вопрос	2	4
143	от того	2	4
144	могла бы	2	4
145	о его	1	4
146	независимо от	1	4
147	собственном смысле	3	3
148	та же	2	3
149	с этой	1	3
150	и при	1	3
151	это уже	4	3
152	в сущности	20	3
153	о формах	1	3
154	ни в	1	3
155	этого момента	2	3
156	с собой	1	3
157	только в	16	3
158	здесь мы	2	3
159	если это	1	3
160	или на	1	3
161	и другим	1	3
162	в собственном	4	3
163	состоит из	1	3
164	на первый	1	3
165	некоторые из	3	3
166	не существует	1	3
167	очень многих	1	3
168	связана с	8	3
169	для того	2	3
170	но эти	1	3
171	вне связи	1	3
172	целый ряд	2	3
173	а во	1	3
174	настоящее время	1	3
175	так например	3	3
176	же она	2	3
177	здесь не	3	3
178	с его	9	3
179	кроме того	2	3
180	для этой	1	3
181	в настоящее	1	3
182	что при	1	3
183	к нему	5	3
184	что эти	1	3
185	они не	1	3
186	благодаря этому	4	3
187	сам он	1	3
188	а и	2	3
189	того что	3	3
190	что такое	1	3
191	ее в	2	3
192	но как	3	3
193	у нас	1	3
194	это и	3	3
195	в виде	1	3
196	а на	1	3
197	в таких	2	3
198	как же	1	3
199	к чему	1	3
200	из приведенных	1	3
201	как таковое	1	3
202	животных и	1	3
203	но для	3	3
204	здесь же	3	3
205	в какой	2	3
206	большинстве случаев	2	3
207	это было	2	3
208	и у	7	3
209	как уже	1	3
210	если бы	1	3
211	друг друга	3	3
212	мы должны	2	3
213	не в	4	3
214	в которой	1	3
215	а по	1	3
216	и их	3	3
217	в начале	4	3
218	в пределах	3	3
219	пр и	1	3
220	в большинстве	2	3
221	значение и	3	3
222	в этой	11	3
223	вступают в	2	3
224	к ней	2	3
225	приводит к	2	3
226	мы будем	4	3
227	же в	4	3
228	на то	2	3
229	и его	24	3
230	и по	3	3
231	и только	1	3
232	означает что	1	3
233	в один	1	3
234	от него	2	2
235	а потому	1	2
236	и этот	1	2
237	те элементы	1	2
238	должна быть	1	2
239	и становятся	1	2
240	научной литературе	1	2
241	на работу	1	2
242	и дает	1	2
243	считаться с	1	2
244	происходит с	1	2
245	лишь на	1	2
246	этот же	1	2
247	не на	2	2
248	оно не	2	2
249	как они	1	2
250	в своих	8	2
251	с этого	1	2
252	это положение	1	2
253	например в	3	2
254	относятся к	1	2
255	с тем	1	2
256	многих других	1	2
257	их в	3	2
258	вряд ли	1	2
259	в которых	1	2
260	себя и	2	2
261	только для	1	2
262	по этим	1	2
263	в итоге	1	2
264	роль в	6	2
265	на другие	1	2
266	где оно	1	2
267	не входит	2	2
268	но оно	1	2
269	во всяком	2	2
270	его и	1	2
271	можно сказать	4	2
272	со смертью	3	2
273	того как	1	2
274	в основе	8	2
275	и более	4	2
276	он требует	2	2
277	что этот	1	2
278	что мы	2	2
279	в очень	2	2
280	как например	2	2
281	реакцию на	1	2
282	нельзя было	1	2
283	но здесь	4	2
284	одной стороны	2	2
285	в другом	2	2
286	к себе	3	2
287	и больше	1	2
288	не исключает	1	2
289	в одном	8	2
290	и когда	1	2
291	от других	1	2
292	превращается в	6	2
293	ощущается как	1	2
294	в совершенно	2	2
295	действия и	1	2
296	например на	2	2
297	в глаза	1	2
298	без всякого	3	2
299	носит характер	1	2
300	в данной	1	2
301	тем же	1	2
302	тех случаях	1	2
303	одной из	3	2
304	на этот	3	2
305	он может	1	2
306	момент в	1	2
307	который в	1	2
308	функции как	1	2
309	всяком случае	2	2
310	и подобные	1	2
311	типична для	1	2
312	для него	12	2
313	в свое	6	2
314	ряд других	1	2
315	в основу	2	2
316	и заставляет	1	2
317	с одной	2	2
318	и за	2	2
319	нашей работы	6	2
320	ни к	2	2
321	этом отношении	5	2
