N	3gram	Bakhtin_Fr	Hudozhes
1	по отношению к	2	10
2	в том что	6	8
3	в то же	5	7
4	в отличие от	4	7
5	то же время	5	7
6	с другой стороны	1	6
7	той или иной	5	5
8	для того чтобы	2	5
9	того или иного	1	4
10	не может быть	5	4
11	так и не	3	4
12	мы имеем в	1	3
13	с точки зрения	6	3
14	имеем в виду	2	3
15	в том числе	10	3
16	можно сказать что	3	3
17	подобно тому как	2	3
18	в связи с	1	3
19	с одной стороны	2	3
20	в той или	5	2
21	но он не	1	2
22	в узком значении	1	2
23	и прежде всего	4	2
24	до известной степени	2	2
25	в самом деле	1	2
26	во внешнем мире	1	2
27	начало и конец	2	2
28	включает в себя	3	2
29	в отношении к	1	2
30	по своей природе	1	2
31	том числе и	7	2
32	тех или иных	1	2
33	и в то	2	2
34	том что он	1	2
35	в известном смысле	1	2
36	в значительной степени	4	2
37	в основе своей	2	2
38	может быть названо	1	2
39	века и в	3	1
40	то есть для	2	1
41	все то что	1	1
42	то есть в	5	1
43	типа так в	1	1
44	серьезного отношения к	1	1
45	и др в	2	1
46	он еще не	1	1
47	языка на котором	1	1
48	так и его	2	1
49	и его эстетической	1	1
50	карнавал переживаемый в	1	1
51	переживаемый в одиночку	1	1
52	которая характерна для	1	1
53	к однозначности и	1	1
54	и теперь в	1	1
55	говорит в частности	1	1
56	в самом начале	1	1
57	по ту сторону	1	1
58	при этом что	2	1
59	о том что	3	1
60	в xix веке	2	1
61	то или иное	1	1
62	для него не	1	1
63	или иной форме	4	1
64	в свое время	5	1
65	в себе и	2	1
66	как и в	1	1
67	фамильярный контакт между	1	1
68	человека с его	1	1
69	одиночку с острым	1	1
70	к которому впервые	1	1
71	и такие специфические	1	1
72	друг от друга	1	1
73	в настоящее время	1	1
74	между всеми людьми	1	1
75	мы встречаемся с	1	1
76	умения отрешиться от	1	1
77	в основе его	2	1
78	в себя и	1	1
79	о мире и	3	1
80	отношений между людьми	1	1
81	того что не	1	1
82	речь идет не	1	1
83	а затем в	1	1
84	в глаза в	1	1
85	в одной из	1	1
86	в особенности в	1	1
87	именно потому что	1	1
88	лишь в самом	1	1
89	и в частности	2	1
90	а и в	1	1
91	таким образом и	1	1
92	но в то	2	1
93	содержит в себе	2	1
94	как раз в	1	1
95	нет в его	1	1
96	это особого рода	1	1
97	однако и в	1	1
98	бы карнавал переживаемый	1	1
99	можно даже сказать	1	1
100	встречаемся с ним	1	1
101	то есть его	1	1
102	в этом случае	1	1
103	бы они ни	1	1
104	можно говорить о	1	1
105	во всей своей	1	1
106	к тому же	1	1
107	с самим собой	1	1
108	не только на	1	1
109	в первую очередь	1	1
110	как бы карнавал	1	1
111	в себе в	1	1
112	в одиночку с	1	1
113	не могут быть	2	1
114	контакт между всеми	1	1
115	вольный фамильярный контакт	1	1
116	в новое время	4	1
117	не входит в	2	1
118	мы нигде не	1	1
119	особое отношение к	1	1
120	на время в	1	1
121	языка но и	1	1
122	именно эта сторона	1	1
123	только то что	1	1
124	как бы в	1	1
125	в узком и	1	1
126	не внешняя а	1	1
127	за пределы всего	1	1
128	отдельности и в	1	1
129	этой своей отъединенности	1	1
130	имея в виду	1	1
131	отношения к миру	1	1
132	прежде всего в	1	1
133	и в том	2	1
134	подчеркнуть при этом	1	1
135	до того времени	1	1
136	лично для себя	1	1
137	в области литературы	2	1
