N	2gram	Bakhtin_Pr	Problema
1	и в	64	182
2	то есть	3	165
3	и не	55	152
4	вовсе не	12	145
5	то что	21	144
6	не есть	4	113
7	не только	26	104
8	потому что	8	89
9	в этом	33	88
10	может быть	43	82
11	в том	12	81
12	том что	8	81
13	только в	13	73
14	сказать что	4	72
15	но и	26	70
16	у нас	3	68
17	также и	3	68
18	и даже	5	66
19	по себе	16	64
20	не менее	3	58
21	о том	5	57
22	тем не	2	56
23	а не	29	56
24	так и	8	56
25	но в	14	55
26	так что	6	52
27	ни в	5	51
28	для нас	2	50
29	в себе	11	48
30	и вообще	1	48
31	смысле слова	2	47
32	было бы	8	46
33	прежде всего	16	45
34	в своей	11	45
35	что в	11	44
36	в его	30	44
37	не в	15	43
38	все эти	13	43
39	то же	18	42
40	а именно	2	42
41	как раз	9	42
42	таким образом	15	42
43	если мы	3	42
44	и что	5	40
45	что он	15	40
46	так как	9	40
47	что мы	1	40
48	во всяком	7	39
49	не может	26	39
50	такого рода	1	39
51	и тем	1	39
52	в этой	5	39
53	как бы	33	39
54	той или	1	38
55	в данном	2	38
56	хотя бы	4	37
57	никак не	4	37
58	в нем	28	37
59	того что	3	37
60	точки зрения	31	36
61	есть нечто	2	36
62	еще не	10	36
63	и все	6	36
64	и т	14	35
65	в виду	3	34
66	уже не	15	34
67	и с	9	34
68	как и	25	34
69	указывает на	2	34
70	же самое	1	33
71	в таком	3	33
72	т д	4	33
73	или иной	1	33
74	здесь не	7	32
75	в то	15	32
76	но не	12	32
77	едва ли	1	32
78	так же	8	31
79	в своем	12	31
80	связи с	3	31
81	что такое	2	31
82	в конце	8	31
83	но это	6	31
84	все это	9	31
85	и для	7	30
86	с другой	7	30
87	настоящее время	3	30
88	в настоящее	3	30
89	в связи	1	29
90	все же	11	29
91	можно сказать	2	29
92	перед нами	12	29
93	художественный образ	2	29
94	как мы	13	29
95	об этом	3	29
96	что же	9	28
97	данном случае	2	28
98	мы не	4	28
99	а в	10	28
100	и о	7	28
101	и это	8	27
102	и как	9	27
103	хотя и	5	27
104	ничего общего	1	27
