N	3gram	Nazirov_Vr	slovoVRo
1	не может быть	2	19
2	то же время	4	18
3	в то же	4	18
4	с точки зрения	2	15
5	во всяком случае	1	8
6	но в то	2	7
7	и в то	1	6
8	с другой стороны	1	6
9	в том что	2	5
10	в этом отношении	1	5
11	может быть и	1	5
12	на первый план	1	4
13	до сих пор	1	4
14	и не может	1	4
15	в свою очередь	1	4
16	и то же	1	3
17	в связи с	3	3
18	одно и то	1	3
19	тем не менее	1	2
20	а между тем	1	2
21	они как бы	1	2
22	о том же	1	2
23	не только не	1	2
24	но в этом	1	2
25	в известном смысле	1	2
26	и в этом	1	2
27	о том что	1	2
28	в мировой литературе	1	2
29	а следовательно и	1	2
30	в то время	1	2
31	его отношение к	1	2
32	же время и	1	2
33	тем что он	1	2
34	тем самым он	1	1
35	в письмах и	1	1
36	в литературе и	1	1
37	в той же	1	1
38	в в виноградов	2	1
39	это такая же	1	1
40	что в этой	1	1
41	все же он	1	1
42	с помощью которых	1	1
43	а также в	1	1
44	как и у	3	1
45	речь идет о	1	1
46	в нем самом	1	1
47	лишнего человека в	2	1
48	для нас оно	1	1
49	что они не	1	1
50	такая же как	1	1
51	но это не	1	1
52	что для нас	1	1
53	об этом романе	1	1
54	отцы и дети	2	1
55	же не только	1	1
56	отношение автора к	1	1
57	равно как и	1	1
58	на то что	1	1
59	он не только	2	1
60	по крайней мере	1	1
61	заключается в том	1	1
62	не с точки	1	1
63	гоголя и достоевского	1	1
64	что как раз	1	1
65	между тем это	1	1
66	да и в	1	1
67	связи с этим	1	1
68	же время по	1	1
69	героев романа в	1	1
70	но это как	1	1
71	далеко не все	1	1
72	как раз в	2	1
73	так же как	1	1
74	в каком направлении	1	1
75	у тургенева и	1	1
76	как он сам	1	1
77	более того в	1	1
78	не только как	1	1
