N	2gram	Medvedev_U	VLabPisa
1	таким образом	2	32
2	в этом	7	29
3	не только	10	26
4	и в	14	26
5	может быть	6	23
6	и не	8	20
7	хотя бы	5	20
8	художественного творчества	5	19
9	не может	7	17
10	в процессе	1	17
11	в его	2	15
12	в том	2	15
13	этом отношении	2	14
14	все это	5	13
15	прежде всего	8	13
16	в качестве	1	12
17	л толстой	1	12
18	в частности	3	12
19	что в	1	11
20	с другой	4	11
21	то же	5	10
22	не могут	2	10
23	в художественном	5	10
24	о том	1	10
25	но и	4	10
26	и др	1	10
27	для него	3	9
28	об этом	1	9
29	к этому	1	9
30	могут быть	2	8
31	другой стороны	3	8
32	только в	2	8
33	том что	2	8
34	было бы	3	8
35	не следует	3	8
36	в своем	1	8
37	это не	3	7
38	в конечном	4	7
39	не было	1	7
40	очевидно что	3	7
41	как и	3	7
42	их в	1	7
43	а не	10	7
44	то что	7	7
45	произведения в	1	7
46	художественное произведение	5	7
47	же в	1	7
48	в нем	1	7
49	произведения как	1	6
50	художественное творчество	1	6
51	думается что	2	6
52	у него	1	6
53	более или	1	6
54	в порядке	1	6
55	все же	3	6
56	приводит к	1	6
57	бы и	2	6
58	в искусстве	6	6
59	не в	2	6
60	между тем	2	6
61	художественном творчестве	2	6
62	так и	1	6
63	художественного произведения	2	6
64	в себе	2	6
65	или менее	1	6
66	л толстого	1	6
67	в то	3	6
68	в их	4	5
69	одним из	2	5
70	конечном счете	4	5
71	вот почему	7	5
72	в пределах	1	5
73	же время	3	5
74	сказать что	1	5
75	никогда не	1	5
76	в самом	2	4
77	ее в	1	4
78	как раз	2	4
79	можно сказать	1	4
80	что для	1	4
81	в этой	4	4
82	что все	2	4
83	что он	2	4
84	равно как	1	4
85	в виду	1	4
86	по существу	2	4
87	с тем	1	4
88	художественном произведении	2	4
89	в своей	3	4
90	с его	2	4
91	их и	2	4
92	отнюдь не	1	4
93	пишет в	1	4
94	данного произведения	1	3
95	этой области	3	3
96	этот процесс	1	3
97	мы имеем	1	3
98	того что	1	3
99	процессе художественного	1	3
100	что и	2	3
101	у нас	3	3
102	сводится к	2	3
103	если бы	2	3
104	в конце	2	3
105	в которых	1	3
106	не столь	1	3
107	большей или	1	3
108	бы в	1	3
109	в котором	1	3
110	даже и	2	3
111	она не	1	3
112	говорить не	1	3
113	в значительной	1	3
114	но даже	2	3
115	всего лишь	1	3
116	далеко не	1	3
117	человека и	1	3
118	или меньшей	1	3
119	как на	1	3
120	нет и	1	3
121	значительной мере	1	3
122	говоря иначе	2	3
123	как целого	1	3
124	всех этих	2	3
125	имеет свою	1	3
126	к сожалению	3	2
127	все его	1	2
128	из которых	1	2
129	достоевского и	1	2
130	должно быть	1	2
131	того как	1	2
132	ее как	1	2
133	с одной	1	2
134	должна быть	2	2
135	тогда когда	1	2
136	в пользу	1	2
137	о чем	2	2
138	что при	1	2
139	в большей	1	2
140	не приходится	2	2
141	что такое	4	2
142	и через	2	2
143	не столько	2	2
144	представлений и	1	2
145	по себе	2	2
146	и даже	1	2
147	в которой	1	2
148	такое понимание	1	2
149	не о	3	2
150	а о	2	2
151	что она	2	2
152	но не	2	2
153	в ней	1	2
154	точном смысле	1	2
155	стороны в	1	2
156	же как	1	2
157	что мы	2	2
158	не вполне	1	2
159	противном случае	2	2
160	только для	1	2
161	на то	1	2
162	у пушкина	1	2
163	в точном	1	2
164	произведения а	1	2
165	сих пор	2	2
166	по его	1	2
167	а для	1	2
168	все они	2	2
169	без них	1	2
170	и потому	1	2
171	до сих	2	2
172	восприятия и	1	2
173	и быть	1	2
174	в словесном	1	2
175	а как	2	2
176	в течение	1	2
177	одной стороны	1	2
178	относится к	1	2
179	искусства и	1	2
180	по крайней	2	2
181	оно является	1	2
182	формы и	2	2
183	в системе	2	2
184	в различных	1	2
185	даже не	1	2
186	и формы	3	2
187	он и	1	2
188	же самое	2	2
189	он в	1	2
190	в сфере	1	2
191	и у	2	2
192	вне его	1	2
193	он не	1	2
194	он может	1	2
195	цельного художественного	1	2
196	в области	3	2
197	в противном	2	2
198	искусство как	1	2
199	конце концов	2	2
200	меньшей степени	2	2
201	и для	2	2
202	но для	1	2
203	то о	1	2
204	крайней мере	2	2
205	но в	3	2
206	толстой в	1	2
207	искусства не	1	2
208	в той	1	1
209	к лицу	1	1
210	может обойтись	1	1
211	этом плане	1	1
212	стихотворений и	1	1
213	отношении очень	1	1
214	именно к	1	1
215	этом случае	1	1
216	является в	2	1
217	в шкловский	2	1
218	сводить к	1	1
219	и то	3	1
220	сводится именно	1	1
221	мы и	2	1
222	религии и	1	1
223	ней не	1	1
224	толстого и	1	1
225	данном случае	1	1
226	то есть	1	1
227	переходит в	1	1
228	почти не	1	1
229	для обоснования	1	1
230	мы не	2	1
231	образы но	1	1
232	художником и	1	1
233	или по	1	1
234	об искусстве	1	1
235	и толстого	1	1
236	материала и	2	1
237	не для	1	1
238	мы получаем	2	1
239	формы в	3	1
240	и теоретической	1	1
241	это значит	1	1
242	как особую	1	1
243	где же	1	1
244	природе и	1	1
245	фактов и	2	1
246	сам по	1	1
247	отсюда как	1	1
248	полагаем что	1	1
249	о нем	1	1
250	не как	3	1
251	с каждым	1	1
252	содержание в	1	1
253	они в	1	1
254	свойственна не	1	1
255	но что	1	1
256	без этого	1	1
257	в виде	1	1
258	говорит он	1	1
259	и понятий	1	1
260	так или	1	1
261	если не	2	1
262	материал для	2	1
263	случае он	1	1
264	но он	1	1
265	самом деле	2	1
266	о методах	1	1
267	еще раз	1	1
268	течение многих	1	1
269	этого не	1	1
270	или иначе	1	1
271	и все	1	1
272	историю литературы	1	1
273	достаточно ясно	1	1
274	техники словесного	1	1
275	тем что	2	1
276	и строится	1	1
277	в таком	1	1
278	относятся к	1	1
279	друг другу	1	1
280	ал блока	1	1
281	у р	2	1
282	она представляется	1	1
283	что по	1	1
284	вряд ли	3	1
285	более точно	1	1
286	меньшей мере	1	1
287	или даже	1	1
288	и так	1	1
289	него она	1	1
290	состоит из	1	1
291	на эту	2	1
292	словесного искусства	1	1
293	при таком	2	1
294	любопытно что	1	1
295	и приемы	1	1
296	случайно и	1	1
297	на предыдущих	1	1
298	его собственному	1	1
299	обе эти	1	1
300	этого материала	1	1
301	о котором	1	1
302	это было	2	1
303	в итоге	2	1
304	в известном	1	1
305	и это	1	1
306	на своем	1	1
307	эдгар по	1	1
308	обращение к	1	1
309	не все	2	1
310	само же	1	1
311	ли пушкин	1	1
312	его и	2	1
313	не самый	1	1
314	признать что	1	1
315	сфере искусства	1	1
316	более чем	2	1
317	эти тенденции	1	1
318	эмоциональный тон	1	1
319	как внутренне	1	1
320	в данном	1	1
321	вообще в	1	1
322	наивно полагая	1	1
323	известном письме	1	1
324	тем более	1	1
325	несомненно и	1	1
326	часто встречается	1	1
327	же автор	1	1
328	что этот	1	1
329	представляется не	1	1
330	поэзии и	1	1
331	очень часто	1	1
332	он был	1	1
333	конечно не	4	1
334	творчество и	1	1
335	входит в	1	1
336	ее нельзя	2	1
337	это для	1	1
338	под понятие	1	1
339	словесного художественного	1	1
340	искусстве нет	2	1
341	пишет он	2	1
342	познания или	1	1
343	или иных	2	1
344	содержания и	1	1
345	для этого	3	1
346	может служить	1	1
347	на его	1	1
348	и что	1	1
349	своей работе	1	1
350	которых она	1	1
351	к области	2	1
352	количество и	1	1
353	за пределы	1	1
354	а между	2	1
355	словесном творчестве	1	1
356	плана он	1	1
357	задачи и	1	1
358	лирических стихотворений	1	1
359	это то	1	1
360	что еще	1	1
361	конечно нет	2	1
362	этом смысле	2	1
363	верно и	1	1
364	присущи и	1	1
365	без труда	1	1
366	содержания в	1	1
367	связанных с	1	1
368	мы полагаем	1	1
369	не случайно	2	1
370	художественных произведений	2	1
371	путаницу и	1	1
372	имеем в	1	1
373	так то	1	1
374	обычное правило	1	1
375	со своими	1	1
376	же не	2	1
377	к изучению	1	1
378	но по	1	1
379	только материал	1	1
380	и служит	1	1
381	и явно	1	1
382	от которой	1	1
383	быть в	1	1
384	уже не	1	1
385	не значит	1	1
386	методических приемов	1	1
387	содержания на	1	1
388	содержательны и	1	1
389	предыдущих страницах	1	1
390	искусства в	1	1
391	этого сложного	1	1
392	полагая что	1	1
393	искусстве это	1	1
394	по меньшей	1	1
395	как возможно	1	1
396	тех или	2	1
397	материалов и	1	1
398	это в	1	1
399	приходится признать	2	1
400	является только	1	1
401	месте в	1	1
402	но это	2	1
403	строго говоря	1	1
404	которых слово	1	1
405	ходов и	1	1
406	или точнее	3	1
407	в совокупности	1	1
408	образом на	1	1
409	формы как	1	1
