N	2gram	Propp_Morf	Stilisti
1	и в	17	42
2	как бы	6	30
3	не только	8	28
4	прежде всего	14	22
5	хотя бы	5	18
6	то же	10	16
7	но и	9	16
8	и не	16	14
9	может быть	61	13
10	не может	19	13
11	как и	4	12
12	что мы	2	11
13	мы уже	4	11
14	точки зрения	7	11
15	в этом	18	10
16	в себе	1	10
17	и как	6	10
18	мы должны	3	10
19	как мы	8	10
20	мы не	8	9
21	при этом	1	9
22	все же	9	9
23	то что	10	9
24	для того	3	9
25	в то	4	9
26	таким образом	26	8
27	так как	20	8
28	с тем	2	8
29	и это	1	8
30	что же	2	8
31	с его	3	8
32	ничего не	5	8
33	и на	1	7
34	ситуация и	1	7
35	так и	10	7
36	мы можем	5	7
37	только в	3	7
38	в которой	3	7
39	и его	3	7
40	потому что	7	7
41	того чтобы	4	7
42	и тем	3	7
43	же время	1	7
44	было бы	5	7
45	а не	11	7
46	во всех	6	6
47	в его	1	6
48	не в	3	6
49	но ведь	1	6
50	на его	5	6
51	бы в	2	6
52	в свою	1	6
53	с помощью	1	6
54	одно и	1	6
55	в форме	6	6
56	или как	1	6
57	когда мы	1	6
58	в этой	3	6
59	точку зрения	1	6
60	мы будем	3	6
61	или иной	1	6
62	в области	1	6
63	в той	1	5
64	и их	3	5
65	с точки	6	5
66	те же	1	5
67	не является	4	5
68	самом деле	4	5
69	но все	4	5
70	и с	1	5
71	но в	4	5
72	тому что	5	5
73	точек зрения	1	5
74	того или	1	5
75	а с	2	5
76	мы увидим	10	5
77	как это	7	5
78	а в	8	5
79	у которого	1	5
80	же самое	1	5
81	в нашем	6	5
82	и то	1	5
83	независимо от	4	5
84	и наконец	1	5
85	всего в	1	4
86	были бы	1	4
87	и к	4	4
88	мы видим	15	4
89	один из	7	4
90	что это	3	4
91	на него	4	4
92	что такое	3	4
93	все это	2	4
94	в качестве	8	4
95	в одном	2	4
96	его в	4	4
97	если бы	3	4
98	и все	1	4
99	с самого	1	4
100	у нас	3	4
101	уже не	4	4
102	к тому	5	4
103	о том	6	4
104	вопроса о	3	4
105	той или	1	4
106	самого начала	1	4
107	к данной	1	4
108	в каждом	1	4
109	можно сказать	2	4
110	если мы	6	4
111	и пр	45	4
112	не существует	3	4
113	так называемой	1	4
114	не что	2	4
115	можно было	4	4
116	свою очередь	1	4
117	или иное	1	4
118	на это	1	4
119	так же	4	4
