N	2gram	Bakhtin_Pr	Mirosoze
1	и в	64	97
2	у достоевского	29	94
3	может быть	43	64
4	не только	26	63
5	в этом	33	55
6	но и	26	54
7	он не	14	53
8	а не	29	53
9	в нем	28	49
10	не может	26	49
11	у него	11	47
12	и не	55	39
13	никогда не	11	38
14	человеческого духа	2	38
15	в ней	2	37
16	потому что	8	37
17	не было	5	36
18	не в	15	34
19	и есть	3	33
20	для него	23	31
21	не есть	4	30
22	но он	4	30
23	есть лишь	1	30
24	великого инквизитора	2	30
25	человека в	8	30
26	как и	25	29
27	прежде всего	16	29
28	и он	5	27
29	в мире	7	27
30	но в	14	27
31	о человеке	1	26
32	человека и	2	26
33	в своей	11	25
34	он был	2	25
35	и это	8	25
36	достоевский был	3	25
37	переходит в	1	24
38	и все	6	24
39	у нас	3	24
40	и достоевский	1	23
41	ведет к	1	23
42	в своем	12	23
43	иван карамазов	1	23
44	что в	11	23
45	что он	15	22
46	в самом	17	21
47	творчество достоевского	5	21
48	достоевского и	9	21
49	в себе	11	20
50	достоевский не	5	20
51	отношение к	4	20
52	в россии	2	19
53	как бы	33	19
54	до конца	10	19
55	человек не	1	19
56	ивана карамазова	5	18
57	в его	30	18
58	того что	3	17
59	и потому	7	17
60	том что	8	16
61	в том	12	16
62	для достоевского	8	16
63	то что	21	16
64	было бы	8	16
65	достоевского в	15	16
66	и его	21	16
67	духа в	1	15
68	в котором	7	15
69	не был	2	15
70	не знает	6	15
71	в этой	5	15
72	в конце	8	14
73	человек в	1	14
74	она не	10	14
75	в творчестве	6	14
76	так как	9	14
77	достоевского к	4	13
78	достоевского он	3	13
79	русский народ	2	13
80	та же	1	13
81	и на	16	13
82	из подполья	12	13
83	друг друга	4	13
84	и вот	1	13
85	в них	5	12
86	он сам	5	12
87	к нему	11	12
88	и у	3	12
89	но не	12	12
90	смысле слова	2	12
91	в человеке	6	12
92	достоевский в	10	12
93	это не	12	12
94	все это	9	12
95	и к	5	11
96	любовь к	1	11
97	уже не	15	11
98	хотя бы	4	11
99	в которой	2	11
100	достоевского но	9	11
101	в русской	1	11
102	к достоевскому	1	11
103	был бы	6	11
104	только в	13	11
105	как в	7	11
106	и там	1	11
107	но это	6	11
108	и для	7	11
109	менее всего	7	11
110	свобода и	1	11
111	жизни и	3	11
112	достоевского не	15	10
113	то же	18	10
114	его духа	2	10
115	и свобода	1	10
116	так же	8	10
117	чем у	2	10
118	образ человека	2	10
119	один из	3	10
120	должна быть	8	10
121	не могут	10	10
122	не имеет	2	10
123	это и	5	10
124	в самой	9	10
125	все что	4	9
126	подпольного человека	1	9
127	из самых	1	9
128	к тому	4	9
129	к свободе	1	9
130	не мог	1	9
131	должно быть	8	9
132	достоевского было	3	9
133	что и	7	9
134	человек и	2	9
135	я не	6	9
136	не будет	1	9
137	он уже	1	9
138	то есть	3	9
139	с ним	8	9
140	вместе с	1	9
141	в свою	1	9
142	и во	3	9
143	бы и	6	9
144	есть и	5	9
145	а в	10	9
146	лишь в	4	9
147	от него	1	8
148	в этих	5	8
149	и с	9	8
150	тем что	6	8
151	о том	5	8
152	вопрос о	3	8
153	о достоевском	7	8
154	себя в	3	8
155	т е	44	8
156	что не	3	8
157	человека он	2	8
158	за пределы	7	8
159	жизнь в	2	8
160	что есть	1	8
161	не так	1	8
162	в отношении	5	8
163	самого достоевского	7	8
164	не знал	2	8
165	нет в	1	8
166	творчестве достоевского	7	8
167	того чтобы	2	8
168	отношении к	5	8
169	нет и	1	8
170	достоевского нет	5	8
171	с его	11	8
172	ничего не	8	8
173	они не	5	8
174	уже в	5	8
175	мира и	7	8
176	только и	1	8
177	для того	1	8
178	во всем	1	7
179	в духе	4	7
180	не существует	1	7
181	достоевского все	1	7
182	в нашем	2	7
183	что все	2	7
184	точки зрения	31	7
185	все в	3	7
186	те же	3	7
187	чем в	3	7
188	что она	7	7
189	на этом	2	7
190	от нее	2	7
191	в жизни	5	7
192	отношения к	5	7
193	себя и	5	7
194	он в	3	7
195	мог бы	1	7
196	но если	1	7
197	духа достоевский	1	7
198	высшей степени	1	7
199	герои достоевского	4	7
200	в высшей	1	7
201	должен быть	1	7
202	не могу	1	7
203	также и	3	7
204	как он	3	7
205	все еще	2	7
206	к другу	1	6
207	же и	5	6
208	есть прежде	1	6
209	с этой	2	6
210	не как	20	6
211	к концу	1	6
212	и нет	6	6
213	свободе и	1	6
214	увидим что	1	6
215	на пути	2	6
216	этого мира	6	6
217	всего в	2	6
218	что у	2	6
219	его в	8	6
220	к чему	1	6
221	записок из	2	6
222	и она	1	6
223	у них	1	6
224	личности и	1	6
225	можно было	3	6
226	вера в	1	6
227	что достоевский	1	6
228	чтобы не	1	6
229	и от	3	6
230	и здесь	6	6
231	друг к	1	6
232	что это	2	6
233	его на	2	6
234	или к	3	6
235	это есть	1	6
236	него нет	3	6
237	если бы	12	6
238	после достоевского	1	6
239	в которых	4	6
240	бы не	2	6
241	весь в	1	6
242	в образе	2	6
243	в ее	2	6
244	людей не	1	6
245	того как	3	6
246	этом он	1	6
247	не способен	2	6
248	должен был	1	6
249	тех которые	1	6
250	и человек	2	6
251	жизнь и	1	6
252	его не	1	6
253	быть и	2	6
254	на то	5	6
255	не к	1	6
256	еще не	10	5
257	бы в	7	5
258	которые не	1	5
259	с самим	3	5
260	его он	1	5
261	мысли и	6	5
262	человек есть	1	5
263	одно из	2	5
264	с собой	3	5
265	и как	9	5
266	он остается	1	5
267	мысли о	1	5
268	отличается от	5	5
269	с этим	3	5
270	во всяком	7	5
271	для этого	3	5
272	мы увидим	6	5
273	чем его	1	5
274	до того	1	5
275	перед ним	1	5
