N	4gram	Bakhtin_KF	Psycholo
1	один и тот же	3	5
2	одного и того же	1	4
3	то же самое что	1	4
4	одна и та же	2	4
5	в то же время	2	3
6	несмотря на то что	1	3
7	значит ли это что	1	3
8	дело в том что	1	3
9	до сих пор не	1	2
10	только в том что	1	2
11	и тем не менее	1	2
12	бы то ни было	2	2
13	может быть дано только	1	2
14	само по себе а	1	1
15	с нашей точки зрения	1	1
16	уже не может быть	2	1
17	том смысле в котором	1	1
18	в том смысле в	1	1
19	не само по себе	1	1
20	для берегов отчизны дальной	1	1
21	должен быть представлен как	1	1
22	в том случае когда	1	1
23	это значило бы что	1	1
24	в целом не может	1	1
25	какого бы то ни	1	1
26	мы не имеем в	1	1
27	но для того чтобы	1	1
28	герой и героиня и	1	1
29	только тогда когда оно	1	1
30	во всех остальных областях	1	1
31	не имеем в виду	2	1
32	ни в чем не	4	1
33	ни к чему не	2	1
34	но не в этом	1	1
35	сознания по отношению к	1	1
36	и именно в этой	1	1
37	и в этом смысле	1	1
