N	4gram	Potebnia_M	Vladivir
1	дело в том что	3	11
2	в то же время	3	9
3	в то время как	1	5
4	не что иное как	2	4
5	не говоря уже о	1	4
6	и в этом смысле	3	4
7	еще и потому что	1	4
8	во что бы то	1	3
9	что бы то ни	1	3
10	тем не менее если	1	3
11	в том что он	1	3
12	заключается в том что	1	3
13	бы то ни стало	1	3
14	и в том что	1	2
15	говоря уже о том	1	2
16	на то что в	1	2
17	и притом не только	2	2
18	уже о том что	1	2
19	но дело в том	2	2
20	один и тот же	1	2
21	или по крайней мере	2	2
22	с одной стороны и	2	2
23	бы то ни было	1	2
24	не имеет ничего общего	1	2
25	в том случае если	1	2
26	имеет ничего общего с	1	2
27	само по себе не	1	1
28	а в том как	1	1
29	и в таком случае	1	1
30	с этой точки зрения	1	1
31	что несмотря на все	1	1
32	том виде в каком	1	1
33	и в таком виде	1	1
34	уже с самого начала	2	1
35	в том смысле как	1	1
36	но тем не менее	6	1
37	а не иначе и	1	1
38	именно с тем что	1	1
39	таким а не другим	1	1
40	указывает на то что	1	1
41	я еще не знаю	1	1
42	а в том что	2	1
43	который сам по себе	1	1
44	тем не менее он	1	1
45	одной и той же	3	1
46	в том виде в	1	1
47	из всего этого видно	1	1
48	лишь в том что	1	1
49	всего этого видно что	1	1
50	но во всяком случае	3	1
51	это было для него	1	1
52	с такой точки зрения	1	1
53	по себе не может	1	1
54	в таком случае эта	1	1
55	и т д в	1	1
56	и то и другое	2	1
57	так а не иначе	2	1
58	то чего я хочу	1	1
59	тем не менее и	1	1
60	привело к тому что	1	1
61	и тот же с	1	1
62	не в том что	3	1
