N	2gram	Medvedev_U	slovoVRo
1	и в	14	92
2	то есть	1	64
3	может быть	6	59
4	в нем	1	59
5	и не	8	51
6	не только	10	44
7	не может	7	41
8	но и	4	39
9	до конца	1	37
10	в этом	7	36
11	а не	10	34
12	так и	1	30
13	могут быть	2	29
14	и др	1	29
15	в пределах	1	29
16	в его	2	27
17	все это	5	25
18	то же	5	23
19	не в	2	21
20	в процессе	1	20
21	в то	3	20
22	прежде всего	8	19
23	как и	3	18
24	же время	3	18
25	таким образом	2	17
26	и даже	1	17
27	все же	3	17
28	но в	3	16
29	в той	1	15
30	и с	2	15
31	только в	2	14
32	это не	3	13
33	с другой	4	13
34	с его	2	13
35	и для	2	13
36	слово как	1	12
37	никогда не	1	12
38	и потому	1	12
39	для него	3	11
40	с одной	1	11
41	язык в	1	11
42	на его	1	11
43	одной стороны	1	11
44	и все	1	10
45	уже не	1	10
46	все они	2	10
47	в своем	1	10
48	в том	2	10
49	она не	1	10
50	в себе	2	10
51	далеко не	1	10
52	всех этих	2	10
53	более или	1	9
54	в своей	3	9
55	конечно не	4	9
56	сказать что	1	9
57	этом случае	1	9
58	у толстого	1	9
59	в их	4	9
60	или менее	1	9
61	он не	1	9
62	одним из	2	9
63	но не	2	9
64	в самом	2	8
65	не могут	2	8
66	в поэтическом	1	8
67	в значительной	1	8
68	установка на	1	8
69	входит в	1	8
70	человека и	1	8
71	в ней	1	8
72	о нем	1	7
73	связанные с	1	7
74	том что	2	7
75	в кавычки	1	7
76	на своем	1	7
77	но именно	1	7
78	у него	1	7
79	не было	1	7
80	в таком	1	7
81	за пределы	1	7
82	что в	1	6
83	другой стороны	3	6
84	по себе	2	6
85	большей или	1	6
86	можно сказать	1	6
87	в качестве	1	6
88	бы и	2	6
89	хотя бы	5	6
90	между тем	2	6
91	или меньшей	1	6
92	он в	1	6
93	ничего не	2	6
94	должна быть	2	5
95	не как	3	5
96	и форм	1	5
97	о том	1	5
98	его и	2	5
99	в противовес	2	5
100	в данном	1	5
101	вне его	1	5
102	мы не	2	5
103	связанных с	1	5
104	речи в	1	5
105	той же	1	5
106	но он	1	5
107	жанра в	1	5
108	как такового	3	5
109	остается в	1	5
110	этом отношении	2	5
111	или даже	1	5
112	у стерна	1	5
113	а как	2	5
114	меньшей степени	2	5
115	для этого	3	5
116	до сих	2	4
117	по существу	2	4
118	точном смысле	1	4
119	в большей	1	4
120	в некоторых	2	4
121	не столько	2	4
122	в виду	1	4
123	для всех	2	4
124	очень легко	1	4
125	если бы	2	4
126	в точном	1	4
127	его на	1	4
128	что он	2	4
129	на первый	2	4
130	друг с	1	4
131	поэзии и	1	4
132	даже и	2	4
133	тогда когда	1	4
134	и слово	1	4
135	в различных	1	4
136	и формы	3	4
137	он может	1	4
138	но это	2	4
139	в системе	2	4
140	его как	1	4
141	того что	1	4
142	формы и	2	4
143	истории литературы	3	4
144	все его	1	4
145	как раз	2	4
146	что и	2	4
147	они в	1	4
148	в виде	1	4
149	в которой	1	4
150	же как	1	4
151	с другом	1	4
152	сих пор	2	4
153	но конечно	2	4
154	именно как	2	4
155	первый план	1	4
156	в частности	3	4
157	литературы и	2	4
158	бы ни	1	4
159	и исторические	1	4
160	все что	1	3
161	еще раз	1	3
162	переходит в	1	3
