N	3gram	Medvedev_U	Tvorches
1	в то же	3	25
2	то же время	3	24
3	в том что	2	11
4	по нашему мнению	3	10
5	и в то	1	7
6	в конечном счете	4	6
7	не может быть	4	6
8	но в то	1	6
9	в самом деле	2	5
10	до сих пор	2	4
11	по крайней мере	2	4
12	с другой стороны	3	3
13	является одним из	1	3
14	в данном случае	1	2
15	и в конце	1	2
16	в этом плане	1	2
17	в конце концов	2	2
18	в этой области	3	2
19	не могут быть	2	2
20	но это не	1	2
21	но прежде всего	1	2
22	можно сказать что	1	2
23	все же не	1	2
24	а не то	1	2
25	не только в	1	2
26	в первую очередь	1	2
27	художественного произведения как	1	1
28	о котором говорил	1	1
29	хотя бы и	2	1
30	в частности с	1	1
31	в процессе художественного	1	1
32	а между тем	2	1
33	у нас до	1	1
34	и прежде всего	1	1
35	то ни было	3	1
36	то же самое	2	1
37	бы то ни	3	1
38	на первый взгляд	1	1
39	в художественном произведении	2	1
40	равно как и	1	1
41	имеем в виду	1	1
42	и это для	1	1
43	может быть в	1	1
44	с одной стороны	1	1
45	все это в	1	1
46	и в их	1	1
47	нас до сих	1	1
48	процессе художественного творчества	1	1
49	нам представляется что	1	1
50	мы имеем в	1	1
51	в этом случае	1	1
52	тем что он	1	1
53	и не только	1	1
54	еще ничего не	2	1
55	только в этом	1	1
