N	2gram	Bakhtin_Pr	Literetu
1	а не	5	50
2	и не	42	47
3	не только	9	46
4	и в	38	44
5	может быть	26	43
6	при этом	5	41
7	но и	9	41
8	в том	8	39
9	в этом	15	38
10	том что	3	32
11	в частности	2	30
12	то что	8	29
13	в мире	3	28
14	то же	5	26
15	как и	7	23
16	в то	4	23
17	себя в	2	22
18	не в	7	22
19	того что	2	22
20	так и	5	22
21	не может	27	22
22	же время	3	21
23	в себе	4	20
24	я в	1	19
25	прежде всего	13	19
26	как бы	22	18
27	с другой	7	17
28	точки зрения	8	17
29	то есть	46	17
30	в его	43	17
31	в этой	1	16
32	не менее	4	15
33	я не	2	15
34	только в	13	15
35	тем самым	4	15
36	в целом	3	15
37	и даже	3	14
38	по отношению	21	14
39	однако в	1	14
40	что он	2	14
41	эстетического объекта	37	13
42	уже не	1	13
43	в своем	5	13
44	с одной	3	13
45	как это	2	13
46	но не	12	13
47	и его	16	13
48	в своей	7	12
49	о том	4	12
50	в данном	4	12
51	одной стороны	3	12
52	пути в	1	12
53	к себе	2	12
54	еще не	7	12
55	отношению к	19	12
56	а также	1	12
57	в другом	2	11
58	никогда не	5	11
59	в конечном	4	11
60	столь же	2	11
61	вместе с	1	11
62	как в	4	11
63	в основе	5	11
64	в отличие	5	11
65	с его	2	11
66	данном случае	4	11
67	это не	5	11
68	отличие от	5	11
69	или иначе	1	11
70	а в	6	11
71	в принципе	1	10
72	конечном счете	4	10
73	в противовес	1	10
74	из них	1	10
75	в ее	4	10
76	что в	7	10
77	и на	3	10
78	жизни в	1	10
79	этом отношении	2	10
80	жизни и	1	10
81	отнюдь не	19	10
82	в области	11	10
83	эстетической деятельности	2	9
84	к тому	1	9
85	искусства и	3	9
86	связи с	2	9
87	в поэзии	9	9
88	отказ от	1	9
89	в начале	2	9
90	лишь в	2	9
91	говоря уже	1	8
92	в своих	2	8
93	тем что	2	8
94	все же	6	8
95	исходит из	1	8
96	одна из	2	8
97	едва ли	3	8
98	с точки	6	8
99	на себя	1	8
100	что не	4	8
101	художественного творчества	12	8
102	слова и	3	8
103	в глазах	1	8
104	но в	4	8
105	для него	1	8
106	по существу	2	8
107	и как	8	8
108	и я	1	8
109	не говоря	1	8
110	в искусстве	12	8
111	вплоть до	1	8
112	в самом	7	7
113	в одном	1	7
114	другой стороны	4	7
115	для всех	1	7
116	именно в	1	7
117	в художественном	20	7
118	на фоне	3	7
119	в противоположность	1	7
120	не как	1	7
121	говоря словами	1	7
122	он не	3	7
123	и тем	3	7
124	и с	17	7
125	в нем	15	7
126	в сфере	1	7
127	до конца	1	7
128	друг друга	1	7
129	и для	11	7
130	перестает быть	4	7
131	у нас	2	7
132	в их	10	7
133	человека в	2	7
134	личности в	1	7
135	и других	2	7
136	это как	1	7
137	тому как	1	7
138	в виду	4	6
139	например в	3	6
140	уже о	1	6
141	и он	2	6
142	его в	9	6
143	не было	2	6
144	эстетический объект	37	6
145	во всех	11	6
146	в каждом	2	6
147	было бы	8	6
148	подобно тому	1	6
149	с ее	1	6
150	в культуре	2	6
151	то в	1	6
152	с миром	4	6
153	самом деле	6	6
154	как о	1	6
155	в слове	3	6
156	и др	8	6
157	в ней	4	6
158	далеко не	5	6
159	и только	4	6
160	и наконец	6	6
161	и к	3	5
162	к этой	1	5
163	об искусстве	3	5
164	в связи	2	5
165	хотя бы	4	5
166	жизни как	1	5
167	в нашем	4	5
168	должно быть	5	5
169	несмотря на	3	5
170	ни было	3	5
171	тем не	3	5
172	и за	1	5
173	не знает	3	5
174	деятельности в	1	5
175	по аналогии	1	5
176	в себя	2	5
177	между тем	7	5
178	во втором	1	5
179	в россии	2	5
180	в романе	4	5
181	себя и	3	5
182	не с	4	5
183	идет о	1	5
184	и если	1	5
185	автора и	1	5
186	быть не	1	5
187	мир в	2	5
188	что и	2	5
189	но с	3	5
190	в равной	2	5
191	свобода от	1	5
192	в поэме	1	5
193	как он	1	5
194	место в	8	5
195	или иной	2	5
196	не к	6	5
197	более того	4	5
198	которая в	1	4
199	в них	5	4
200	с тем	1	4
201	входит в	8	4
202	для того	2	4
203	не всегда	6	4
204	как совокупность	1	4
205	только на	1	4
206	не вполне	2	4
207	как мы	7	4
208	объект и	4	4
209	во всей	1	4
210	к этому	2	4
211	бы то	3	4
212	мышления и	1	4
213	хотя и	3	4
214	все время	1	4
215	себе и	1	4
216	могли бы	1	4
217	на этом	2	4
218	от самого	1	4
219	то ни	3	4
220	и что	2	4
221	за пределы	12	4
222	к своему	2	4
223	могут быть	5	4
224	и есть	2	4
225	можно сказать	2	4
226	из этого	1	4
227	самим собою	2	4
228	жизни а	1	4
229	в единстве	12	4
230	со всеми	3	4
231	и все	3	4
232	в пределах	6	4
233	отношения к	6	4
234	приводит к	3	4
235	бы не	2	4
236	в лирике	2	4
237	аналогии с	1	4
238	все они	5	4
239	ни к	2	4
240	совершенно не	7	4
241	то он	1	4
242	не является	3	4
243	тех же	1	4
244	в свою	2	4
245	на том	1	4
246	но лишь	2	4
247	художественное произведение	8	4
248	одной из	3	4
249	но это	3	4
250	таким образом	10	4
251	как к	2	4
252	и вот	1	4
253	художественного целого	1	4
254	для нас	1	4
255	этом в	1	4
256	объекта и	7	4
257	и прежде	5	4
258	в каждой	1	4
259	вовсе не	2	4
260	зависимость от	1	4
261	на то	2	4
262	себе самому	1	4
263	нуждается в	2	4
264	художественное творчество	7	4
265	все что	3	3
266	в душе	1	3
267	о чем	1	3
268	мысли и	1	3
269	в этих	2	3
270	по себе	1	3
271	с действительностью	3	3
272	в первом	1	3
273	нет в	1	3
274	ответственности перед	1	3
275	мира и	1	3
276	себе самой	1	3
277	вопрос о	1	3
278	так же	1	3
279	свою очередь	1	3
280	художественная деятельность	1	3
281	не становится	1	3
282	над словом	1	3
283	от эстетического	2	3
284	постановка проблемы	1	3
285	который в	1	3
286	с ним	5	3
287	не просто	1	3
288	говорить о	3	3
