N	2gram	Vygotskiy_	UchenyiS
1	и в	65	14
2	не только	16	10
3	а не	11	10
4	и не	20	8
5	прежде всего	2	8
6	то что	61	7
7	в этом	37	7
8	не может	17	7
9	может быть	33	6
10	в искусстве	2	6
11	хотя бы	3	5
12	то же	17	5
13	в художественном	1	5
14	и только	8	5
15	все это	12	5
16	художественное произведение	2	5
17	в конечном	2	4
18	с другой	8	4
19	в этой	20	4
20	конечном счете	1	4
21	конечно не	6	4
22	что такое	2	4
23	но и	6	4
24	в их	3	4
25	бы то	1	3
26	было бы	22	3
27	не о	1	3
28	и то	10	3
29	и формы	2	3
30	только к	1	3
31	для этого	9	3
32	очевидно что	4	3
33	произведения искусства	1	3
34	это не	7	3
35	как и	12	3
36	для него	4	3
37	формы в	2	3
38	в своей	6	3
39	все же	10	3
40	в частности	3	3
41	в то	5	3
42	не как	1	3
43	у нас	4	3
44	другой стороны	5	3
45	не следует	3	3
46	но в	5	3
47	литературы и	1	2
48	все они	3	2
49	художественной формы	1	2
50	таким образом	21	2
51	в самом	41	2
52	если не	1	2
53	должна была	1	2
54	в противном	1	2
55	могли бы	6	2
56	его и	1	2
57	если бы	22	2
58	самом деле	33	2
59	является в	1	2
60	не в	12	2
61	ни от	1	2
62	это было	4	2
63	бы и	2	2
64	для всех	2	2
65	и с	4	2
66	до сих	7	2
67	их и	1	2
68	же самое	14	2
69	думается что	1	2
70	одним из	2	2
71	но не	3	2
72	по существу	4	2
73	тем что	7	2
74	более чем	2	2
75	в себе	9	2
76	в его	11	2
77	прием и	1	2
78	искусства как	1	2
79	роль не	1	2
80	в конце	5	2
81	должна быть	5	2
82	мы не	7	2
83	мы получаем	1	2
84	для поэзии	1	2
85	именно как	3	2
86	ничего не	4	2
87	всех этих	2	2
88	материала и	2	2
89	между тем	10	2
90	приемов и	1	2
91	что она	34	2
92	не есть	1	2
93	художественного произведения	2	2
94	прием в	1	2
95	что он	23	2
96	на каждом	1	2
97	на эту	2	2
98	при таком	4	2
99	этом отношении	1	2
100	противном случае	1	2
101	о чем	1	2
102	художественном произведении	1	2
103	как раз	14	2
104	каждом шагу	1	2
105	композиции и	1	2
106	в некоторых	2	2
107	не могут	2	2
108	а как	1	2
109	что мы	6	2
110	сводится к	1	2
111	в том	46	2
112	том что	28	2
113	надо было	3	2
114	нас в	1	2
115	но это	6	2
116	а о	1	2
117	и для	4	2
118	в итоге	1	2
119	и является	1	2
120	что и	7	2
121	к области	1	2
122	в сторону	2	2
123	не столько	1	2
124	а между	1	2
125	смысле этого	5	2
126	с его	2	2
127	и у	1	2
128	превращается в	1	2
129	на первый	1	2
130	сих пор	6	2
131	только в	9	2
132	формы и	1	2
133	по себе	5	2
134	что все	10	2
135	не все	1	2
136	но конечно	1	2
137	верно и	1	1
138	было у	1	1
139	и форм	1	1
140	первый взгляд	1	1
141	раз обратное	2	1
142	в той	8	1
143	и материал	1	1
144	признать что	2	1
145	так то	2	1
146	все в	1	1
147	и эстетики	1	1
148	что в	36	1
149	чем к	1	1
150	была уже	1	1
151	очень легко	7	1
152	с которыми	2	1
153	иначе говоря	10	1
154	построения и	2	1
155	этом плане	1	1
156	не было	4	1
157	так или	1	1
158	и даже	4	1
159	элементы из	1	1
160	этого и	1	1
161	он вводит	1	1
162	более или	1	1
163	говорит он	3	1
164	ошибочны очень	1	1
165	и потому	1	1
166	приема и	1	1
167	но он	5	1
168	отказаться от	2	1
169	этом случае	1	1
170	стилистический прием	1	1
171	в не	1	1
172	в свое	1	1
173	или просто	1	1
174	в которой	8	1
175	такое понимание	2	1
176	имеем в	3	1
177	можно сказать	2	1
178	самые слова	1	1
179	оформления материала	1	1
180	мы можем	12	1
181	явлением и	1	1
182	что же	3	1
183	у стерна	1	1
184	или иначе	2	1
185	в данном	5	1
186	элементарным и	1	1
187	что под	4	1
188	временной последовательности	1	1
189	много в	2	1
190	подобным образом	1	1
191	при построении	2	1
192	больше чем	5	1
193	от смысла	1	1
194	еще раз	3	1
195	нет и	1	1
196	как на	9	1
197	равно как	1	1
198	что никакого	1	1
199	а оно	1	1
200	никогда и	1	1
201	а где	1	1
202	быть не	2	1
203	он в	3	1
204	и все	14	1
205	которые могли	1	1
206	слова а	2	1
207	что этот	5	1
208	в точном	2	1
209	содержание и	1	1
210	из самых	1	1
211	же как	3	1
212	но нам	1	1
