N	3gram	Medvedev_F	Problema
1	тем не менее	2	56
2	в том что	3	37
3	и т д	11	33
4	вовсе не есть	1	30
5	в настоящее время	11	30
6	в связи с	9	29
7	в данном случае	2	28
8	по крайней мере	1	26
9	во всяком случае	6	25
10	с другой стороны	4	25
11	с точки зрения	17	25
12	в таком случае	1	23
13	в конце концов	2	23
14	сам по себе	2	21
15	сама по себе	2	21
16	в этом смысле	3	19
17	как раз и	4	18
18	для того чтобы	3	17
19	в то же	13	17
20	до сих пор	7	14
21	не что иное	1	14
22	что иное как	1	14
23	в этом случае	1	14
24	ничего общего с	2	13
25	это значит что	1	13
26	сами по себе	4	13
27	того или иного	6	13
28	на самом деле	7	13
29	не может быть	11	12
30	но даже и	2	12
31	так или иначе	1	12
32	и в частности	2	12
33	той или другой	1	12
34	и в этом	6	12
35	тех или иных	1	11
36	есть не что	1	11
37	бы то ни	4	11
38	с одной стороны	5	11
39	и тем самым	2	10
40	не только не	2	10
41	даже и не	1	10
42	вместе с тем	5	10
43	более или менее	7	10
44	вовсе не является	1	10
45	только то что	1	10
46	по этому поводу	1	9
47	взятые сами по	1	9
48	что же касается	1	9
49	то и другое	1	9
50	не говоря уже	1	9
51	может быть и	4	9
52	самом же деле	1	8
53	на самом же	1	8
54	только в том	1	8
55	что же такое	1	8
56	заключается в том	1	8
57	говоря уже о	1	7
58	чем иным как	1	7
59	но и в	4	7
60	может быть даже	1	7
61	то или иное	1	7
62	с самого начала	2	7
63	не чем иным	1	7
64	иметь в виду	1	7
65	в этой области	1	7
66	в том или	1	7
67	тот или иной	1	7
68	и как бы	1	6
69	по себе но	1	6
70	в самом деле	5	6
71	так и в	6	6
72	это то что	1	6
73	но отнюдь не	1	6
74	и в его	1	6
75	и в других	1	6
76	то ни было	1	6
77	на первый план	1	6
78	в том смысле	3	6
79	в этом отношении	7	6
80	по себе а	2	5
81	в литературе и	1	5
82	в собственном смысле	1	5
83	хотя бы и	1	5
84	а также и	1	5
85	имеем в виду	1	5
86	это и не	1	5
87	так же как	1	5
88	та или иная	1	5
89	том смысле что	2	5
90	в том числе	1	5
91	в зависимости от	4	5
92	и прежде всего	2	5
93	а вовсе не	2	5
94	быть даже и	1	5
95	в какой мере	2	5
96	том или ином	1	5
97	не менее в	1	5
98	что в нем	2	5
99	же как и	1	5
100	ни в чем	1	5
101	ни о каком	1	5
102	друг от друга	2	4
103	связи с этим	4	4
104	том числе и	1	4
105	они вовсе не	1	4
106	но все же	2	4
107	то ни стало	4	4
108	в том чтобы	3	4
109	этой точки зрения	1	4
110	до тех пор	1	4
111	все же не	1	4
112	же в таком	1	4
113	он не есть	1	4
114	в других областях	1	4
115	у нас не	3	4
116	во что бы	3	4
117	на первом плане	1	4
118	то во всяком	1	4
119	и во всяком	1	4
120	только в связи	1	4
121	равно как и	1	4
122	в это время	1	4
123	и не в	2	4
124	что бы то	3	4
125	и с точки	1	4
126	как мы видели	5	4
127	во всех этих	1	4
128	в новое время	1	4
129	одной стороны и	4	3
130	то что он	1	3
131	бы мы ни	1	3
132	мы здесь не	1	3
133	что в данном	1	3
134	в художественном образе	1	3
135	в отличие от	2	3
136	в отдельности и	1	3
137	к тому что	3	3
138	ни к какому	1	3
139	в чем же	1	3
140	как и в	1	3
