N	2gram	Bakhtin_fo	SlovoVZh
1	не может	8	16
2	может быть	18	14
3	точки зрения	14	14
4	как бы	11	13
5	и его	26	13
6	таким образом	14	12
7	и в	84	12
8	отношению к	5	11
9	по отношению	3	11
10	в нашем	3	11
11	и не	19	10
12	так как	12	9
13	если бы	6	9
14	прежде всего	28	8
15	для нас	2	7
16	сказать что	4	7
17	в ней	4	6
18	слова и	4	6
19	с помощью	5	6
20	в том	16	6
21	в процессе	4	6
22	только в	12	6
23	в нем	28	6
24	при этом	8	6
25	к содержанию	1	6
26	и др	13	5
27	можно сказать	2	5
28	что мы	2	5
29	героя и	7	5
30	хотя бы	2	5
31	должна быть	1	5
32	то же	18	5
33	а не	7	5
34	в виду	5	5
35	то что	13	5
36	в жизни	6	5
37	как и	15	5
38	как в	10	5
39	отнюдь не	7	5
40	том что	7	5
41	и следовательно	5	5
42	но в	16	5
43	никогда не	8	5
44	в самом	9	4
45	и к	4	4
46	в литературе	17	4
47	и на	13	4
48	не только	16	4
49	и является	2	4
50	на самом	1	4
51	как если	2	4
52	за пределы	1	4
53	его в	8	4
54	с другой	4	4
55	не в	10	4
56	дело в	3	4
57	отношение к	5	4
58	что не	3	4
59	так и	17	4
60	уже не	5	4
61	жизни и	12	4
62	в этом	41	4
63	все же	12	4
64	зависимости от	1	4
65	и с	10	3
66	ее и	1	3
67	к герою	1	3
68	до сих	4	3
69	это как	1	3
70	и более	3	3
71	в содержание	1	3
72	в котором	8	3
73	и по	5	3
74	в поэзии	2	3
75	и пр	2	3
76	так называемой	1	3
77	мы не	4	3
78	или не	2	3
79	между тем	1	3
80	для него	5	3
81	с ним	5	3
82	того что	5	3
83	быть и	4	3
84	и уже	4	3
85	когда он	1	3
86	в некоторых	4	3
87	имеет в	2	3
88	все это	10	3
89	он должен	2	3
90	ни в	9	3
91	в пределах	8	3
92	конечно не	7	3
93	по себе	3	3
94	так же	7	3
95	в них	11	3
96	в каком	2	3
97	этой точки	1	3
98	самом деле	2	3
99	только на	3	3
100	но для	2	3
101	в себе	7	3
102	слово в	1	3
103	произведения и	1	3
104	ясно что	2	3
105	все эти	12	3
106	о том	4	3
107	в своей	2	3
108	здесь не	5	3
109	и проч	5	3
110	нуждается в	1	3
111	да и	4	3
112	но и	14	3
113	ведь и	1	3
114	и для	12	3
115	точек зрения	1	3
116	точка зрения	4	3
117	на границе	1	3
118	и ее	4	3
119	и наконец	6	3
120	сих пор	4	3
121	и вообще	3	3
122	формы и	4	3
123	не к	2	3
124	еще не	8	3
125	в особенности	15	2
126	что в	9	2
127	этих двух	1	2
128	все они	4	2
129	самое слово	1	2
130	истории литературы	1	2
131	нет ничего	4	2
132	перестает быть	1	2
133	но это	1	2
134	и потому	4	2
135	действия и	1	2
136	вместе со	1	2
137	и другие	6	2
138	смысл и	1	2
139	и то	5	2
140	выражение в	3	2
141	мы можем	2	2
142	влияние на	6	2
143	и самое	5	2
144	в данном	4	2
145	в то	13	2
146	по природе	2	2
147	сливается с	1	2
148	на один	2	2
149	данном случае	2	2
150	в момент	1	2
151	в событии	1	2
152	со всех	2	2
153	нас и	1	2
154	в основном	12	2
155	с одной	5	2
156	уже в	5	2
157	эта своеобразная	1	2
158	там где	4	2
159	в его	19	2
160	с этой	3	2
161	она не	2	2
162	это не	8	2
163	одной стороны	3	2
164	автора и	4	2
165	как уже	3	2
166	довлеет себе	2	2
167	дело с	1	2
168	с точки	9	2
169	мы имеем	2	2
170	и дает	3	2
171	была бы	2	2
172	словом и	2	2
173	вещи и	3	2
174	на него	1	2
175	тем как	1	2
176	кроме того	7	2
177	тогда когда	2	2
178	в себя	3	2
179	от всех	2	2
180	в формах	1	2
181	и слово	1	2
182	как это	2	2
183	те же	5	2
184	но все	6	2
185	но зато	1	2
186	мы в	1	2
187	одно и	4	2
188	тесную связь	1	2
189	и та	2	2
190	из него	1	2
191	и что	1	2
192	что и	5	2
193	в отношении	5	2
194	в форме	5	2
195	же самое	2	2
196	конечно в	1	2
197	другой стороны	1	2
198	определяются именно	1	2
199	но отнюдь	1	2
200	но что	1	2
201	и те	4	2
202	как не	1	2
203	в этих	6	2
204	тому же	2	2
205	оно не	3	2
206	и притом	1	2
207	форма в	3	2
208	но этот	1	2
209	имеем в	3	2
210	для других	7	2
211	к ним	3	2
212	и здесь	2	2
213	но конечно	3	2
214	как на	2	2
215	слова но	1	2
216	эти моменты	3	2
217	человеческого общества	1	2
218	и все	10	2
219	но не	9	2
