N	4gram	Bakhtin_Fr	VeschiIm
1	не что иное как	1	12
2	есть не что иное	1	8
3	дело в том что	2	4
4	в то же время	12	4
5	заключается в том что	1	2
6	мы уже сказали что	1	1
7	на самом же деле	1	1
8	все новые и новые	2	1
9	взятый сам по себе	1	1
10	одной стороны и с	1	1
11	с одной стороны и	1	1
12	не имеющие никакого отношения	1	1
13	одного и того же	1	1
14	как и во всяком	1	1
15	и с другой стороны	1	1
16	один момент который также	1	1
17	и еще один момент	1	1
18	но потому что они	1	1
19	но в то же	3	1
20	еще один момент который	1	1
21	и в этом отношении	1	1
