N	2gram	Ircho_Kome	FransuaR
1	и в	40	367
2	то есть	1	209
3	в этом	9	112
4	и не	19	101
5	таким образом	13	100
6	и его	17	99
7	в его	8	98
8	прежде всего	8	92
9	не только	12	87
10	мы уже	1	85
11	но и	14	84
12	как бы	3	82
13	все эти	1	79
14	вовсе не	3	77
15	как и	12	76
16	в нем	8	75
17	но в	6	75
18	в эпоху	1	75
19	и на	9	72
20	и др	1	72
21	в том	19	71
22	как мы	5	71
23	то же	7	66
24	и все	4	66
25	в них	7	65
26	в этой	9	65
27	так и	17	65
28	и с	8	64
29	в сущности	3	64
30	в то	14	63
31	во время	11	63
32	во всех	4	62
33	все это	7	62
34	же время	5	55
35	что в	12	52
36	в своем	6	51
37	только в	6	48
38	так как	6	46
39	том что	19	45
40	в году	3	44
41	то что	8	41
42	здесь в	4	41
43	у него	6	40
44	жизни и	4	40
45	в самом	5	38
46	точки зрения	7	37
47	в ней	2	37
48	с его	4	36
49	о том	12	35
50	он был	4	35
51	может быть	16	35
52	сказать что	1	34
53	и даже	5	34
54	в себе	3	34
55	до нас	9	34
56	рядом с	1	32
57	мы видели	2	32
58	в конце	7	32
59	он не	5	32
60	для него	1	32
61	до конца	3	31
62	в литературе	2	31
63	в своей	3	31
64	нового времени	7	31
65	так же	4	30
66	но он	2	30
67	один из	9	30
68	потому что	8	30
69	той же	3	30
70	и потому	1	30
71	в духе	3	29
72	в одном	10	29
73	еще не	7	29
74	связи с	3	29
75	в этих	5	29
76	что он	11	29
77	не может	3	29
78	в особенности	1	29
79	при этом	5	29
80	его в	6	29
81	не в	8	29
82	и к	2	28
83	из них	16	28
84	также и	1	28
85	в той	2	28
86	в основе	1	28
87	здесь и	2	28
88	и другие	3	27
89	сих пор	3	27
90	до сих	3	27
91	том числе	4	27
92	все же	7	27
93	по своему	5	27
94	роль в	2	27
95	и их	3	27
96	в условиях	1	26
97	на самом	1	25
98	в области	3	25
99	с помощью	1	25
100	но это	2	25
101	мира и	1	25
102	этот образ	1	24
103	но не	3	24
104	например в	1	24
105	в ее	2	24
106	и у	3	24
107	и от	2	24
108	как в	8	24
109	того чтобы	4	24
110	времени и	2	24
111	в частности	7	24
112	в большинстве	2	24
113	отношение к	3	24
114	большинстве случаев	2	23
115	и здесь	6	23
116	с ним	1	23
117	и для	4	23
118	в их	6	23
119	к нему	5	23
120	это не	2	23
121	еще и	2	23
122	даже в	3	22
123	не было	1	22
124	а в	9	22
125	тем что	5	22
126	что и	10	22
127	и других	7	22
128	там где	1	22
129	поэтому и	1	22
130	вместе с	8	22
131	и во	4	22
132	связь с	2	22
133	и о	3	22
134	в своих	2	21
135	именно в	5	21
136	культуры и	1	21
137	в отношении	6	21
138	уже в	9	21
139	и как	3	21
140	в качестве	8	21
141	одним из	3	21
142	в себя	3	21
143	что это	5	21
144	ни в	9	21
145	в виду	2	20
146	еды и	1	20
147	в связи	3	20
148	и это	3	20
149	в значительной	1	20
150	одной из	6	20
151	этом отношении	3	20
152	как раз	4	20
153	в образе	4	20
154	они были	1	20
155	а также	5	20
156	во всем	1	19
157	их в	1	19
