N	3gram	Berdyaev_M	Komedia
1	в том что	3	29
2	до сих пор	5	16
3	в самом деле	1	13
4	о том что	3	13
5	и т п	1	11
6	для того чтобы	4	11
7	в то время	2	11
8	по отношению к	4	9
9	вместе с тем	5	9
10	то время как	2	9
11	и в самом	3	8
12	в конце концов	3	7
13	во всяком случае	1	7
14	в отличие от	1	6
15	с точки зрения	1	6
16	после того как	2	6
17	что он не	3	5
18	в этом отношении	1	5
19	том что он	1	5
20	что у него	1	4
21	там и здесь	6	4
22	т е в	1	4
23	к тому что	1	4
24	так как он	1	4
25	по сравнению с	2	4
26	можно было бы	1	4
27	что и в	3	4
28	в чем не	2	3
29	в высшей степени	4	3
30	сих пор не	1	3
31	на протяжении всего	1	3
32	на то что	1	3
33	но и в	4	3
34	сомневаться в том	1	3
35	и речи о	1	3
36	ни в чем	2	3
37	и там и	6	3
38	мере в какой	1	2
39	а может быть	1	2
40	как будто бы	2	2
41	с утра до	1	2
42	ни у кого	2	2
43	о чем они	1	2
44	потому что в	4	2
45	как и в	2	2
46	в отношении к	3	2
47	что он в	1	2
48	в зависимости от	1	2
49	том что в	1	2
50	в нем не	2	2
51	одной из сторон	1	2
52	у него не	1	2
53	и в том	1	2
54	так и не	2	2
55	не означает что	1	2
56	того как в	1	2
57	выходят за пределы	1	2
58	выходит из себя	1	2
59	подобно тому как	2	2
60	так же как	1	2
61	имеем в виду	1	2
62	не только в	2	2
63	мы имеем в	1	2
64	берет на себя	1	2
65	утра до вечера	1	2
66	ставит нас перед	1	2
67	в разных ее	1	1
68	свое завершение в	1	1
69	в нескольких статьях	1	1
70	он был очень	1	1
71	как и во	2	1
72	и эта мысль	1	1
73	не было в	1	1
74	что она не	1	1
75	с тем он	2	1
76	к человеку не	1	1
77	в той мере	1	1
78	не может быть	22	1
79	не раскрывается с	1	1
80	нет ничего кроме	1	1
81	она должна быть	1	1
82	и его судьба	1	1
83	во всех его	1	1
84	одного к другому	1	1
85	как можно более	1	1
86	его отношение к	2	1
87	был одним из	1	1
88	в динамике в	2	1
89	потому что она	2	1
90	с такой силой	1	1
91	если он не	1	1
92	к которой мы	1	1
93	до конца и	1	1
94	но и он	1	1
95	друг на друга	1	1
96	что он был	1	1
97	сам по себе	1	1
98	не знает что	1	1
99	при дневном свете	1	1
100	а от нее	1	1
101	но он не	3	1
102	в том случае	1	1
103	и в конце	2	1
104	не находящая себе	1	1
105	в себе самом	1	1
106	той целью чтобы	1	1
107	в начале xx	1	1
108	смысле этого слова	1	1
109	сходить с ума	2	1
110	бросается в глаза	1	1
111	с его стороны	1	1
112	самого бога и	1	1
113	свои силы в	1	1
114	своего дома и	1	1
115	и никогда не	3	1
116	и у других	1	1
117	той мере в	1	1
118	отрекается от своей	1	1
119	и у него	1	1
120	ко всем и	1	1
121	но подобно тому	1	1
122	что это не	2	1
123	точки зрения у	1	1
124	в этот момент	1	1
125	в наше время	1	1
126	он был и	1	1
127	нас в этом	1	1
128	в стороне от	1	1
129	себе путь к	1	1
130	там не останется	1	1
131	в значительной степени	2	1
132	отрезает себе путь	1	1
133	от одного к	1	1
134	его в своем	1	1
135	не без основания	1	1
136	не мог бы	2	1
137	но не менее	1	1
138	а не в	4	1
139	и не может	2	1
140	и в этом	1	1
141	он так же	1	1
142	один из первых	1	1
143	в этих словах	1	1
144	в которой все	1	1
145	между людьми и	1	1
146	и еще в	1	1
147	мы еще вернемся	2	1
148	он должен быть	1	1
149	к ней в	1	1
150	он не только	2	1
151	никто не был	1	1
152	бы это ни	1	1
153	с того что	1	1
154	потому что он	3	1
155	которой мы еще	1	1
156	чем они будут	1	1
157	из любви к	1	1
158	раскрывается с такой	1	1
159	мы увидим что	4	1
160	как бы в	1	1
161	вместе с человеком	1	1
162	он не может	2	1
163	ответ на это	1	1
164	дело доходит до	1	1
165	трудно было бы	1	1
166	мы не знали	1	1
167	так как будто	1	1
168	все что у	1	1
169	из самых замечательных	1	1
170	не было бы	5	1
171	огромный шаг вперед	1	1
172	не что иное	4	1
173	и та же	2	1
174	сам не знает	2	1
175	в центре внимания	1	1
176	и вот наконец	1	1
177	и ничего не	1	1
178	но все равно	1	1
179	от нее к	1	1
180	у него на	1	1
181	еще в одном	1	1
182	лишь средством для	1	1
183	с той целью	1	1
184	никто не может	1	1
185	только в начале	1	1
186	в мире для	1	1
187	же как и	1	1
188	любовь к человеку	7	1
189	одна и та	2	1
190	тем что он	2	1
191	том случае если	1	1
192	все равно что	2	1
193	не выдержала испытания	1	1
194	такой силой как	1	1
195	что иное как	4	1
196	знать друг друга	1	1
197	в нем и	1	1
198	вступили на путь	1	1
199	если в основе	1	1
200	один из самых	4	1
201	сама по себе	1	1
202	и не знает	1	1
203	отношение к человеку	3	1
204	к человеку и	4	1
205	если бы не	1	1
