N	2gram	Tiupa_Hudo	Poddanst
1	не только	20	17
2	и в	23	14
3	и не	16	12
4	в области	8	11
5	в этом	12	10
6	в отношении	4	10
7	в том	20	9
8	то же	12	9
9	в качестве	31	9
10	но в	10	9
11	в пределах	3	8
12	только в	7	7
13	же время	7	7
14	в то	8	7
15	xix века	2	6
16	быть может	1	6
17	было бы	1	6
18	но и	14	6
19	и пр	1	5
20	может быть	19	5
21	отношении к	3	5
22	с другой	9	5
23	не в	9	5
24	и о	4	5
25	в русской	3	4
26	и к	3	4
27	что в	7	4
28	и политического	2	4
29	в котором	1	4
30	по себе	2	4
31	тех кто	1	4
32	и потому	2	4
33	не может	9	4
34	а в	13	4
35	то что	5	4
36	как бы	11	4
37	если бы	3	4
38	а также	6	4
39	в своем	4	4
40	же в	1	4
41	том что	9	4
42	в сравнении	1	3
43	в себе	13	3
44	сравнении с	1	3
45	с одной	3	3
46	это не	4	3
47	одной стороны	3	3
48	для того	5	3
49	между тем	4	3
50	с точки	3	3
51	хотя и	4	3
52	потому что	3	3
53	прежде всего	5	3
54	вслед за	2	3
55	сводится к	11	3
56	тем самым	5	3
57	заключается в	2	3
58	но не	13	3
59	могут быть	5	3
60	я и	7	3
61	и как	4	3
62	с ними	2	3
63	столь же	2	3
64	в порядке	2	3
65	в нем	6	3
66	и без	1	3
67	тот же	1	3
68	точки зрения	11	3
69	с этим	1	2
70	во всех	3	2
71	в сочетании	1	2
72	в перспективе	1	2
73	и это	2	2
74	в полной	1	2
75	если в	1	2
76	более чем	1	2
77	время в	1	2
78	в значительной	2	2
79	том числе	3	2
80	теперь в	1	2
81	хх века	5	2
82	так называемые	1	2
83	и весьма	2	2
84	в ее	6	2
85	и тем	4	2
86	того что	5	2
87	как раз	3	2
88	в частности	18	2
89	в его	11	2
90	и право	1	2
91	xix веке	1	2
92	а не	13	2
93	для нас	1	2
94	все это	2	2
95	в которую	1	2
96	говорить о	4	2
97	заключает в	1	2
98	может и	1	2
99	своем значении	1	2
100	и есть	1	2
101	стороны и	1	2
102	сколько бы	1	2
103	в русском	1	2
104	в них	2	2
105	не было	1	2
106	к чему	1	2
107	полной мере	1	2
108	мысль о	1	2
109	которое в	1	2
110	в сфере	1	2
111	именно в	2	2
112	должно быть	1	2
113	в жизни	3	2
114	отношения к	4	2
115	друг другу	1	2
116	в последние	1	2
117	во всей	3	2
118	в силу	4	2
119	одна из	2	2
120	между прочим	1	2
121	в мире	24	2
122	и достоевского	1	2
123	например в	4	2
124	не менее	5	2
125	не столько	7	2
126	отнюдь не	2	2
127	со стороны	5	2
128	да и	1	2
129	точек зрения	1	2
130	культуры в	3	2
131	из них	1	2
132	есть не	1	2
133	тем более	2	2
134	есть в	3	2
135	и пусть	1	2
136	что из	1	2
137	в е	1	2
138	бы ни	1	2
139	мира с	2	2
140	в статье	1	2
141	в xix	1	2
142	поскольку не	2	1
143	этих двух	2	1
144	и мир	1	1
145	представить себе	1	1
146	как к	5	1
147	русской культуре	1	1
148	тем в	1	1
149	могли бы	1	1
150	ни к	2	1
151	не есть	1	1
152	и теперь	1	1
153	у каждого	1	1
154	и то	4	1
155	но как	2	1
156	бы и	1	1
157	перед тем	1	1
158	к деградации	1	1
159	мы видим	1	1
160	а с	2	1
161	в данном	4	1
162	что от	1	1
163	только к	1	1
164	с его	6	1
165	видения в	1	1
166	и более	2	1
167	можно говорить	1	1
168	те же	1	1
169	вместе с	1	1
170	и частной	1	1
171	и здесь	1	1
172	в иных	1	1
173	и на	3	1
174	отличие от	7	1
175	в самом	7	1
176	не означает	1	1
177	они не	1	1
178	может не	1	1
179	на территории	1	1
