N	4gram	Bakhtin_Pr	Narrotol
1	в то же время	3	8
2	мы имеем дело с	1	5
3	дело в том что	1	3
4	а в том как	1	2
5	и не может быть	1	2
6	и в то же	2	2
7	то что не имеет	1	1
8	в том смысле что	1	1
9	не что иное как	1	1
10	на самом деле и	1	1
11	если бы не было	1	1
12	не для того чтобы	1	1
13	дано нам в нашем	1	1
14	с одной стороны и	1	1
15	в первом случае мы	1	1
16	в данном случае о	1	1
17	бы то ни было	2	1
18	ни в чем не	2	1
19	позицию по отношению к	3	1
20	в то время как	1	1
21	той или иной области	1	1
22	по отношению к которому	1	1
23	иметь в виду что	1	1
24	в равной мере и	1	1
25	только по отношению к	4	1
26	и с точки зрения	1	1
27	и тем не менее	1	1
28	в нем не только	1	1
29	не в том что	1	1
30	есть не что иное	1	1
