N	2gram	Berdyaev_V	VLabPisa
1	в этом	4	29
2	не только	2	26
3	и в	16	26
4	и т	2	25
5	может быть	1	23
6	и не	20	20
7	хотя бы	3	20
8	в процессе	1	17
9	т д	2	16
10	в его	4	15
11	в том	3	15
12	все это	5	13
13	прежде всего	2	13
14	вот что	1	12
15	как это	1	12
16	что в	3	11
17	с другой	1	11
18	то же	1	10
19	не могут	2	10
20	но и	5	10
21	по этому	3	10
22	для него	2	9
23	к этому	1	9
24	могут быть	2	8
25	другой стороны	1	8
26	только в	2	8
27	по словам	1	8
28	все эти	3	8
29	вместе с	1	8
30	том что	2	8
31	в своем	1	8
32	это не	2	7
33	говорит о	1	7
34	не было	3	7
35	тому что	3	7
36	как и	4	7
37	их в	3	7
38	во всех	3	7
39	а не	7	7
40	то что	9	7
41	в нем	4	7
42	один из	2	6
43	у него	1	6
44	все же	1	6
45	бы и	3	6
46	в искусстве	1	6
47	не в	3	6
48	между тем	2	6
49	так и	4	6
50	художественный образ	1	5
51	в результате	1	5
52	в их	1	5
53	в них	3	5
54	зависимости от	1	5
55	к тому	3	5
56	он говорит	1	5
57	вот почему	2	5
58	в одном	1	5
59	как бы	5	5
60	в целом	1	5
61	и есть	4	5
62	никогда не	3	5
63	в самом	1	4
64	ее в	2	4
65	в ее	1	4
66	в этой	1	4
67	что все	4	4
68	что он	4	4
69	в виду	1	4
70	с тем	2	4
71	с ними	1	4
72	в своей	3	4
73	роль в	1	4
74	с его	3	4
75	это только	1	4
76	их и	1	4
77	в сознании	1	4
78	одна из	2	4
79	и ее	1	4
80	что они	7	3
81	что оно	1	3
82	того что	5	3
83	но как	1	3
84	него в	1	3
85	что и	3	3
86	у нас	1	3
87	в форме	2	3
88	это мы	2	3
89	в конце	3	3
90	же и	1	3
91	в которых	1	3
92	мира и	1	3
93	вовсе не	1	3
94	бы в	1	3
95	и мир	1	3
96	а в	2	3
97	что не	4	3
98	в котором	4	3
99	она не	1	3
100	в противоположность	1	3
101	его не	2	3
102	того чтобы	2	3
103	для того	1	3
104	вслед за	2	3
105	так же	1	3
106	человека и	6	3
107	нет и	2	3
108	объективной реальности	1	3
109	и от	1	3
110	жизни и	3	3
111	и по	1	3
112	они и	2	2
113	они не	1	2
114	если в	1	2
115	самого себя	2	2
116	воплощение в	1	2
117	должно быть	3	2
118	того как	1	2
119	эта не	1	2
120	должна быть	3	2
121	образа в	1	2
122	говорить о	4	2
123	да и	2	2
124	хотя и	5	2
125	о чем	1	2
126	за эти	1	2
127	для них	2	2
128	но с	1	2
129	в своих	1	2
130	что нет	1	2
131	в которой	1	2
132	но не	2	2
133	в ней	4	2
134	но вот	1	2
135	между собою	1	2
136	в жизни	3	2
137	стороны в	1	2
138	в последнем	2	2
139	чего бы	1	2
140	что мы	4	2
141	слова не	1	2
142	на этом	1	2
143	можно ли	1	2
144	образом по	1	2
145	после того	1	2
146	себе и	1	2
147	в чем	3	2
148	но к	1	2
149	от них	1	2
150	еще не	8	2
151	проблему свободы	1	2
152	во всяком	2	2
153	и потому	7	2
154	еще и	1	2
155	человека в	1	2
156	и быть	1	2
157	а к	2	2
158	то это	3	2
159	не по	1	2
160	не быть	1	2
161	не всегда	1	2
162	по крайней	1	2
163	в образах	1	2
164	лишь в	3	2
165	не с	2	2
166	о своем	1	2
167	можно было	2	2
168	и сам	2	2
169	к ним	1	2
170	будто бы	1	2
171	и никогда	2	2
172	в образе	4	2
173	на него	1	2
174	если они	1	2
175	у них	1	2
176	конце концов	1	2
177	и для	3	2
178	крайней мере	1	2
179	но в	3	2
180	от него	2	1
181	и другие	1	1
182	является в	2	1
183	и то	2	1
184	а потому	1	1
185	ее и	2	1
186	это одна	1	1
187	ни в	3	1
188	мы видим	1	1
189	и мы	3	1
190	мы и	2	1
191	религии и	1	1
192	их строение	1	1
193	хоть и	1	1
194	то есть	1	1
195	и свою	1	1
196	вот по	2	1
197	которые не	2	1
198	мы не	2	1
199	в состоянии	1	1
200	он всегда	1	1
201	с этой	1	1
202	боролся с	1	1
203	еще больше	1	1
204	и менее	1	1
205	и завистливого	1	1
206	освободиться от	1	1
207	не для	1	1
208	это значит	1	1
209	в следующих	1	1
210	с ним	2	1
211	о свободе	2	1
212	мы в	1	1
213	для нас	2	1
214	этих мук	1	1
215	и всегда	1	1
216	они в	3	1
217	но что	1	1
218	сложность и	1	1
219	свобода есть	1	1
220	нет никакого	1	1
221	в этих	3	1
222	в русском	1	1
223	в виде	1	1
224	и самые	1	1
225	если не	3	1
226	она к	1	1
227	в общественной	1	1
228	в духе	2	1
229	мука и	1	1
230	но все	1	1
231	жизнь в	1	1
232	снять с	1	1
233	и все	4	1
234	раз навсегда	2	1
235	на себя	5	1
236	тем что	2	1
237	как абсолютная	1	1
238	превращаются в	2	1
239	еще недостаточно	1	1
240	ничего и	2	1
241	бы все	1	1
242	о судьбе	1	1
243	в последних	1	1
244	во имя	32	1
245	как не	3	1
246	значения и	2	1
247	или даже	1	1
248	и так	1	1
249	как можно	1	1
250	и вместе	1	1
251	как в	1	1
252	многим из	1	1
253	них и	1	1
254	себя и	1	1
255	еще к	1	1
256	не имеет	3	1
257	этом нет	1	1
258	их работать	1	1
259	который я	1	1
260	не создает	2	1
261	сравнению с	1	1
262	есть то	1	1
263	речь идет	1	1
264	в известном	1	1
265	для их	2	1
266	и это	2	1
267	что тот	1	1
268	в существе	2	1
269	что их	2	1
270	это самое	1	1
271	ним или	1	1
272	освобождается от	1	1
273	нет ничего	3	1
274	сознания или	1	1
275	его и	2	1
276	и осмысленной	1	1
277	более чем	2	1
278	а с	2	1
279	вообще в	1	1
280	вопрос о	1	1
281	видим что	1	1
282	он был	1	1
283	от природы	1	1
284	это как	1	1
285	конечно не	2	1
286	в роли	1	1
287	бы весь	1	1
288	уже в	1	1
289	бытия в	1	1
290	по сравнению	1	1
291	нельзя не	1	1
292	потому что	4	1
293	тебе что	1	1
