N	4gram	Bakhtin_Pr	KFilosof
1	по отношению к нему	2	4
2	бы то ни было	2	2
3	в то же время	13	2
4	мира в его целом	1	2
5	бы он ни был	2	2
6	это не значит однако	1	1
7	как бы он ни	1	1
8	бы оно ни было	1	1
9	в литературе о нем	1	1
10	с точки зрения его	1	1
11	с точки зрения автора	1	1
12	никогда не может стать	1	1
13	ничего общего не имеет	1	1
14	и по отношению к	1	1
15	а не я и	1	1
16	совершенно иной чем в	1	1
17	не значит однако что	1	1
18	дело в том что	1	1
19	но в то же	7	1
20	и в этом смысле	2	1
21	если бы оно было	1	1
22	тем не менее в	1	1
23	и в то же	2	1
24	до сих пор не	1	1
