1	одной и той же	3	5
2	с этой точки зрения	1	5
3	указывает на то что	1	4
4	одни и те же	5	3
5	до тех пор пока	2	2
6	несмотря на то что	2	2
7	в собственном смысле слова	2	2
8	никогда не может быть	1	2
9	приходит к выводу что	1	2
10	может быть сведена к	1	2
11	не может быть объяснено	1	2
12	не может быть сведена	1	2
13	не что иное как	1	2
14	ни в какой мере	1	2
15	один и тот же	3	2
16	его с точки зрения	1	2
17	то же самое что	1	2
18	в то же время	15	2
19	так же как и	2	2
20	с другой стороны и	1	2
21	и тот и другой	1	1
22	в своем чистом виде	1	1
23	в какой мере не	1	1
24	в связи с этим	3	1
25	с одной стороны и	3	1
26	во всяком случае все	1	1
27	одну и ту же	1	1
28	точном смысле этого слова	4	1
29	ни в коем случае	2	1
30	можно сказать что большинство	1	1
31	если мы скажем что	1	1
32	в широком смысле слова	1	1
33	и не было бы	1	1
34	само собой разумеется что	1	1
35	в коем случае не	1	1
36	одним и тем же	3	1
37	одно и то же	3	1
38	вызывают к жизни и	1	1
39	в том что все	1	1
40	в ту или другую	1	1
41	мы на самом деле	1	1
42	приводит к тому что	1	1
43	и в том что	2	1
44	вместе с тем и	1	1
45	с одной стороны оно	1	1
46	едва ли может быть	1	1
47	в какой степени не	1	1
48	в том числе и	3	1
49	и там и здесь	1	1
50	мы никогда не найдем	1	1
51	одного и того же	9	1
52	из поколения в поколение	1	1
53	не могут быть сведены	1	1
54	что же касается до	1	1
55	но для того чтобы	1	1
56	могут быть сведены к	1	1
57	в сущности ничего не	1	1
58	и не может быть	5	1
59	в самом деле для	1	1
60	вступить в противоречие с	1	1
61	не может быть признано	1	1
62	дело в том что	1	1
63	в том что он	4	1
64	ни в какой степени	1	1
65	какой мере не является	1	1
66	в том или ином	2	1
67	какого бы то ни	2	1
68	бы то ни было	12	1
69	и более или менее	1	1
