N	4gram	Tiupa_Narr	Vvedenie
1	той мере в какой	1	6
2	в той мере в	1	6
3	в то же время	3	6
4	не что иное как	2	5
5	дело в том что	1	3
6	есть не что иное	1	3
7	состоит в том что	2	2
8	с этой точки зрения	1	2
9	одного и того же	1	2
10	в том или ином	2	2
11	той или иной степени	1	1
12	собой не что иное	1	1
13	по отношению к нему	1	1
14	в том что он	1	1
15	бы то ни было	3	1
16	и до наших дней	1	1
17	в той или иной	2	1
18	не может быть и	1	1
19	в том что в	1	1
20	какой бы то ни	1	1
21	мы имеем дело с	1	1
22	точно так же как	2	1
