N	3gram	Bakhtin_Pr	KulturaY
1	и т п	10	93
2	и т д	4	42
3	для того чтобы	1	38
4	с точки зрения	21	36
5	в том что	6	33
6	в самом деле	6	29
7	можно было бы	3	25
8	тем не менее	2	19
9	во всяком случае	4	19
10	с другой стороны	6	17
11	в зависимости от	5	16
12	до сих пор	9	14
13	по отношению к	12	13
14	по крайней мере	2	13
15	в связи с	1	12
16	не может быть	8	11
17	в этом отношении	3	11
18	в этом смысле	12	10
19	о том что	2	10
20	того или иного	1	9
21	не в том	1	8
22	само по себе	4	8
23	на самом деле	4	8
24	не только в	2	8
25	в этом случае	1	8
26	в свою очередь	1	7
27	с одной стороны	1	7
28	после того как	1	7
29	хотя бы и	3	6
30	в отличие от	4	6
31	к тому же	2	6
32	то же время	13	6
33	той или иной	1	6
34	этой точки зрения	2	6
35	было бы сказать	1	6
36	в то же	13	6
37	так и в	2	5
38	потому что он	1	5
39	более или менее	4	5
40	в данном случае	2	5
41	т п все	2	5
42	и в этом	5	5
43	т е в	3	5
44	но все же	3	5
45	что же касается	1	5
46	не потому что	1	5
47	т п в	1	5
48	на этот вопрос	2	5
49	как мы видели	1	5
50	что все эти	1	4
51	так или иначе	1	4
52	сам по себе	2	4
53	том что он	5	4
54	в первом случае	1	4
55	смысле этого слова	1	4
56	а в том	1	4
57	к тому что	1	4
58	т е о	1	4
59	в том и	2	4
60	на то что	2	4
61	заключается в том	1	4
62	только то что	2	4
63	точно так же	1	4
64	зависимости от того	1	4
65	так же как	1	4
66	именно в том	1	4
67	строить свою речь	1	3
68	на этой почве	1	3
69	в той же	3	3
70	в таком случае	1	3
71	свою речь в	1	3
72	в конце концов	7	3
73	вместо того чтобы	1	3
74	о котором идет	1	3
75	тех или иных	1	3
76	как раз и	5	3
77	в известном смысле	1	3
78	или меньшей степени	2	3
79	сама по себе	5	3
80	большей или меньшей	2	3
81	мере того как	1	3
82	мы увидим что	1	3
83	по мере того	1	3
84	все это не	1	3
85	т п так	1	3
86	и не в	1	3
87	и если мы	1	3
88	в настоящее время	3	3
89	в то время	2	3
90	в большей или	2	3
91	уже не может	1	3
92	в противном случае	1	3
93	в лучшем случае	2	3
94	что и в	1	3
95	не только как	1	3
96	не могут быть	1	3
97	уже не только	1	3
98	уже само по	1	3
99	но с другой	2	3
100	что он не	1	2
101	в той или	1	2
102	а может быть	1	2
103	рано или поздно	1	2
104	это не значит	3	2
105	ни на минуту	1	2
106	в противоречии с	1	2
107	а следовательно и	2	2
108	в большинстве случаев	10	2
109	в каждом из	1	2
110	не может уже	1	2
111	котором идет речь	1	2
112	и в другом	1	2
113	самом деле в	1	2
114	в собственном смысле	1	2
115	отсюда следует что	1	2
116	по себе не	1	2
117	все должно быть	1	2
118	в том числе	1	2
119	и в других	2	2
120	потому что она	3	2
121	друг от друга	1	2
122	может быть только	1	2
123	сами по себе	4	2
124	выйти за пределы	1	2
125	иметь в виду	1	2
126	между тем как	5	2
127	п все это	1	2
128	и в то	2	2
129	и если не	1	2
130	что же это	1	2
131	хотя и не	3	2
132	что с точки	1	2
133	и он тоже	1	2
134	бы то ни	3	2
135	и в том	1	2
136	тем что он	1	2
137	быть не может	1	2
138	собственном смысле слова	1	2
139	в одном из	2	2
140	лишь тогда когда	1	2
141	в узком смысле	2	2
142	т е не	2	2
143	но он не	1	2
144	а так как	1	2
145	это вовсе не	2	2
146	он должен быть	1	2
147	как мы знаем	1	2
148	и еще один	1	2
149	в другом месте	1	2
150	прежде всего в	1	2
151	можно сказать что	2	2
152	по сравнению с	1	2
153	таким образом в	1	2
154	до некоторой степени	1	2
155	все те же	1	2
156	вовсе еще не	1	2
157	в какой они	1	2
158	лишь с точки	1	2
159	мы не знаем	1	2
160	мы имеем в	1	2
161	сюда же относится	1	2
162	от того как	1	2
163	тем или иным	1	2
164	а вовсе не	2	2
165	слова т е	2	2
166	все же остается	1	2
167	также и в	1	2
168	если бы не	1	2
169	может быть и	2	2
170	бы до некоторой	1	1
171	что в рамках	1	1
172	уст в уста	1	1
173	может быть это	1	1
174	это однако не	1	1
175	подходит именно к	1	1
176	между ними и	1	1
177	обстоит дело в	1	1
178	их сознания как	1	1
179	от того кто	1	1
180	она знает лишь	1	1
181	несмотря на их	1	1
182	все то что	3	1
183	не сделал в	1	1
184	в письме к	2	1
185	и как можно	1	1
186	с полным правом	1	1
187	то это вовсе	1	1
188	смысле слова и	1	1
189	что она не	3	1
190	которая как мы	2	1
191	точка зрения с	1	1
192	себе еще не	4	1
193	все же что	1	1
194	точка зрения на	2	1
195	также что все	1	1
196	отношение к слову	1	1
197	что я называю	1	1
198	в пределах своего	1	1
199	от того в	1	1
200	не могло бы	1	1
201	дано в психологической	1	1
202	то что он	1	1
